
[00:00:00.000 --> 00:00:01.000]   Right here?
[00:00:01.000 --> 00:00:02.000]   All right.
[00:00:02.000 --> 00:00:03.000]   Okay.
[00:00:03.000 --> 00:00:06.000]   Today we're going to look at a passage that I had asked Kelly.
[00:00:06.000 --> 00:00:08.000]   I said, "Hey, Kelly, when was the last time you preached this passage?"
[00:00:08.000 --> 00:00:14.000]   Because I wanted to make sure that it's been two years since we looked at Judges chapter 6.
[00:00:14.000 --> 00:00:18.000]   And when I first looked at the story of Judges 6 with Gideon,
[00:00:18.000 --> 00:00:23.000]   we looked at the idea of tearing down the altars and putting the proper altar in its place.
[00:00:23.000 --> 00:00:28.000]   But today we're going to talk about a topic that I think applies to every single one of us in the room,
[00:00:28.000 --> 00:00:31.000]   is the idea of work.
[00:00:31.000 --> 00:00:37.000]   60% of all of our time throughout the entire week is spent at a job.
[00:00:37.000 --> 00:00:41.000]   And a lot of times within that job, some of us may love what we do.
[00:00:41.000 --> 00:00:48.000]   Some of us may just sit in there and say, "Man, is this all there is to my life? I hate my job."
[00:00:48.000 --> 00:00:56.000]   And we're left wondering, "Lord, what is it that you're calling us to do in the idea of work?"
[00:00:56.000 --> 00:00:59.000]   Faith, work, integration is so important for us as Christ followers
[00:00:59.000 --> 00:01:05.000]   because we do that all the time for a good chunk of the rest of our lives.
[00:01:05.000 --> 00:01:07.000]   We're at work until you decide to retire.
[00:01:07.000 --> 00:01:14.000]   Whether it's at 60 or whether it's 75 or 80 years old, you will be working.
[00:01:14.000 --> 00:01:19.000]   And I wish that some of us were probably sitting there, could be like David,
[00:01:19.000 --> 00:01:23.000]   where Samuel calls out and is trying to select the next king.
[00:01:23.000 --> 00:01:28.000]   And David shows up and he whispers to David, "You're going to be the next king."
[00:01:28.000 --> 00:01:31.000]   But it doesn't always happen, does it?
[00:01:31.000 --> 00:01:38.000]   Some of us are like Joseph, where we kind of land in exactly at a time when God uses us.
[00:01:38.000 --> 00:01:44.000]   Joseph is a guy that for some odd reason, his brother sold him into slavery.
[00:01:44.000 --> 00:01:46.000]   And now he is a slave.
[00:01:46.000 --> 00:01:53.000]   And somehow or another, God has given him the skills to rise up in the ranks in the palace
[00:01:53.000 --> 00:01:55.000]   of where he sold in slavery.
[00:01:55.000 --> 00:02:02.000]   But then his boss's wife accuses him of sexual malpractice and that he's thrown into prison.
[00:02:02.000 --> 00:02:05.000]   And later on, because of all the things that are happening,
[00:02:05.000 --> 00:02:10.000]   he rises up to be the chief of staff in the political system.
[00:02:10.000 --> 00:02:15.000]   Some of us are like Nehemiah, who is a cupbearer to the king.
[00:02:15.000 --> 00:02:19.000]   He tastes food so that the king, his boss, doesn't get poisoned.
[00:02:19.000 --> 00:02:24.000]   And somehow or another, God uses the cupbearer to the king
[00:02:24.000 --> 00:02:29.000]   to then rebuild the walls of Jerusalem because he has given him that burden.
[00:02:29.000 --> 00:02:34.000]   Or then some of us look at the two tax collectors in the Gospels.
[00:02:34.000 --> 00:02:37.000]   There's the tax collector of Matthew, where Jesus says to Matthew,
[00:02:37.000 --> 00:02:39.000]   "Pack up everything and follow me."
[00:02:39.000 --> 00:02:45.000]   But yet at the same time, he says to Zacchaeus, who climbs up a tree to see him,
[00:02:45.000 --> 00:02:50.000]   "I want you to follow me by staying as a tax collector."
[00:02:50.000 --> 00:02:52.000]   So how do you know when to be a tax collector?
[00:02:52.000 --> 00:02:54.000]   How do you know when to drop everything and follow Jesus?
[00:02:54.000 --> 00:02:56.000]   How do you know when to be a king?
[00:02:56.000 --> 00:02:58.000]   How do you know when to do all these different things?
[00:02:58.000 --> 00:03:00.000]   All of us are on the journey, aren't we?
[00:03:00.000 --> 00:03:04.000]   Some of us are called to be like Pastor Mark is a full-time vocational ministry.
[00:03:04.000 --> 00:03:08.000]   Some people are called to be a stay-at-home mom.
[00:03:08.000 --> 00:03:10.000]   Some people are called to be a teacher or a nurse.
[00:03:10.000 --> 00:03:13.000]   Some people are called to be an engineer, an entrepreneur.
[00:03:13.000 --> 00:03:17.000]   How do we begin to know what God has gifted us to be?
[00:03:17.000 --> 00:03:21.000]   And it becomes a journey that he leads all of us on.
[00:03:21.000 --> 00:03:27.000]   And sometimes within the journey, there's different chapters in our life within that journey.
[00:03:27.000 --> 00:03:31.000]   And within those chapters, is that where you want me to be?
[00:03:31.000 --> 00:03:35.000]   Maybe, but maybe not.
[00:03:35.000 --> 00:03:41.000]   And so sometimes he'll ask us to pivot, and 20 years from now, we'll look back at our life and say,
[00:03:41.000 --> 00:03:45.000]   "Wow, that's what you've been preparing me for."
[00:03:45.000 --> 00:03:50.000]   I think I've told all of you guys I spent the first 10 years of my life building cell towers.
[00:03:50.000 --> 00:03:54.000]   Then from that point on, I spent about three years working in a Korean church,
[00:03:54.000 --> 00:03:57.000]   while at the same time, also at that point in time before that,
[00:03:57.000 --> 00:04:01.000]   serving in a church over in Chinatown at CCUC.
[00:04:01.000 --> 00:04:05.000]   And then from that point, I worked at Moody Bible Institute for a number of three years.
[00:04:05.000 --> 00:04:08.000]   And then now for the last 10 years, I work at Resource Global,
[00:04:08.000 --> 00:04:11.000]   and Wheaton College, Northern Seminary for a period of time.
[00:04:11.000 --> 00:04:14.000]   Lord, is that what you're calling me to do?
[00:04:14.000 --> 00:04:18.000]   I thought it was building cell towers, or rather that.
[00:04:18.000 --> 00:04:21.000]   I went to college thinking I was going to medical school.
[00:04:21.000 --> 00:04:24.000]   God calls us to do different things.
[00:04:24.000 --> 00:04:28.000]   So today, he calls this particular person,
[00:04:28.000 --> 00:04:31.000]   and we're going to look at that person,
[00:04:31.000 --> 00:04:34.000]   and we're going to glean some stories that he talks in.
[00:04:34.000 --> 00:04:41.000]   What the whole idea is, what is God calling you to do right now?
[00:04:41.000 --> 00:04:46.000]   And can you and I be faithful to where God has placed us in?
[00:04:46.000 --> 00:04:51.000]   Because God, for a period of time, has called you at that point in time,
[00:04:51.000 --> 00:04:57.000]   at that point in place, to make a difference for the gospel.
[00:04:57.000 --> 00:04:59.000]   We start in Judges 6.
[00:04:59.000 --> 00:05:02.000]   I studied this for a number of years.
[00:05:02.000 --> 00:05:05.000]   And it is such a powerful--it begins with this whole idea,
[00:05:05.000 --> 00:05:09.000]   "The people of Israel did what was evil in the sight of the Lord.
[00:05:09.000 --> 00:05:13.000]   And the Lord gave them into the hand of Midian for seven years.
