
[00:00:00.000 --> 00:00:02.320]  歡迎來到《九月網上》第六集
[00:00:02.320 --> 00:00:05.520]  過去五集我們研究過《創世紀》一至十一章
[00:00:05.520 --> 00:00:08.440]  你可能會覺得好像沒有什麼行程沒有什麼去過的地方
[00:00:08.440 --> 00:00:11.520]  因為《創世紀》一至十一章的背景
[00:00:11.520 --> 00:00:14.080]  都是集中在美索不達米亞的南面
[00:00:14.080 --> 00:00:18.560]  一至十一章是整本聖經的導演
[00:00:18.560 --> 00:00:22.200]  告訴我們世人多次叛變上帝的故事
[00:00:22.200 --> 00:00:23.920]  第一個故事我們看過
[00:00:23.920 --> 00:00:27.920]  就是人類代表亞當夏娃叛變上帝想自立為神
[00:00:27.920 --> 00:00:29.720]  被審判之後流亡
[00:00:29.720 --> 00:00:31.240]  神有什麼反應呢?
[00:00:31.240 --> 00:00:33.960]  神反而是應許去救贖
[00:00:33.960 --> 00:00:38.360]  並且願意離開伊甸與罪人同在
[00:00:38.360 --> 00:00:41.320]  有一節很重要的經文是三章第十五節
[00:00:41.320 --> 00:00:44.320]  「我要使你和女人彼此為首」
[00:00:44.320 --> 00:00:47.000]  你的後裔和女人的後裔亦要彼此為首
[00:00:47.000 --> 00:00:49.800]  「她要傷你的頭,你要傷她的腳筋」
[00:00:49.800 --> 00:00:52.120]  這裡講到一個爭戰
[00:00:52.120 --> 00:00:54.840]  一個人與蛇的爭戰
[00:00:54.840 --> 00:00:56.720]  人與邪惡的爭戰
[00:00:56.720 --> 00:01:00.760]  女人的後裔會傷蛇的頭
[00:01:00.760 --> 00:01:03.400]  蛇會傷她的腳筋
[00:01:03.400 --> 00:01:06.120]  有少許伏筆告訴我們
[00:01:06.120 --> 00:01:10.120]  上帝如何救贖人類
[00:01:10.120 --> 00:01:13.840]  應許有一位女人的後裔
[00:01:13.840 --> 00:01:16.800]  與邪惡的爭鬥
[00:01:16.800 --> 00:01:22.200]  結果女人的後裔會得勝
[00:01:22.200 --> 00:01:26.080]  然後展開整本聖經的故事
[00:01:26.080 --> 00:01:29.040]  第十一章是巴別塔的故事
[00:01:29.040 --> 00:01:31.040]  人為自己立名
