
[00:00:00.000 --> 00:00:03.680]  如果你要找一個全世界最受歡迎的聖經故事
[00:00:03.680 --> 00:00:06.880]  相信一定會想起羅亞方舟這個故事
[00:00:06.880 --> 00:00:09.120]  當小朋友還小的時候
[00:00:09.120 --> 00:00:11.120]  曾經去買過一些兒童用品
[00:00:11.120 --> 00:00:16.720]  總會找到羅亞方舟這個水上的動物園可愛的設計
[00:00:16.720 --> 00:00:19.680]  並且這些設計裡面一定有一隻動物
[00:00:19.680 --> 00:00:21.680]  就是長頸鹿
[00:00:21.680 --> 00:00:23.680]  羅亞方舟Lois Ark
[00:00:23.680 --> 00:00:26.720]  相信是一個最Iconic的聖經故事
[00:00:26.720 --> 00:00:28.720]  今次舊約網上行第四集
[00:00:28.720 --> 00:00:31.440]  我們一起來研究創世紀1至11章
[00:00:31.440 --> 00:00:33.440]  是整本聖經的導言
[00:00:33.440 --> 00:00:38.640]  中間6至8章就是交代方舟的故事
[00:00:38.640 --> 00:00:43.760]  羅亞洪水的技術比其他事跡更加長
[00:00:43.760 --> 00:00:45.760]  可見它有多重要
[00:00:45.760 --> 00:00:50.480]  我們提過創世紀1至11章有一個很重要的目的
[00:00:50.480 --> 00:00:56.240]  就是要和當時美索不達米亞近東的神話思潮做爭辯
[00:00:56.240 --> 00:01:01.120]  到底當時世界的人如何去想紅水這個災難
[00:01:01.120 --> 00:01:03.120]  聖經提出什麼辯駁
[00:01:03.120 --> 00:01:05.120]  當中有什麼特別的神學信息
[00:01:05.120 --> 00:01:07.760]  歡迎你跟我們舊約網上行
[00:01:07.760 --> 00:01:37.680]  (音樂)
[00:01:37.840 --> 00:01:39.840]  在美索不達米亞這個世界
[00:01:39.840 --> 00:01:42.640]  河水氾濫不是罕有的事
[00:01:42.640 --> 00:01:44.640]  今天的南美索不達米亞
[00:01:44.640 --> 00:01:47.600]  伊拉克南部和波斯灣是三河一片
[00:01:47.600 --> 00:01:50.800]  印象中是不會有河水氾濫的事
[00:01:50.800 --> 00:01:53.760]  很大程度是因為在過去幾十年
[00:01:53.760 --> 00:01:57.120]  伊拉克、土耳其、敘利亞這三個國家
[00:01:57.120 --> 00:02:03.360]  在上游經驗了大約有二十多個大大小小的水壩
[00:02:03.360 --> 00:02:04.800]  舉個例子
[00:02:04.800 --> 00:02:09.760]  2018年土耳其剛剛啟用了Elisu Dam大水壩
[00:02:09.760 --> 00:02:11.760]  引起了國際關注
[00:02:11.760 --> 00:02:14.800]  因為大大阻截了Tigris River下流的水流
[00:02:14.800 --> 00:02:17.520]  造成了很多生態上的破壞
[00:02:17.520 --> 00:02:19.520]  但是自古以來
[00:02:19.520 --> 00:02:21.520]  這個地方兩河流域
[00:02:21.520 --> 00:02:24.400]  是常有河水氾濫這件事
[00:02:24.400 --> 00:02:27.760]  紅水的季節是三月至八月之間
[00:02:27.760 --> 00:02:29.520]  三月春天會暖
[00:02:29.520 --> 00:02:33.200]  北面的高山會積雪溶解
[00:02:33.200 --> 00:02:35.200]  春雨連長的時候
[00:02:35.200 --> 00:02:36.800]  河水就會上漲
[00:02:36.800 --> 00:02:39.920]  五月的水位很多時候是最高
[00:02:39.920 --> 00:02:42.400]  一直到七八月才會減少
[00:02:42.400 --> 00:02:44.880]  而美索不達米亞這個盆地
[00:02:44.880 --> 00:02:47.280]  它的傾斜度是非常低的
[00:02:47.280 --> 00:02:48.880]  非常平坦
[00:02:48.880 --> 00:02:50.640]  紅水的季節的時候
[00:02:50.640 --> 00:02:55.120]  可以水浸的地方是整個地帶的三分之二
[00:02:55.120 --> 00:02:57.120]  舉個例子1954年的時候
[00:02:57.120 --> 00:02:59.520]  春天暴雨連長
[00:02:59.520 --> 00:03:02.800]  加上高山的積雪溶解
[00:03:02.800 --> 00:03:05.680]  就形成了很大規模的水浸
[00:03:05.680 --> 00:03:07.120]  歷世歷代
[00:03:07.120 --> 00:03:09.120]  其實有很多古代的文獻
[00:03:09.120 --> 00:03:12.000]  都提過很多次的大水災
[00:03:12.000 --> 00:03:13.840]  人類的文明
[00:03:13.840 --> 00:03:15.360]  創造之一
[00:03:15.360 --> 00:03:17.120]  就是這些君王
[00:03:17.120 --> 00:03:20.720]  說是如何去做一些防水的提拔
[00:03:20.720 --> 00:03:23.920]  例如有一個君王叫漢莫拉比
[00:03:23.920 --> 00:03:24.800]  Hammurabi
[00:03:24.800 --> 00:03:28.480]  他是一個舊巴比倫帝國的君王
[00:03:28.480 --> 00:03:30.720]  在他的黑文上這麼寫
[00:03:30.720 --> 00:03:33.360]  他說我漢莫拉比是大能的王
[00:03:33.360 --> 00:03:35.040]  是巴比倫的王
[00:03:35.040 --> 00:03:36.320]  是四方的王
[00:03:36.320 --> 00:03:39.120]  我建造這個土牆
[00:03:39.120 --> 00:03:40.960]  讓我的神
[00:03:40.960 --> 00:03:42.240]  諸神歡喜
[00:03:42.240 --> 00:03:44.160]  就用土堆
[00:03:44.160 --> 00:03:48.160]  來抬起在Sipir的城牆的頭
[00:03:48.160 --> 00:03:50.880]  這是一個防洪牆的建造
[00:03:50.880 --> 00:03:53.440]  所以在這一帶的地方
[00:03:53.440 --> 00:03:57.280]  經常都會找到一些紅水沉積的土層
[00:03:57.280 --> 00:03:59.280]  例如這個列表
[00:03:59.280 --> 00:04:00.560]  就讓大家看到
[00:04:00.560 --> 00:04:03.600]  例如在基斯城邦裡面
