
[00:00:00.000 --> 00:00:14.540]  今天我們繼續講女子做家友的系列
[00:00:14.540 --> 00:00:15.520]  為什麼呢?
[00:00:15.520 --> 00:00:16.340]  講到現在
[00:00:16.340 --> 00:00:17.940]  因為下個星期就會結束了
[00:00:17.940 --> 00:00:20.000]  下個星期無論如何都要講一下瑪麗亞
[00:00:20.000 --> 00:00:21.500]  因為聖誕節到了
[00:00:21.500 --> 00:00:23.500]  無論如何都要講一下Mary
[00:00:23.500 --> 00:00:26.300]  Mary當然是女人
[00:00:26.300 --> 00:00:29.000]  所以我們用女子做家友
[00:00:29.000 --> 00:00:32.500]  Mary作為一個結論
[00:00:32.500 --> 00:00:34.200]  如果你今天第一次來
[00:00:34.200 --> 00:00:35.000]  也不要緊的
[00:00:35.000 --> 00:00:36.400]  我們會review一下
[00:00:36.400 --> 00:00:39.100]  我們每一次頭三分鐘
[00:00:39.100 --> 00:00:41.300]  review一下我們到底講過什麼
[00:00:41.300 --> 00:00:46.200]  到底過去三幾個星期我們講過什麼呢?
[00:00:46.200 --> 00:00:49.400]  我們說過我們知道聖經拿在手上的時候
[00:00:49.400 --> 00:00:52.000]  它是一個以前的社會
[00:00:52.000 --> 00:00:54.800]  父權社會的文學作品
[00:00:54.800 --> 00:00:57.600]  當時的社會是重男輕女
[00:00:57.600 --> 00:01:00.200]  或者可能今天的社會也是有一點點
[00:01:00.200 --> 00:01:02.200]  但是當時的聖經的社會
[00:01:02.200 --> 00:01:06.200]  確實是一個父權的patriarchal society
[00:01:06.200 --> 00:01:08.800]  所以裡面有一些記載
[00:01:08.800 --> 00:01:10.600]  一些描述
[00:01:10.600 --> 00:01:17.200]  都是在溝通當時的一些文化價值
[00:01:17.200 --> 00:01:18.400]  這是沒錯的
[00:01:18.400 --> 00:01:20.400]  另外
[00:01:20.400 --> 00:01:23.900]  聖經是挑戰父權主義的
[00:01:23.900 --> 00:01:28.100]  挑戰重男輕女的一種思想
[00:01:28.100 --> 00:01:30.200]  所以我們找到很多地方
[00:01:30.200 --> 00:01:33.400]  其實聖經雖然有時候是假設
[00:01:33.400 --> 00:01:40.500]  但是也會去挑戰或者發出疑問
[00:01:40.500 --> 00:01:42.300]  到底這些重男輕女的思想
[00:01:42.300 --> 00:01:44.300]  是不是不對的呢?
[00:01:44.300 --> 00:01:46.700]  第三我們講到在聖經歷史裡面
[00:01:46.700 --> 00:01:48.700]  女性扮演很多重要的角色
[00:01:48.700 --> 00:01:50.700]  這個大家有留意
[00:01:50.700 --> 00:01:53.100]  不只是男人做事
[00:01:53.100 --> 00:01:56.500]  上帝也用很多女人、女士去做事
[00:01:56.500 --> 00:02:00.700]  第四我們講到解經或者看聖經
