
[00:00:00.000 --> 00:00:12.000]  我們回到正經,C篇第19篇,我們繼續思考C篇的說話,
[00:00:12.000 --> 00:00:17.000]  我們這個系列會說幾篇C篇,上一次說到137篇,
[00:00:17.000 --> 00:00:22.000]  我知道網絡會斷了,希望有時間可以錄,
[00:00:22.000 --> 00:00:27.000]  137篇斷了一半,後面那半沒有了,不過未有時間錄,
[00:00:27.000 --> 00:00:35.000]  不過這次我們看C篇第19篇,我們先來讀,
[00:00:35.000 --> 00:01:00.000]  「諸天術說,神的榮耀,窮莊全陽他的作為,天天發出言語,夜夜傳出知識,沒有話語,沒有言詞,人也聽不到他們的聲音,他們的聲音傳遍全地,他們的言語傳遍地極,神在他們中間為太陽安設了帳幕。」
[00:01:00.000 --> 00:01:11.000]  這句是C篇第19篇,頭一半,這裡每時每刻告訴我們,原來整個宇宙在說話,在對我們發出言語,
[00:01:11.000 --> 00:01:20.000]  但這些言語很奇怪,他說無言也無語,但繼續說話,很明顯不是我們人說的人文語,
[00:01:20.000 --> 00:01:31.000]  但他很清楚發出一些訊息,就是說到上帝的榮耀,上帝的權能在哪裡看到?
[00:01:31.000 --> 00:01:41.000]  在這個世界宇宙裏面看到,我們每踏足這個世界,每一步,都是屬於上帝的領域,
[00:01:41.000 --> 00:01:51.000]  上帝自己的物業,想清楚,我們每一個平方吋,都是屬於上帝的,
[00:01:51.000 --> 00:02:04.000]  在我家附近,最近有一間房子出賣,他賣出來放在市場,我和我兒子八卦,我們去看看,
[00:02:04.000 --> 00:02:13.000]  不是因為我們有錢買,我們沒有錢買,但我們看到他弄了這麼久,翻新過,我們進去看看,
[00:02:13.000 --> 00:02:20.000]  進去的時候我們發現沒有人,下午的時候,開放式屋的時候,走進去,
[00:02:20.000 --> 00:02:28.000]  但那種感覺很新鮮,因為是一間空的屋,一間完全裝修好,裝修得很漂亮的一間小屋,
[00:02:28.000 --> 00:02:39.000]  但進去的時候,我和我兒子說快點,因為趕時間要走,我們進去,上到樓上,再下來,看到有幾個房間等等,
[00:02:39.000 --> 00:02:50.000]  有個感覺就是那個地方不是屬於我的,是屬於別人的,和我自己進屋是不同的,和我自己住的地方是不同的,
[00:02:50.000 --> 00:03:01.000]  因為ownership不是我的,其實我們每一步的時候,都應該有一個這樣的感覺,
[00:03:01.000 --> 00:03:11.000]  感覺就是這個是上帝的property,這個宇宙是上帝所創造,是屬於他的,沒有話語,沒有言辭,
[00:03:11.000 --> 00:03:24.000]  人也聽不到他人的聲音,但是每一天去到述說,時時刻刻的去傳揚,告訴我們原來這個宇宙是在說,
[00:03:24.000 --> 00:03:37.000]  上帝的存在,上帝的glory,上帝的榮耀,等於你去到看一幅很漂亮的畫,很漂亮的藝術品,
[00:03:37.000 --> 00:03:48.000]  藝術品是在跟你說背後那一位藝術家,他的偉大,他的智慧,詩篇十九篇,
[00:03:48.000 --> 00:03:57.000]  他提醒我們,雖然耳聽不見,但是卻是在跟我們說上帝的榮耀,上個星期二大家知道有一單大新聞,
[00:03:57.000 --> 00:04:08.000]  跟太空有關的,大家有沒有留意,大家沒有留意這些,大家都是想著吃的,有什麼好吃,有什麼好喝,
[00:04:08.000 --> 00:04:16.000]  有什麼新的餐館開等等,上個星期二有一件很大很大的新聞,所謂震驚全球的一單新聞,
[00:04:16.000 --> 00:04:33.000]  就是2021年12月的時候,美國太空總署發射了一個望遠鏡,上到太空,那個望遠鏡叫做James Webb Space Telescope,
[00:04:33.000 --> 00:04:47.000]  他就彈了這個東西上去,然後一直向深的太空進發,然後上個星期二,第一次傳送幾張相片回來,
[00:04:47.000 --> 00:04:57.000]  大概幾張,五六七張,回來地球,然後太空總署NASA就收到,然後就把它公佈出來,
[00:04:57.000 --> 00:05:11.000]  這個是有史以來第一次看到那個深空裡面,以前沒有看過的,一百年前我們所知道的宇宙,
[00:05:11.000 --> 00:05:22.000]  只有一個銀河是Galaxy,現在當然我們越來越知道多,但是這個James Webb Telescope射上太空的時候,
[00:05:22.000 --> 00:05:28.000]  他傳送第一個人類從來以前沒有見過的相片,就是左邊那張相片,
[00:05:28.000 --> 00:05:41.000]  就是告訴我們這些光線其實已經走了13個billion years,我不知道多少個零,你自己畫一下,
[00:05:41.000 --> 00:05:50.000]  有多少個零,相片裡面看到的光幾乎是宇宙開始的時候所謂大爆炸,開始的時候看到的第一道光,
[00:05:50.000 --> 00:05:59.000]  你見到右下角的圖表,就告訴你以往有不同的望遠鏡是射過上去太空的,
[00:05:59.000 --> 00:06:11.000]  這次是所謂看到Big Bang之後會出現的光,航行了13個billion years,
[00:06:11.000 --> 00:06:17.000]  現在終於被我們肉眼能夠看到,在相片裡面能夠拍攝出來,
[00:06:17.000 --> 00:06:28.000]  見到宇宙我們越來越去探索的時候,就是越來越大,越來越無限,
[00:06:28.000 --> 00:06:37.000]  讓我們看到宇宙是多麼的浩瀚,CP19篇雖然是寫在古代的時候,
[00:06:37.000 --> 00:06:48.000]  但當時詩人已經看到這個宇宙,是述說著一樣東西,是上帝的榮耀,上帝自己的偉大,
[00:06:48.000 --> 00:06:57.000]  19章第四節,第四節到第六節,那裡說什麼呢?
[00:06:57.000 --> 00:07:05.000]  他說太陽,神把他們中間為太陽安設了帳幕,太陽如同新郎出洞房,
[00:07:05.000 --> 00:07:11.000]  猶像勇士歡歡喜喜的跑路,他從天的這邊出來,繞到天的那邊,
[00:07:11.000 --> 00:07:19.000]  沒有什麼可以隱藏,得不到他的混亂,用了太陽,用了幾節的聖經,
[00:07:19.000 --> 00:07:33.000]  去到說太陽的可見程度,或者可以感受的程度,每個人都會感受到太陽的猛烈,太陽的光,
[00:07:33.000 --> 00:07:41.000]  當然這個和當地巴勒斯坦地很有關係,特別是夏天,去到以色列的時候,
[00:07:41.000 --> 00:07:50.000]  7月8月,是沒有雨水的,整個天都是藍色的,和我們芝加哥有很多不同,
[00:07:50.000 --> 00:07:58.000]  我們幾乎有時候一年裡面,有幾個月是不見天日的,除了我們不出街之外,
[00:07:58.000 --> 00:08:03.000]  太陽很少見到的,因為多雲,或者有雨,好像今天這樣,我們就見不到太陽,
[00:08:03.000 --> 00:08:14.000]  但是在以色列,你逃避不了太陽,因為太陽出來的時候,知道它日落,
[00:08:14.000 --> 00:08:24.000]  我們都會感受到太陽的猛烈,用太陽來述說,說上帝自己的存在,
[00:08:24.000 --> 00:08:32.000]  上帝的權能,是每個人都可以見到的,為什麼不用其他真琴異獸呢?
[00:08:32.000 --> 00:08:43.000]  一些很奇特的生物,海洋裡面有很多,我最近看了一個YouTube,說八爪魚,有多厲害,
[00:08:43.000 --> 00:08:55.000]  裡面有很多很多的Nuance,很通明的一個活物,為什麼不用這些真琴異獸來告訴我們上帝創造的奇妙,
[00:08:55.000 --> 00:09:01.000]  和上帝創造主的奇妙,他的智慧,原因在哪裡呢?
[00:09:01.000 --> 00:09:07.000]  就是因為太陽人都見到,特別在以色列地,特別在巴士那裡,
[00:09:07.000 --> 00:09:16.000]  我們先來搞一些翻譯,第五節,太陽如同新郎出洞房,這個我覺得中文翻譯很奇怪,出洞房,
[00:09:16.000 --> 00:09:26.000]  可能有些現代的猶太人的傳統可以幫到我們,因為洞房這個翻譯了,或者英文ESV等等,
[00:09:26.000 --> 00:09:31.000]  翻譯成Pavilion,或者Tent,其實是什麼意思呢?
[00:09:31.000 --> 00:09:44.000]  現代的一些猶太人,他們會有一種叫做Hooper的東西,其實所謂洞房的字背後,希伯來文就是Hooper,那個Tent,
[00:09:44.000 --> 00:09:51.000]  這個猶太人現在已經有很多年的傳統,就是他們行婚禮的時候,
[00:09:51.000 --> 00:10:01.000]  新人和那個拉比,或者主婚人,就會在那個Hooper底下,在那個帳幕的底下進行婚禮,
[00:10:01.000 --> 00:10:11.000]  禮成之後,那個新郎就會帶著新娘離開那個Hooper,離開這個所謂的帳幕,
[00:10:11.000 --> 00:10:20.000]  就代表他們一個新的家庭出現,一個新的創造,所以如果十九篇這樣看的話,
[00:10:20.000 --> 00:10:32.000]  就是太陽出來的時候,就好像新郎離開這個Hooper一樣,是一個New Creation,一個新的Creation,
[00:10:32.000 --> 00:10:41.000]  就是說每一天都是上帝自己新的創造力,如果你這樣看,C篇十九篇,
[00:10:41.000 --> 00:10:50.000]  就是在說一些不是我們現代人很多時候想的,一種對宇宙的觀念,我們經常覺得宇宙是一個機器,
