
[00:00:00.000 --> 00:00:11.540]  我們現在打開聖經
[00:00:11.540 --> 00:00:14.880]  去到《馬太福音》第十三章三十三節
[00:00:14.880 --> 00:00:18.080]  《馬太福音》第十三章三十三節
[00:00:18.080 --> 00:00:21.460]  我們繼續去看耶穌基督講的比喻
[00:00:21.460 --> 00:00:23.900]  以及一些小的故事
[00:00:23.900 --> 00:00:25.820]  這裡只是一節的經文
[00:00:25.820 --> 00:00:27.100]  這裡他說
[00:00:27.100 --> 00:00:29.240]  天國好像面孝
[00:00:29.680 --> 00:00:31.100]  有婦人那來
[00:00:31.100 --> 00:00:33.000]  藏在三斗面裡
[00:00:33.000 --> 00:00:35.760]  直等到全團都發起來
[00:00:35.760 --> 00:00:38.560]  很簡單的一個比喻
[00:00:38.560 --> 00:00:41.280]  我們講過看耶穌的比喻的時候
[00:00:41.280 --> 00:00:44.680]  不是單單聽一個衣索如燃的故事
[00:00:44.680 --> 00:00:47.000]  而是要留意故事裡面
[00:00:47.000 --> 00:00:48.400]  到底要挑戰
[00:00:48.400 --> 00:00:50.920]  以及讓我們不舒服的是什麼地方
[00:00:50.920 --> 00:00:53.400]  那種比喻的挑釁性
[00:00:53.400 --> 00:00:55.520]  這裡講到上帝工作
[00:00:55.520 --> 00:01:00.440]  是好像那些面孝
[00:01:00.440 --> 00:01:03.960]  我不知道中間有誰做過麵包
[00:01:03.960 --> 00:01:06.240]  親手做過麵包
[00:01:06.240 --> 00:01:08.440]  就是真的要搓麵粉那些
[00:01:08.440 --> 00:01:13.720]  那些面孝就是讓麵粉發大
[00:01:13.720 --> 00:01:19.080]  因為我自己也獻身做了一次麵包
[00:01:19.080 --> 00:01:21.560]  所以我想大家去看看
[00:01:21.560 --> 00:01:23.000]  到底我學了什麼
[00:01:23.000 --> 00:01:24.520]  大家去看看
[00:01:24.520 --> 00:01:26.520]  (笑聲)
[00:01:26.520 --> 00:01:31.320]  (掌聲)
[00:01:31.320 --> 00:01:33.120]  做麵包真的不容易
[00:01:33.120 --> 00:01:34.320]  燒焦了是吧
[00:01:34.320 --> 00:01:35.400]  不想的
[00:01:35.400 --> 00:01:37.400]  我也是第一次算是這樣
[00:01:37.400 --> 00:01:40.520]  我覺得很有意思
[00:01:40.520 --> 00:01:43.520]  上帝給我們一些啟示
[00:01:43.520 --> 00:01:44.560]  耶穌講的比喻
[00:01:44.560 --> 00:01:46.280]  很多是有機的比喻
[00:01:46.280 --> 00:01:49.280]  你記得我上次講過芥菜種的比喻
[00:01:49.280 --> 00:01:50.760]  這次我們講麵孝的比喻
[00:01:50.760 --> 00:01:51.600]  其實也是一樣
[00:01:51.600 --> 00:01:53.240]  講到麵孝的時候
[00:01:53.240 --> 00:01:58.240]  就是在廚房裡面常常會看到的東西
[00:01:58.240 --> 00:02:02.440]  大概可能猶太人或者耶穌講的麵孝
[00:02:02.440 --> 00:02:05.720]  不是我們今天在Whole Foods裡面買到一包的麵孝
[00:02:05.720 --> 00:02:09.840]  而是每次搓麵粉留下一塊
[00:02:09.840 --> 00:02:12.040]  明天又再搓要用回那塊
[00:02:12.040 --> 00:02:13.240]  那叫做Leaven
[00:02:13.240 --> 00:02:15.440]  就是那種麵孝
[00:02:15.440 --> 00:02:19.640]  但是做的功能其實也是差不多
[00:02:19.640 --> 00:02:22.640]  就是要用麵團來發起
