
[00:00:00.000 --> 00:00:04.480]  你知道聖經裡面有很多不同的內容
[00:00:04.480 --> 00:00:09.240]  有些是故事,有些是律法,有些是書信
[00:00:09.240 --> 00:00:11.240]  其中一些是詩歌
[00:00:11.240 --> 00:00:15.320]  就是說詩人寫了的時候,本身是用音樂來唱出來
[00:00:15.320 --> 00:00:17.880]  當然那些音樂已經失傳了
[00:00:17.880 --> 00:00:20.360]  但是歌詞仍然留給我們
[00:00:20.360 --> 00:00:22.960]  所以看這些詩詞歌賦的時候
[00:00:22.960 --> 00:00:24.960]  我記得上一次我們開始的時候
[00:00:24.960 --> 00:00:26.960]  我就說應該問兩個問題
[00:00:26.960 --> 00:00:28.960]  起碼問兩個問題就是什麼呢?
[00:00:28.960 --> 00:00:30.960]  你看這些詩詞歌賦的時候
[00:00:30.960 --> 00:00:36.440]  你問問到底作者、詩人是誰
[00:00:36.440 --> 00:00:39.040]  還有他唱出來的時候
[00:00:39.040 --> 00:00:41.800]  或者寫出來的這些詩歌
[00:00:41.800 --> 00:00:45.800]  他是在什麼情況、背景下寫出來的
[00:00:45.800 --> 00:00:48.040]  他想述說些什麼呢?
[00:00:48.040 --> 00:00:52.320]  以致我們在詩歌裡面能夠看多一點這些內容
[00:00:52.320 --> 00:00:56.200]  我們首先看第一兩節
[00:00:56.200 --> 00:00:57.320]  第一兩節是這麼說的
[00:00:57.320 --> 00:00:59.320]  他說:神人摩西的祈禱
[00:00:59.320 --> 00:01:01.320]  整首詩歌都是一個禱告
[00:01:01.320 --> 00:01:03.880]  主呀,祢世世代代在我們居所
[00:01:03.880 --> 00:01:05.440]  群山尚未生出
[00:01:05.440 --> 00:01:07.920]  大地世界尚未造成的時候
[00:01:07.920 --> 00:01:10.800]  從永遠到永遠,祢是神
[00:01:10.800 --> 00:01:12.800]  只是這兩節打開之後
[00:01:12.800 --> 00:01:13.800]  你就會發現
[00:01:13.800 --> 00:01:19.280]  似乎就帶我們回到聖經頭五本書
[00:01:19.280 --> 00:01:22.280]  我們知道聖經有兩舊
