
[00:00:00.000 --> 00:00:03.000]  開始之前 我想問問大家
[00:00:03.000 --> 00:00:06.600]  你們有沒有人每個星期為我們
[00:00:06.600 --> 00:00:10.000]  星期日服侍的弟兄姊妹祈禱
[00:00:10.000 --> 00:00:11.000]  Thank you
[00:00:11.000 --> 00:00:14.000]  特別是為了港元 有沒有?
[00:00:14.000 --> 00:00:17.000]  如果你有 我很想多謝你
[00:00:17.000 --> 00:00:21.000]  因為每次講道的時候 我都很戰戰兢兢
[00:00:21.000 --> 00:00:26.000]  莫說我預備了很多東西給你們
[00:00:26.000 --> 00:00:30.000]  我預備了幾個月的經文
[00:00:30.000 --> 00:00:33.000]  正是上個星期三一神學院校長
[00:00:33.000 --> 00:00:37.000]  包惠君牧師所講的經文
[00:00:37.000 --> 00:00:41.000]  求主憐憫
[00:00:41.000 --> 00:00:43.000]  我
[00:00:43.000 --> 00:00:45.000]  Seriously 其實很多謝包牧師
[00:00:45.000 --> 00:00:47.000]  幫我打了底
[00:00:47.000 --> 00:00:50.000]  希望今天我們再講羅馬書
[00:00:50.000 --> 00:00:52.000]  十二章一至二節的時候
[00:00:52.000 --> 00:00:58.000]  大家對當中的訊息能夠有更深入的反思
[00:00:58.000 --> 00:01:01.000]  重要的經文講兩次
[00:01:01.000 --> 00:01:06.000]  感謝神今天再有機會在大家當中分享神的話語
[00:01:06.000 --> 00:01:08.000]  這個暑假我會分開三堂
[00:01:08.000 --> 00:01:12.000]  跟大家講羅馬書十二章當中的訊息
[00:01:12.000 --> 00:01:14.000]  第一堂就是今天
[00:01:14.000 --> 00:01:17.000]  就是羅馬書十二章一至二節
[00:01:17.000 --> 00:01:19.000]  生命的一章
[00:01:19.000 --> 00:01:22.000]  羅馬書十二章一至二節
[00:01:22.000 --> 00:01:24.000]  生命的祭
[00:01:24.000 --> 00:01:27.000]  到七月頭就會講生命的慈
[00:01:27.000 --> 00:01:30.000]  講神的恩賜三至八節
[00:01:30.000 --> 00:01:32.000]  第三堂就在七月底
[00:01:32.000 --> 00:01:35.000]  九至二十一節講到生命的智
[00:01:35.000 --> 00:01:37.000]  講智力去愛
[00:01:37.000 --> 00:01:40.000]  羅馬書十二章一至二節
[00:01:40.000 --> 00:01:44.000]  可能你們當中有些人跟我一起長大
[00:01:44.000 --> 00:01:48.000]  是我大學生團契的時候的一個團訓
[00:01:48.000 --> 00:01:53.000]  現在的團契已經不流行唱團歌背團訓
[00:01:53.000 --> 00:01:56.000]  很明顯這是我的自殺式
[00:01:56.000 --> 00:02:00.000]  順便揭露年齡分享
[00:02:00.000 --> 00:02:02.000]  想當年每個星期三的團契
[00:02:02.000 --> 00:02:06.000]  我們都會站起來去背團訓
[00:02:06.000 --> 00:02:08.000]  唱團歌
[00:02:08.000 --> 00:02:10.000]  我想起每一次背的時候
[00:02:10.000 --> 00:02:13.000]  我們大家都是很有使命感的
[00:02:13.000 --> 00:02:14.000]  我自己在想
[00:02:14.000 --> 00:02:16.000]  我每個星期背的時候
[00:02:16.000 --> 00:02:18.000]  重新去立志
[00:02:18.000 --> 00:02:21.000]  告訴神我願意將我的生命放上
[00:02:21.000 --> 00:02:25.000]  願意獻上我自己給神
[00:02:25.000 --> 00:02:30.000]  分享之前我們先做個祈禱
[00:02:30.000 --> 00:02:33.000]  出口主我們的神
[00:02:33.000 --> 00:02:35.000]  感謝讚美你
[00:02:35.000 --> 00:02:39.000]  恭敬的將以下時間放上
[00:02:39.000 --> 00:02:41.000]  你恩高諧至的口
[00:02:41.000 --> 00:02:42.000]  讓你自己的話語
[00:02:42.000 --> 00:02:46.000]  藉著人的口帶著能力被釋放出去
[00:02:46.000 --> 00:02:48.000]  聖靈在人的心裏面工作
[00:02:48.000 --> 00:02:50.000]  用心去聆聽
[00:02:50.000 --> 00:02:52.000]  你要跟我們說的話
[00:02:52.000 --> 00:02:54.000]  這樣的祈禱
[00:02:54.000 --> 00:02:57.000]  奉耶穌基督的聖名祈求
[00:02:57.000 --> 00:03:01.000]  《羅馬書》在聖經裏面是一本很重要的書
[00:03:01.000 --> 00:03:03.000]  可能你聽我這樣說的時候
[00:03:03.000 --> 00:03:04.000]  可能在想
[00:03:04.000 --> 00:03:06.000]  誰不知道媽媽是女人嗎
[00:03:06.000 --> 00:03:09.000]  聖經裏面有哪本書是不重要的呢
[00:03:09.000 --> 00:03:11.000]  我想講重要的意思
[00:03:11.000 --> 00:03:15.000]  是《羅馬書》對一些影響世代的神學家
[00:03:15.000 --> 00:03:18.000]  是有些很震撼性的影響
[00:03:18.000 --> 00:03:22.000]  神學家 哲學家奧古斯丁
[00:03:22.000 --> 00:03:24.000]  他在386年的時候
[00:03:24.000 --> 00:03:26.000]  因為讀《羅馬書》13章
[00:03:26.000 --> 00:03:30.000]  13至14節而悔改信主
[00:03:30.000 --> 00:03:34.000]  後來他成為一個很出名的講道者
[00:03:34.000 --> 00:03:36.000]  我們讀神學院的人
[00:03:36.000 --> 00:03:40.000]  沒有一個學生是不會讀到他的著作
[00:03:40.000 --> 00:03:45.000]  他的著作是很舉足輕重的
[00:03:45.000 --> 00:03:48.000]  神學家 宗教改革家
[00:03:48.000 --> 00:03:50.000]  馬丁路德
[00:03:50.000 --> 00:03:54.000]  在1515年11月教授《羅馬書》的時候
[00:03:54.000 --> 00:03:56.000]  指出《羅馬書》的重點
[00:03:56.000 --> 00:04:01.000]  不是講一個公義的神要去審判不義的人
[00:04:01.000 --> 00:04:05.000]  而是神要因為人的信心去稱人為義
[00:04:05.000 --> 00:04:11.000]  這個教義也是去改革運動的一個動力
[00:04:11.000 --> 00:04:15.000]  在《羅馬書》12章1至2節之前
[00:04:15.000 --> 00:04:17.000]  我很想和大家講一講
[00:04:17.000 --> 00:04:19.000]  隨便講一講《羅馬書》1至11節
[00:04:19.000 --> 00:04:21.000]  大約是講了些什麼
[00:04:21.000 --> 00:04:26.000]  總括來說是在講基督教的基本教義
[00:04:26.000 --> 00:04:30.000]  也在講無論是猶太人
[00:04:30.000 --> 00:04:33.000]  在當時地位似乎高一點
[00:04:33.000 --> 00:04:35.000]  巴閉一點
[00:04:35.000 --> 00:04:38.000]  或者是外邦人地位低一點的人
[00:04:38.000 --> 00:04:41.000]  都是因為信基督而被稱義
[00:04:41.000 --> 00:04:45.000]  而不是因為遵守一些律法和教義
[00:04:45.000 --> 00:04:48.000]  來到《羅馬書》12章的結構上
[00:04:48.000 --> 00:04:55.000]  12章的開始是將1至11章所講的
[00:04:55.000 --> 00:04:58.000]  由一些教義轉向我們怎樣去應用
[00:04:58.000 --> 00:05:03.000]  怎樣去應用解釋福音的真義轉向怨念
[00:05:03.000 --> 00:05:06.000]  教導信徒在每日行事為人上
[00:05:06.000 --> 00:05:10.000]  我們怎樣實踐恩信的道理
[00:05:10.000 --> 00:05:12.000]  就像我剛才所講的
[00:05:12.000 --> 00:05:15.000]  今天的講題叫《生命的祭》
[00:05:15.000 --> 00:05:19.000]  我想先邀請大家和我一起讀這節經文
[00:05:19.000 --> 00:05:22.000]  如果你想當年和我團契的時候
[00:05:22.000 --> 00:05:25.000]  歡迎你背著
[00:05:25.000 --> 00:05:27.000]  1 2 3
[00:05:27.000 --> 00:05:29.000]  所以弟兄們
[00:05:29.000 --> 00:05:32.000]  我以神的慈悲勸你們
[00:05:32.000 --> 00:05:34.000]  將身體獻上
[00:05:34.000 --> 00:05:36.000]  當作活祭
[00:05:36.000 --> 00:05:58.000]  (廣東話)
[00:05:58.000 --> 00:06:00.000]  2008年開始
[00:06:00.000 --> 00:06:03.000]  我們一家隨從我們以前的教會
[00:06:03.000 --> 00:06:07.000]  一起進入中國大陸傳福音
[00:06:07.000 --> 00:06:09.000]  每個暑假
[00:06:09.000 --> 00:06:10.000]  差不多廁止之後
[00:06:10.000 --> 00:06:13.000]  我們每個暑假都會進入中國
[00:06:13.000 --> 00:06:15.000]  但自從2019年之後
[00:06:15.000 --> 00:06:18.000]  我們就不可以再進入
[00:06:18.000 --> 00:06:20.000]  但我心裏經常記掛著
[00:06:20.000 --> 00:06:23.000]  在中國大陸的弟兄姊妹
[00:06:23.000 --> 00:06:25.000]  當地的教會
[00:06:25.000 --> 00:06:28.000]  很想有機會再去探望他們
[00:06:28.000 --> 00:06:30.000]  很想問問他們你們最近怎樣
[00:06:30.000 --> 00:06:32.000]  還可不可以聚會
[00:06:32.000 --> 00:06:34.000]  有沒有堅守信仰
[00:06:34.000 --> 00:06:37.000]  同樣12章的一開始
[00:06:37.000 --> 00:06:38.000]  保羅在這裏
[00:06:38.000 --> 00:06:41.000]  (廣東話)
[00:06:41.000 --> 00:06:43.000]  出於神的慈悲
[00:06:43.000 --> 00:06:45.000]  去慰問弟兄姊妹
[00:06:45.000 --> 00:06:48.000]  出於他對弟兄姊妹的愛
[00:06:48.000 --> 00:06:50.000]  勸勉信徒
[00:06:50.000 --> 00:06:52.000]  要怎樣活出信徒的生命
[00:06:52.000 --> 00:06:55.000]  (廣東話)
[00:06:55.000 --> 00:06:57.000]  我為主作酬道的勸你們
[00:06:57.000 --> 00:07:00.000]  既然蒙召行事為人
[00:07:00.000 --> 00:07:04.000]  就要與你們所夢的呼召相請
[00:07:04.000 --> 00:07:07.000]  聖經裏面的教導
[00:07:07.000 --> 00:07:11.000]  從來都不是只是叫人閱讀
[00:07:11.000 --> 00:07:14.000]  或者讓人只知道一些教義
[00:07:14.000 --> 00:07:18.000]  教導的目的是要我們實踐
[00:07:18.000 --> 00:07:23.000]  看聖經是要我們更加認識神
[00:07:23.000 --> 00:07:26.000]  將身體獻上當作活祭
[00:07:26.000 --> 00:07:29.000]  上個星期巴木斯都有少許提過
[00:07:29.000 --> 00:07:31.000]  舊約的獻祭
[00:07:31.000 --> 00:07:34.000]  普遍是講被殺的生畜
[00:07:34.000 --> 00:07:36.000]  被揀選
