
[00:00:00.000 --> 00:00:01.660]  各位,我不是Hanna
[00:00:01.660 --> 00:00:03.660]  但是我認識Hanna很久了
[00:00:03.660 --> 00:00:05.160]  認識Hanna很多年了
[00:00:05.160 --> 00:00:07.280]  我想來了芝加哥沒多久
[00:00:07.280 --> 00:00:09.460]  我二十多年前來芝加哥的
[00:00:09.460 --> 00:00:11.240]  都已經認識Hanna
[00:00:11.240 --> 00:00:14.420]  在教務局同工會等等
[00:00:14.420 --> 00:00:17.540]  Hanna一直很多年在芝加哥
[00:00:17.540 --> 00:00:18.960]  和大芝加哥區
[00:00:18.960 --> 00:00:24.460]  做一些大學生和職稱、社稱的工作
[00:00:24.460 --> 00:00:26.660]  特別是國語的士工
[00:00:26.660 --> 00:00:29.580]  我們久不久還會見面
[00:00:29.580 --> 00:00:31.080]  我會請她吃飯
[00:00:31.080 --> 00:00:33.080]  好像你沒有請她吃飯
[00:00:33.080 --> 00:00:35.340]  我每次找她都是請她吃飯的
[00:00:35.340 --> 00:00:37.500]  有時候我們教會都會借出一些地方
[00:00:37.500 --> 00:00:40.540]  給她做一些外展的工作
[00:00:40.540 --> 00:00:44.040]  我們知道在教會城市裡面
[00:00:44.040 --> 00:00:46.340]  做一些宣教工作、侍奉
[00:00:46.340 --> 00:00:49.080]  是需要不只是我們教會的
[00:00:49.080 --> 00:00:50.960]  是需要其他的夥伴
[00:00:50.960 --> 00:00:53.620]  其他的夥伴、其他的同工
[00:00:53.620 --> 00:00:55.500]  所以Hanna是一個
[00:00:55.500 --> 00:00:59.080]  我們希望能夠和她更多有夥伴
[00:00:59.080 --> 00:01:03.080]  你在港島裡面可以認識到她
[00:01:03.080 --> 00:01:05.380]  在做一些的士工和一些的挑戰
[00:01:05.380 --> 00:01:07.160]  我們在土告裡面去紀念
[00:01:07.160 --> 00:01:09.460]  還有在行動上我們支持她
[00:01:09.460 --> 00:01:11.000]  好的 我們歡迎Hanna
[00:01:11.000 --> 00:01:21.960]  好 感謝Mark Sir的邀請
[00:01:21.960 --> 00:01:23.840]  我是Hanna
[00:01:23.840 --> 00:01:26.660]  剛開始的時候看到一個小Hanna
[00:01:26.660 --> 00:01:28.840]  很可愛
[00:01:28.840 --> 00:01:32.040]  其實認識你們教會有好幾位同工
[00:01:32.040 --> 00:01:34.540]  有些人例如Lysine、Phoebe
[00:01:34.540 --> 00:01:36.920]  我們都是好多年的朋友
[00:01:36.920 --> 00:01:37.920]  很感謝主
[00:01:37.920 --> 00:01:40.380]  也是為你們教會特別獻上感恩
[00:01:40.380 --> 00:01:42.220]  城會社區教會
[00:01:42.220 --> 00:01:47.080]  雖然在國語群體當中不是很有名
[00:01:47.080 --> 00:01:50.040]  但是已經被偶然聽見
[00:01:50.040 --> 00:01:51.040]  很多人跟我打聽
[00:01:51.040 --> 00:01:53.420]  這是一個怎樣的教會
[00:01:53.420 --> 00:01:54.720]  為你們教會感恩
[00:01:54.720 --> 00:01:59.460]  你們已經接觸了很多不同背景
[00:01:59.460 --> 00:02:04.460]  不同階層、不同年齡層的朋友們
[00:02:04.460 --> 00:02:06.340]  也是很感恩
[00:02:06.340 --> 00:02:09.040]  也有機會和Mark Sir再一次聯絡
[00:02:09.040 --> 00:02:13.260]  我們是希望能夠和城會社區教會
[00:02:13.260 --> 00:02:15.800]  有更多的合作和配搭
[00:02:15.800 --> 00:02:18.000]  我個人是在香港長大的
[00:02:18.000 --> 00:02:20.640]  但是我大學是在台灣讀的
[00:02:20.640 --> 00:02:22.140]  工作也是在台灣
[00:02:22.140 --> 00:02:23.640]  後來來到美國
[00:02:23.640 --> 00:02:25.420]  在美國這幾年當中
[00:02:25.420 --> 00:02:27.640]  其實很主要的工作
[00:02:27.640 --> 00:02:29.060]  就是神的呼召
[00:02:29.060 --> 00:02:31.560]  來進入服侍年輕人
[00:02:31.560 --> 00:02:33.960]  我們在今天的訊息裡
[00:02:33.960 --> 00:02:36.300]  會更多和大家分享
[00:02:36.300 --> 00:02:39.600]  在年輕人當中的免導同行
[00:02:39.600 --> 00:02:41.960]  是在基督裡的免導同行
[00:02:41.960 --> 00:02:45.420]  同時也是回到聖經的真理裡
[00:02:45.420 --> 00:02:48.220]  讓我們看回在基督裡的免導同行
[00:02:48.220 --> 00:02:51.960]  有什麼真理也許我們過去有忽略了
[00:02:51.960 --> 00:02:54.760]  現在我們回到神的真理當中
[00:02:54.760 --> 00:02:58.380]  然後再看看我們如何和年輕人
[00:02:58.380 --> 00:02:59.960]  其實應該是跨代
[00:02:59.960 --> 00:03:01.840]  年輕人和年輕人同行
[00:03:01.840 --> 00:03:03.960]  年輕人也要和長輩同行
[00:03:03.960 --> 00:03:05.540]  我們和同族的同行
[00:03:05.540 --> 00:03:08.040]  也需要跨向不同的族群
[00:03:08.040 --> 00:03:10.660]  今天我們的訊息是在
[00:03:10.660 --> 00:03:14.340]  《哥羅西書》一章28到29節
[00:03:14.340 --> 00:03:16.460]  《哥羅西書》一章28到29節
[00:03:16.460 --> 00:03:18.340]  在進入經文之前
[00:03:18.340 --> 00:03:21.380]  我們來看看一個失落的環球
[00:03:21.380 --> 00:03:25.000]  這個失落的環球就是我們過去有很多的聚會
[00:03:25.000 --> 00:03:26.260]  講座、培訓
[00:03:26.260 --> 00:03:28.080]  特別是在疫情當中
[00:03:28.080 --> 00:03:30.760]  很多這些聚會、講座、培訓
[00:03:30.760 --> 00:03:32.800]  是在線上進行的
[00:03:32.800 --> 00:03:34.380]  但是幾年的疫情裡
[00:03:34.380 --> 00:03:36.500]  我們發覺到很多時候
[00:03:36.500 --> 00:03:41.000]  我們有很多的培訓、很多的講座
[00:03:41.000 --> 00:03:44.420]  其實很多時候我們傳達的是知識
[00:03:44.420 --> 00:03:45.920]  從聚會培訓
[00:03:45.920 --> 00:03:49.620]  到培育靈命、成全使命當中
[00:03:49.620 --> 00:03:51.620]  有一個鴻溝
[00:03:51.620 --> 00:03:54.420]  但是我們在這個鴻溝裡
[00:03:54.420 --> 00:03:58.420]  是不是可以有一個可以連接起來的
[00:03:58.420 --> 00:04:01.960]  讓這個培訓、講座、聚會
[00:04:01.960 --> 00:04:04.620]  和培育靈命、成全使命中間
[00:04:04.620 --> 00:04:06.500]  是可以連起來的
[00:04:06.500 --> 00:04:10.460]  我們要找回這個所謂失落的環球
[00:04:10.460 --> 00:04:15.420]  今天我會透過《哥羅西書》一章28到29節
[00:04:15.420 --> 00:04:17.700]  我們要找回這個失落的環球
[00:04:17.700 --> 00:04:21.280]  在基督裡免渡同行
[00:04:21.280 --> 00:04:22.620]  這個失落的環球
[00:04:22.620 --> 00:04:25.120]  我們如何回到真理裡面
[00:04:25.120 --> 00:04:27.620]  然後反思我們的侍奉
[00:04:27.620 --> 00:04:32.120]  反思我們如何去培育和成全使命
[00:04:32.120 --> 00:04:36.460]  在我們所講的今天的經文裡面
[00:04:36.460 --> 00:04:39.540]  我們主要是在《哥羅西書》
[00:04:39.540 --> 00:04:44.120]  《哥羅西書》的一章28到29節
[00:04:44.540 --> 00:04:45.540]  好
[00:04:45.540 --> 00:04:51.540]  現在我們先看《和合本》
[00:04:51.540 --> 00:04:53.040]  《和合本》這麼說
[00:04:53.040 --> 00:04:54.540]  一章28節
[00:04:54.540 --> 00:04:58.240]  我們傳揚他使用諸般的智慧
[00:04:58.240 --> 00:05:01.040]  勸戒各人、教導各人
[00:05:01.040 --> 00:05:06.540]  要把各人在基督裡完完全全地引到神面前
[00:05:06.540 --> 00:05:08.540]  我又為此勞苦
[00:05:08.540 --> 00:05:11.340]  照著他在我裡面運用的大能
[00:05:11.340 --> 00:05:13.540]  盡心竭力
[00:05:13.540 --> 00:05:14.540]  這個是保羅
[00:05:14.540 --> 00:05:16.540]  他在寫《哥羅西書》
[00:05:16.540 --> 00:05:22.540]  告訴我們他在基督內為主勞苦
[00:05:22.540 --> 00:05:24.540]  而且不單是他自己
