
[00:00:00.000 --> 00:00:03.720]  (第1節)
[00:00:03.720 --> 00:00:05.120]  各位大英姐妹,早安
[00:00:05.120 --> 00:00:07.480]  各位母親節快樂
[00:00:07.480 --> 00:00:09.600]  在母親節的時候
[00:00:09.600 --> 00:00:13.200]  我也想分享一下我跟媽媽的點滴
[00:00:13.200 --> 00:00:16.240]  記得在我小時候
[00:00:16.240 --> 00:00:18.920]  好像是幼稚園畢業禮
[00:00:18.920 --> 00:00:22.520]  在亞洲、香港
[00:00:22.520 --> 00:00:27.320]  在暑假的日子,天氣很熱
[00:00:27.400 --> 00:00:32.680]  學校很有趣,舉辦了戶外的畢業禮
[00:00:32.680 --> 00:00:35.560]  所有家長和學生
[00:00:35.560 --> 00:00:38.520]  都在露天操場上曝曬
[00:00:38.520 --> 00:00:40.000]  但一白遮也沒有
[00:00:40.000 --> 00:00:41.680]  你知道小朋友還好
[00:00:41.680 --> 00:00:43.880]  戴著畢業帽,有帽子遮著
[00:00:43.880 --> 00:00:47.040]  但家長們不斷曬
[00:00:47.040 --> 00:00:49.560]  大汗淋漓,不斷流汗
[00:00:49.560 --> 00:00:53.240]  但看著自己的小朋友
[00:00:53.240 --> 00:00:56.760]  畢業的家長都很滿足、很開心
[00:00:56.840 --> 00:00:59.520]  其實學校也知道很熱
[00:00:59.520 --> 00:01:03.160]  雖然沒有安排太陽傘
[00:01:03.160 --> 00:01:06.520]  但他們有安排可樂車
[00:01:06.520 --> 00:01:10.720]  讓小朋友排隊拿可樂
[00:01:10.720 --> 00:01:13.720]  大熱天,不喝東西很容易中暑
[00:01:13.720 --> 00:01:16.040]  當時我也覺得很熱
[00:01:16.040 --> 00:01:17.720]  我小時候是一個胖子
[00:01:17.720 --> 00:01:20.960]  很熱,渾身都流汗
[00:01:20.960 --> 00:01:23.400]  然後走過去拿一杯可樂
[00:01:23.400 --> 00:01:24.840]  喝完後就喝光
[00:01:24.920 --> 00:01:27.160]  然後再拿一杯,再喝一杯
[00:01:27.160 --> 00:01:27.920]  很快喝完後
[00:01:27.920 --> 00:01:31.480]  回到座位繼續曬太陽
[00:01:31.480 --> 00:01:32.800]  然後我媽媽問我
[00:01:32.800 --> 00:01:35.120]  「為何你不倒一杯給我」
[00:01:35.120 --> 00:01:39.000]  然後我說「糟糕了」
[00:01:39.000 --> 00:01:43.440]  其實媽媽曬太陽很久
