
[00:00:00.000 --> 00:00:09.360]  我們在這個月和這一年都會有些轉折和過渡
[00:00:09.360 --> 00:00:12.920]  首先感謝吳牧師很忠心去侍奉
[00:00:12.920 --> 00:00:17.200]  由我們UV開始第一天
[00:00:17.200 --> 00:00:20.200]  我們還沒開始之前已經喝了茶
[00:00:20.200 --> 00:00:23.560]  我們就一起去同工
[00:00:23.560 --> 00:00:25.560]  吳牧師是一個很好的榜樣
[00:00:25.560 --> 00:00:27.960]  在我們中間很忠心侍奉
[00:00:27.960 --> 00:00:30.880]  無論是年長的或年少的
[00:00:30.880 --> 00:00:33.480]  其實在吳牧師身上都有很多學習
[00:00:33.480 --> 00:00:37.480]  什麼叫忠心和堅持到底
[00:00:37.480 --> 00:00:39.480]  因為他的身體的緣故
[00:00:39.480 --> 00:00:42.480]  所以我們上一個主日
[00:00:42.480 --> 00:00:45.000]  我們在Call Team有一些討論
[00:00:45.000 --> 00:00:49.600]  吳牧師提出會在四月底離職
[00:00:49.600 --> 00:00:51.600]  所以有一些改變
[00:00:51.600 --> 00:00:56.480]  教育同工和Call Team都會有不同的安排
[00:00:56.480 --> 00:01:00.800]  所以其他的細節我們會容後公佈
[00:01:00.800 --> 00:01:04.480]  另外我們知道兒童侍工
[00:01:04.480 --> 00:01:05.480]  青年侍工
[00:01:05.480 --> 00:01:07.000]  英文侍工
[00:01:07.000 --> 00:01:09.000]  其實我們都需要一位同工
[00:01:09.000 --> 00:01:10.520]  我們一直都有討告
[00:01:10.520 --> 00:01:15.000]  最近我們開始聘請一位大兄
[00:01:15.000 --> 00:01:16.000]  叫楊之逸
[00:01:16.000 --> 00:01:17.000]  楊之逸傳道
[00:01:17.000 --> 00:01:19.000]  叫Chee
[00:01:19.000 --> 00:01:21.000]  他是馬來西亞華人
[00:01:21.000 --> 00:01:24.000]  我們很巧合地遇上了
[00:01:24.000 --> 00:01:26.000]  我們討論過後
[00:01:26.000 --> 00:01:27.000]  面試過後
[00:01:27.000 --> 00:01:30.000]  我們覺得楊傳道很適合我們
[00:01:30.000 --> 00:01:32.000]  所以我們就開始跟他合作
[00:01:32.000 --> 00:01:33.000]  因為他是馬來西亞華人
[00:01:33.000 --> 00:01:35.000]  我們跟他合作H1B
[00:01:35.000 --> 00:01:38.000]  不同的工作簽證
[00:01:38.000 --> 00:01:41.000]  希望大兄姐妹為了這方面去討告
[00:01:41.000 --> 00:01:43.000]  我們暫時只是聘請他兼職
[00:01:43.000 --> 00:01:45.000]  我們只能夠支付他兼職
[00:01:45.000 --> 00:01:47.000]  希望他能夠很快上到軌道
[00:01:47.000 --> 00:01:50.000]  因為我們實在很需要一些同工
[00:01:50.000 --> 00:01:52.000]  這些細節我們在嘉士大會
[00:01:52.000 --> 00:01:54.000]  也會跟大家多說一點
[00:01:54.000 --> 00:01:55.000]  如果你想知道誰是Chee
[00:01:55.000 --> 00:01:57.000]  誰是楊傳道的話
[00:01:57.000 --> 00:02:00.000]  做父母的
[00:02:00.000 --> 00:02:01.000]  今天已經取消了
[00:02:01.000 --> 00:02:03.000]  你隨便過去
[00:02:03.000 --> 00:02:05.000]  那裡看到有一個年輕人
[00:02:05.000 --> 00:02:06.000]  就是他
[00:02:06.000 --> 00:02:08.000]  比我年輕
[00:02:08.000 --> 00:02:11.000]  怎樣也好
[00:02:11.000 --> 00:02:12.000]  希望大家大兄姐妹
[00:02:12.000 --> 00:02:15.000]  為教會的歌道來討告
[00:02:15.000 --> 00:02:16.000]  好嗎?
[00:02:16.000 --> 00:02:19.000]  今天我們開始一個系列
[00:02:19.000 --> 00:02:21.000]  是講到敬拜的
[00:02:21.000 --> 00:02:22.000]  講到敬拜
[00:02:22.000 --> 00:02:24.000]  可能你第一次來教會
[00:02:24.000 --> 00:02:27.000]  或者你來教會已經很多年了
[00:02:27.000 --> 00:02:29.000]  你是那些老差骨
[00:02:29.000 --> 00:02:32.000]  已經習慣了教會發生什麼事
[00:02:32.000 --> 00:02:34.000]  你療癒之障
[00:02:34.000 --> 00:02:35.000]  那些老差骨
[00:02:35.000 --> 00:02:37.000]  都是需要知道什麼叫敬拜的
[00:02:37.000 --> 00:02:39.000]  我們進來這裡
[00:02:39.000 --> 00:02:40.000]  吃完東西
[00:02:40.000 --> 00:02:41.000]  喝完咖啡
[00:02:41.000 --> 00:02:43.000]  然後我們唱幾首歌
[00:02:43.000 --> 00:02:44.000]  祈禱
[00:02:44.000 --> 00:02:45.000]  讀一下聖經
[00:02:45.000 --> 00:02:46.000]  聽道等等
[00:02:46.000 --> 00:02:48.000]  我們就說這個是敬拜
[00:02:48.000 --> 00:02:50.000]  敬拜是一回什麼事呢?
[00:02:50.000 --> 00:02:53.000]  我希望在這個系列裡面
[00:02:53.000 --> 00:02:54.000]  跟大家思想一下
[00:02:54.000 --> 00:02:56.000]  因為幾年的
[00:02:56.000 --> 00:02:58.000]  之前幾年的疫情
[00:02:58.000 --> 00:03:01.000]  已經令到我們的敬拜生活
[00:03:01.000 --> 00:03:03.000]  大受打擊
[00:03:03.000 --> 00:03:05.000]  我們墮落到一個地步
[00:03:05.000 --> 00:03:06.000]  睡在床上
[00:03:06.000 --> 00:03:07.000]  然後拿著手機
[00:03:07.000 --> 00:03:08.000]  我告訴你
[00:03:08.000 --> 00:03:10.000]  每個人都是這樣的
[00:03:10.000 --> 00:03:11.000]  拿著手機
[00:03:11.000 --> 00:03:12.000]  眼睛蒙著
[00:03:12.000 --> 00:03:13.000]  還沒刷牙
[00:03:13.000 --> 00:03:14.000]  然後我們敬拜了
[00:03:14.000 --> 00:03:16.000]  我們墮落到這樣的程度
[00:03:16.000 --> 00:03:18.000]  真的搞錯
[00:03:18.000 --> 00:03:22.000]  你不明白實體現場的重要位置
[00:03:22.000 --> 00:03:25.000]  昨晚我和我太太去了芝加哥戲院
[00:03:25.000 --> 00:03:27.000]  我們看一個競技節目
[00:03:27.000 --> 00:03:31.000]  就是一個競技節目
[00:03:31.000 --> 00:03:34.000]  幾千人在那裡
[00:03:34.000 --> 00:03:36.000]  和你YouTube看相差很遠
[00:03:36.000 --> 00:03:38.000]  我完了之後
[00:03:38.000 --> 00:03:39.000]  我和我太太說
[00:03:39.000 --> 00:03:41.000]  這張票值得買
[00:03:41.000 --> 00:03:43.000]  因為是我買的
[00:03:43.000 --> 00:03:45.000]  所以我們兩個拍拖
[00:03:45.000 --> 00:03:46.000]  看完之後
[00:03:46.000 --> 00:03:51.000]  現場的實體氣氛
[00:03:51.000 --> 00:03:52.000]  是多麼的不同
[00:03:52.000 --> 00:03:54.000]  你在教會的崇拜
[00:03:54.000 --> 00:03:55.000]  其實都是一樣
[00:03:55.000 --> 00:03:57.000]  剛才你唱詩歌
[00:03:57.000 --> 00:03:59.000]  去讚美上帝的時候
[00:03:59.000 --> 00:04:01.000]  你有沒有留意聽到其他人唱
[00:04:01.000 --> 00:04:03.000]  有吧
[00:04:03.000 --> 00:04:05.000]  那些YouTube是聽不到的
[00:04:05.000 --> 00:04:07.000]  當然我明白
[00:04:07.000 --> 00:04:09.000]  我們有一些直播
[00:04:09.000 --> 00:04:11.000]  和看YouTube的大英姐妹
[00:04:11.000 --> 00:04:12.000]  可能在芝加哥以外
[00:04:12.000 --> 00:04:14.000]  可能找不到教會等等
[00:04:14.000 --> 00:04:15.000]  我們非常歡迎你
[00:04:15.000 --> 00:04:19.000]  但實體是不能夠取代
[00:04:19.000 --> 00:04:21.000]  實體不能夠取代
[00:04:21.000 --> 00:04:22.000]  什麼叫做敬拜呢
[00:04:22.000 --> 00:04:24.000]  敬拜Worship這個字
[00:04:24.000 --> 00:04:27.000]  其實是一個很老的
[00:04:27.000 --> 00:04:29.000]  很舊的一個英文字
[00:04:29.000 --> 00:04:31.000]  Worship
[00:04:31.000 --> 00:04:34.000]  大概是主後十幾世紀
[00:04:34.000 --> 00:04:36.000]  才開始有一個這樣的字
[00:04:36.000 --> 00:04:37.000]  其實是什麼意思呢
[00:04:37.000 --> 00:04:40.000]  就是說值得的意思
[00:04:40.000 --> 00:04:42.000]  Worth
