
[00:00:00.000 --> 00:00:04.600]  各位好,很久沒有跟大家講過聖經考古探秘的節目了
[00:00:04.600 --> 00:00:07.100]  因為以前曾經做過直播,做過Live
[00:00:07.100 --> 00:00:10.900]  因為工作時逢太忙,所以已經沒有再做了
[00:00:10.900 --> 00:00:15.300]  過了一段時間,我想不如做一些短片
[00:00:15.300 --> 00:00:18.600]  一些短的節目,15分鐘左右,20分鐘
[00:00:18.600 --> 00:00:21.100]  跟大家分享一下這方面的資訊
[00:00:21.100 --> 00:00:26.100]  今次想跟大家分享一下一個廣傳的新聞
[00:00:26.100 --> 00:00:28.100]  在網上大家可能看過了
[00:00:28.100 --> 00:00:31.100]  在以色列猶大曠野的一個洞穴裡面
[00:00:31.100 --> 00:00:35.100]  所謂找到一些新的Dead Sea Scroll Fragments
[00:00:35.100 --> 00:00:39.100]  一些死海古卷的碎片
[00:00:39.100 --> 00:00:42.100]  這個地方到底是哪一處呢?
[00:00:42.100 --> 00:00:46.100]  在猶大曠野的其中一個山洞
[00:00:46.100 --> 00:00:52.100]  這個洞穴,考古學家叫做恐怖洞穴
[00:00:52.100 --> 00:00:54.100]  為什麼叫做恐怖洞穴呢?
[00:00:54.100 --> 00:00:56.100]  等一下就告訴你了
[00:00:56.100 --> 00:01:00.100]  在這個地帶,叫做猶大曠野
[00:01:00.100 --> 00:01:06.100]  說找到新的死海古卷碎片的Fragments
[00:01:06.100 --> 00:01:09.100]  為什麼會說是死海古卷呢?
[00:01:09.100 --> 00:01:13.100]  大家知道20世紀最大的考古發現
[00:01:13.100 --> 00:01:15.100]  一定是Dead Sea Scroll
[00:01:15.100 --> 00:01:17.100]  找到的地方就是在這裡
[00:01:17.100 --> 00:01:19.100]  就是昆蘭這個地方
[00:01:19.100 --> 00:01:23.100]  我們知道當時第一世紀前後
[00:01:23.100 --> 00:01:28.100]  一些猶太教派移居到這個地方
[00:01:28.100 --> 00:01:30.100]  他們不喜歡耶路撒冷
[00:01:30.100 --> 00:01:33.100]  所以他們就建立自己的社群
[00:01:33.100 --> 00:01:35.100]  在昆蘭這個地方
[00:01:35.100 --> 00:01:37.100]  並且在這裡可能抄寫了很多聖經
[00:01:37.100 --> 00:01:42.100]  在這些山洞那裡就藏起來了
[00:01:42.100 --> 00:01:43.100]  以致2000年之後
[00:01:43.100 --> 00:01:47.100]  20世紀中1947-48年的時候
[00:01:47.100 --> 00:01:50.100]  很巧合地就找到了
[00:01:50.100 --> 00:01:55.100]  一個最大的考古的發現
[00:01:55.100 --> 00:01:57.100]  幾十年之後
[00:01:57.100 --> 00:02:00.100]  一直都沒有找到聖經的抄本
[00:02:00.100 --> 00:02:03.100]  突然60年之後
[00:02:03.100 --> 00:02:05.100]  就在下面這一處
[00:02:05.100 --> 00:02:08.100]  南面這一處其中一個洞
[00:02:08.100 --> 00:02:11.100]  就找到一些聖經的抄本
[00:02:11.100 --> 00:02:15.100]  所以這些都是一些很重要的東西
[00:02:15.100 --> 00:02:17.100]  這裡就是昆蘭
[00:02:17.100 --> 00:02:19.100]  就是死海古卷發現的地方
[00:02:19.100 --> 00:02:25.100]  這個洞穴在溪谷旁邊
[00:02:25.100 --> 00:02:28.100]  在一個懸崖峭壁那裡
[00:02:28.100 --> 00:02:35.100]  是一個很難進入考古工作的地方
[00:02:35.100 --> 00:02:38.100]  據報導故事是這樣的
[00:02:38.100 --> 00:02:42.100]  其中一位考古工作人員
[00:02:42.100 --> 00:02:46.100]  他說一開始在洞裡面搜索的時候
[00:02:46.100 --> 00:02:48.100]  想去洗手間
[00:02:48.100 --> 00:02:50.100]  去旁邊洗手間的時候
[00:02:50.100 --> 00:02:55.100]  發現原來地上不是普通的泥土
[00:02:55.100 --> 00:03:00.100]  有一些跡象是羅馬的草鞋
[00:03:00.100 --> 00:03:02.100]  是鞋子
[00:03:02.100 --> 00:03:04.100]  撥開之後他就發現
[00:03:04.100 --> 00:03:08.100]  證明洞裡面仍然有很多文物
[00:03:08.100 --> 00:03:11.100]  可能還沒有發掘出來
[00:03:11.100 --> 00:03:17.100]  所以就決定更加徹底地去清理洞穴
[00:03:17.100 --> 00:03:24.100]  所以發現這個所謂的死海古卷的地方
[00:03:24.100 --> 00:03:28.100]  就是叫做恐怖洞穴
[00:03:28.100 --> 00:03:31.100]  你見到下去這個地方
[00:03:31.100 --> 00:03:35.100]  是需要像爬山一樣從上面掉下去
[00:03:35.100 --> 00:03:38.100]  因為是沒有石級和其他方法進去的
[00:03:38.100 --> 00:03:42.100]  為什麼叫做恐怖洞穴呢
[00:03:42.100 --> 00:03:45.100]  這個洞穴為什麼會這樣命名呢
[00:03:45.100 --> 00:03:49.100]  因為當時在1960年和61年
[00:03:49.100 --> 00:03:52.100]  其實考古學家已經去過這個洞穴
[00:03:52.100 --> 00:03:54.100]  做了考古工作
[00:03:54.100 --> 00:03:56.100]  當時一去的時候
[00:03:56.100 --> 00:04:00.100]  就發現這個洞穴裡面有40具人的屍骨
[00:04:00.100 --> 00:04:02.100]  有男有女有小孩
[00:04:02.100 --> 00:04:04.100]  所以就非常恐怖
[00:04:04.100 --> 00:04:11.100]  這些鞋骨屬於第二次猶太人反羅馬革命的時候
[00:04:11.100 --> 00:04:14.100]  或者稱為Bacobab Revolt
[00:04:14.100 --> 00:04:19.100]  公元後大約132至36年間
[00:04:19.100 --> 00:04:26.100]  這些革命分子應該想逃避羅馬的追兵
[00:04:26.100 --> 00:04:32.100]  所以就藏身在這個隱密的洞穴裡面
[00:04:32.100 --> 00:04:36.100]  結果羅馬士兵就知道他們躲在這裡
[00:04:36.100 --> 00:04:42.100]  然後在山頂上駐紮守住
[00:04:42.100 --> 00:04:44.100]  不讓他們走
[00:04:44.100 --> 00:04:46.100]  其實在山的上面
[00:04:46.100 --> 00:04:53.100]  山崖的頂上也找到一個大約150平方尺的羅馬士兵營
[00:04:53.100 --> 00:04:55.100]  結果大家猜到了
[00:04:55.100 --> 00:04:57.100]  那些革命分子和家人
[00:04:57.100 --> 00:05:03.100]  年老年少的都死在這個洞穴裡面
[00:05:03.100 --> 00:05:07.100]  2000年後考古學家就在這裡發現
[00:05:07.100 --> 00:05:09.100]  是非常恐怖的景象
[00:05:09.100 --> 00:05:14.100]  這次再回到這些洞穴重新發掘
[00:05:14.100 --> 00:05:16.100]  想徹底一點的時候
[00:05:16.100 --> 00:05:21.100]  就發現到一些聖經抄本的碎片
[00:05:21.100 --> 00:05:23.100]  大約20多份
[00:05:23.100 --> 00:05:25.100]  是非常殘缺的
[00:05:25.100 --> 00:05:28.100]  要組織出來的時候
[00:05:28.100 --> 00:05:30.100]  就好像要砌圖一樣
[00:05:30.100 --> 00:05:32.100]  放大鏡等等
[00:05:32.100 --> 00:05:35.100]  李英這些聖經抄本
[00:05:35.100 --> 00:05:38.100]  都是第二次猶太革命分子
[00:05:38.100 --> 00:05:44.100]  他們帶去和留下的文物
[00:05:44.100 --> 00:05:45.100]  是屬於這個時期
[00:05:45.100 --> 00:05:47.100]  因為Radio Carbon Dating
[00:05:47.100 --> 00:05:49.100]  都是鑑定這些殘卷
[00:05:49.100 --> 00:05:52.100]  是公元後二世紀
[00:05:52.100 --> 00:05:55.100]  就是Bakufa Revolt的時候
[00:05:55.100 --> 00:05:58.100]  這些新的抄本
[00:05:58.100 --> 00:06:01.100]  上面能夠讀到的文字
[00:06:01.100 --> 00:06:05.100]  就知道有十二小仙之書裡面的一些經文
[00:06:05.100 --> 00:06:07.100]  現在我們知道的
[00:06:07.100 --> 00:06:12.100]  就是有撒加利亞書和拿紅書裡面的一些經節
[00:06:12.100 --> 00:06:17.100]  其中一塊碎片
[00:06:17.100 --> 00:06:19.100]  寫著這句話
[00:06:19.100 --> 00:06:21.100]  就是撒加利亞書第八章十六節
[00:06:21.100 --> 00:06:24.100]  大家看到這些字
[00:06:24.100 --> 00:06:26.100]  和翻譯出來的時候
[00:06:26.100 --> 00:06:28.100]  就知道是這一節的經節
[00:06:28.100 --> 00:06:31.100]  就是你們應當行者些事
[00:06:31.100 --> 00:06:33.100]  各人要向論社說真話
[00:06:33.100 --> 00:06:36.100]  在城門口要憑著誠實和公平
[00:06:36.100 --> 00:06:38.100]  施行審判
[00:06:38.100 --> 00:06:42.100]  值得留意這些抄本碎片
[00:06:42.100 --> 00:06:44.100]  經文都是希臘文
[00:06:44.100 --> 00:06:48.100]  但是每逢到神的名節的時候
[00:06:48.100 --> 00:06:50.100]  就會用Paleo Hebrew
[00:06:50.100 --> 00:06:52.100]  就是古希伯來文寫出來
[00:06:52.100 --> 00:06:54.100]  就好像我們今天寫中文
[00:06:54.100 --> 00:06:55.100]  然後寫著寫著寫著
[00:06:55.100 --> 00:06:58.100]  G-O-D或是The Lord L-O-R-D
[00:06:58.100 --> 00:07:01.100]  兩者的混合
[00:07:01.100 --> 00:07:03.100]  同時據報導
[00:07:03.100 --> 00:07:11.100]  這些經文和七十四億本的經文有些相差
[00:07:11.100 --> 00:07:13.100]  這裡就表示
[00:07:13.100 --> 00:07:16.100]  希伯來聖經的抄本傳統
[00:07:16.100 --> 00:07:18.100]  其實不是單一的
[00:07:18.100 --> 00:07:19.100]  是多元的
[00:07:19.100 --> 00:07:21.100]  可能有幾個不同的傳統
[00:07:21.100 --> 00:07:24.100]  平時我們用的就是馬索拉抄本
[00:07:24.100 --> 00:07:26.100]  就是Masoretic Text
[00:07:26.100 --> 00:07:28.100]  是屬於其中一個大的傳統
[00:07:28.100 --> 00:07:30.100]  但是其實我們在二十世紀
[00:07:30.100 --> 00:07:33.100]  找到死海古卷之後
[00:07:33.100 --> 00:07:39.100]  已經明白到多元抄本傳統的現象
[00:07:39.100 --> 00:07:40.100]  無論如何
[00:07:40.100 --> 00:07:43.100]  這個由大抗野洞穴的發掘工作
[00:07:43.100 --> 00:07:50.100]  是在1960年至61年的時候已經開始
[00:07:50.100 --> 00:07:53.100]  所以以色列的考古人員
[00:07:53.100 --> 00:07:57.100]  已經在這一帶逐個山洞搜索過
[00:07:57.100 --> 00:08:00.100]  而且這些洞穴找到的考古發現
[00:08:00.100 --> 00:08:03.100]  都是代表不同的考古歷史時期
[00:08:03.100 --> 00:08:08.100]  譬如最遠古的就是Calgolithic Age
[00:08:08.100 --> 00:08:11.100]  就是公元前4500至3500年的時間
[00:08:11.100 --> 00:08:15.100]  這個時間是剛剛人類開始用銅器
[00:08:15.100 --> 00:08:18.100]  然後另外一個時期就是Iron Age
[00:08:18.100 --> 00:08:21.100]  就是1200至560年左右
[00:08:21.100 --> 00:08:24.100]  然後死海古卷的時間就是羅馬時期
[00:08:24.100 --> 00:08:27.100]  公元前一世紀至公元後
[00:08:27.100 --> 00:08:28.100]  Late Roman Period
[00:08:28.100 --> 00:08:30.100]  就是到三百多年的時候
[00:08:30.100 --> 00:08:33.100]  在這些由大抗野的洞穴裏面
[00:08:33.100 --> 00:08:39.100]  其實都經常找到第二次猶太人革命的文物
[00:08:39.100 --> 00:08:43.100]  譬如一些硬幣 箭頭等等
[00:08:43.100 --> 00:08:48.100]  很多年來以色列都已經在這一帶山崖那裏
