
[00:00:00.000 --> 00:00:02.000]  歡迎來到舊日網上行的第九集
[00:00:02.000 --> 00:00:05.600]  我們繼續追蹤神在阿布拉罕身上有的事跡
[00:00:05.600 --> 00:00:09.400]  上一次我們看到阿布拉罕和羅德的故事
[00:00:09.400 --> 00:00:12.400]  今天我們繼續看創世紀第十四章
[00:00:12.400 --> 00:00:14.200]  這裡說到四個近東的王
[00:00:14.200 --> 00:00:16.400]  來攻打迦南的五個王
[00:00:16.400 --> 00:00:19.800]  之後就將羅德,即是阿布拉罕的侄子,擄去
[00:00:19.800 --> 00:00:21.800]  阿布拉罕出兵相救
[00:00:21.800 --> 00:00:23.600]  然後他海船回歸回來的時候
[00:00:23.600 --> 00:00:28.000]  有撒冷王來迎接阿布拉罕
[00:00:28.000 --> 00:00:30.000]  這個撒冷王叫做麥基西德
[00:00:30.000 --> 00:00:33.000]  而阿布拉罕也獻上十分之一
[00:00:33.000 --> 00:00:35.000]  怎樣看這段經文也好
[00:00:35.000 --> 00:00:37.000]  我們也會感覺到有些離奇
[00:00:37.000 --> 00:00:41.000]  並且這段經文引起很多不同的爭議
[00:00:41.000 --> 00:00:44.000]  第一方面的爭議就是歷史性的爭議
[00:00:44.000 --> 00:00:47.000]  我們先看一下創世紀第十四章
[00:00:47.000 --> 00:00:49.000]  第十四章一至第四節
[00:00:49.000 --> 00:00:51.000]  當暗拉非王作士拿王
[00:00:51.000 --> 00:00:53.000]  阿洛作以拉薩王
[00:00:53.000 --> 00:00:55.000]  基達魯瑪作以蘭王
[00:00:55.000 --> 00:00:57.000]  提達作戈印王的時候
[00:00:57.000 --> 00:00:59.000]  他們興兵攻打
[00:00:59.000 --> 00:01:01.000]  所多馬王比拉
[00:01:01.000 --> 00:01:03.000]  阿摩拉王比薩
[00:01:03.000 --> 00:01:05.000]  阿馬王是拿
[00:01:05.000 --> 00:01:08.000]  洗遍王善爾別和比拉王
[00:01:08.000 --> 00:01:10.000]  比拉就是所爾
[00:01:10.000 --> 00:01:13.000]  這五個王在西靈谷會合
[00:01:13.000 --> 00:01:15.000]  西靈谷就是嚴海
[00:01:15.000 --> 00:01:18.000]  他們服侍了基達魯瑪已經十二年了
[00:01:18.000 --> 00:01:20.000]  到第十三年就背叛了
[00:01:20.000 --> 00:01:23.000]  這是一段非常獨特的經文
[00:01:23.000 --> 00:01:25.000]  因為創世紀的經文裡面
[00:01:25.000 --> 00:01:27.000]  很少會提及這麼多的君王
[00:01:27.000 --> 00:01:29.000]  好像給我們
[00:01:29.000 --> 00:01:31.000]  一個
[00:01:31.000 --> 00:01:33.000]  當時一些歷史的人物
[00:01:33.000 --> 00:01:35.000]  你這樣想
[00:01:35.000 --> 00:01:38.000]  就說既然有這麼多歷史的人物
[00:01:38.000 --> 00:01:40.000]  我們只要找到經外的文獻
[00:01:40.000 --> 00:01:42.000]  提到這些王的名字
[00:01:42.000 --> 00:01:44.000]  我們就知道阿巴拉罕的歷史性
[00:01:44.000 --> 00:01:46.000]  和他的事跡和時間等等
[00:01:46.000 --> 00:01:48.000]  因為
[00:01:48.000 --> 00:01:50.000]  我們大概知道
[00:01:50.000 --> 00:01:52.000]  阿巴拉罕是屬於公元前
[00:01:52.000 --> 00:01:55.000]  二千至一千八百年之間的人物
[00:01:55.000 --> 00:01:57.000]  所以考古的歷史
[00:01:57.000 --> 00:01:59.000]  如果在這段時間
[00:01:59.000 --> 00:02:01.000]  所謂青銅時期
[00:02:01.000 --> 00:02:03.000]  中期
[00:02:03.000 --> 00:02:05.000]  找到一些經外的文獻
[00:02:05.000 --> 00:02:06.000]  提到這些名字的時候
[00:02:06.000 --> 00:02:08.000]  我們就似乎可以再一步
[00:02:08.000 --> 00:02:10.000]  縮窄
[00:02:10.000 --> 00:02:12.000]  到底知道阿巴拉罕是屬於誰的時期
[00:02:12.000 --> 00:02:14.000]  的確有很多學者
[00:02:14.000 --> 00:02:16.000]  曾經花過不少功夫
[00:02:16.000 --> 00:02:18.000]  譬如士拿這個地方
[00:02:18.000 --> 00:02:20.000]  士拿王
[00:02:20.000 --> 00:02:22.000]  巴比倫
[00:02:22.000 --> 00:02:24.000]  以拉薩這個地方
[00:02:24.000 --> 00:02:26.000]  應該是阿述
[00:02:26.000 --> 00:02:28.000]  因為古代文獻提到阿述這個地方
[00:02:28.000 --> 00:02:30.000]  是叫做阿拉薩
[00:02:30.000 --> 00:02:32.000]  即是阿述這個字
[00:02:32.000 --> 00:02:34.000]  以蘭應該是今天的伊朗
[00:02:34.000 --> 00:02:36.000]  戈印就比較濃濃
[00:02:36.000 --> 00:02:38.000]  戈印
[00:02:38.000 --> 00:02:40.000]  大概應該是土耳其一帶
[00:02:40.000 --> 00:02:42.000]  因為那裡的王名
[00:02:42.000 --> 00:02:44.000]  或者客人帝國的王名
[00:02:44.000 --> 00:02:46.000]  很普遍
[00:02:46.000 --> 00:02:48.000]  都是提達
[00:02:48.000 --> 00:02:50.000]  或者用提達來開頭
[00:02:50.000 --> 00:02:52.000]  這裡這麼多的王
[00:02:52.000 --> 00:02:54.000]  其中一個最有機會
[00:02:54.000 --> 00:02:56.000]  用經外文獻來比較
[00:02:56.000 --> 00:02:58.000]  就是阿姆拉菲
[00:02:58.000 --> 00:03:00.000]  阿姆拉比
[00:03:00.000 --> 00:03:02.000]  如果你翻譯出來
[00:03:02.000 --> 00:03:04.000]  不拿響音
[00:03:04.000 --> 00:03:06.000]  就好像巴比倫王
[00:03:06.000 --> 00:03:08.000]  這個阿摩利人
[00:03:08.000 --> 00:03:10.000]  漢莫拉比
[00:03:10.000 --> 00:03:12.000]  阿姆拉比的名字相似
[00:03:12.000 --> 00:03:14.000]  這個是最有可能
[00:03:14.000 --> 00:03:16.000]  但學界仍然有很多的爭議
[00:03:16.000 --> 00:03:18.000]  所以未能夠
[00:03:18.000 --> 00:03:20.000]  改觀定論
[00:03:20.000 --> 00:03:22.000]  講完近東四個王
[00:03:22.000 --> 00:03:24.000]  又講一下五個王
[00:03:24.000 --> 00:03:26.000]  他們是屬於死海
[00:03:26.000 --> 00:03:28.000]  嚴海一帶
[00:03:28.000 --> 00:03:30.000]  索多瑪、阿姆拉等等的城邦
[00:03:30.000 --> 00:03:32.000]  到今天我們都很難去確定
[00:03:32.000 --> 00:03:34.000]  不過在經文裡面
[00:03:34.000 --> 00:03:36.000]  正如上一次講過
[00:03:36.000 --> 00:03:38.000]  從地理
[00:03:38.000 --> 00:03:40.000]  從一些描述
[00:03:40.000 --> 00:03:42.000]  我們大概知道是哪一個地方
[00:03:42.000 --> 00:03:44.000]  無論如何
[00:03:44.000 --> 00:03:46.000]  都引起很多歷史性的問題
[00:03:46.000 --> 00:03:48.000]  不過我們一定要承認
[00:03:48.000 --> 00:03:50.000]  我們對這段時期
[00:03:50.000 --> 00:03:52.000]  所謂Middle Bronze Age
[00:03:52.000 --> 00:03:54.000]  我們仍然是非常模糊的
[00:03:54.000 --> 00:03:56.000]  有很多的缺口我們仍然未認知到
[00:03:56.000 --> 00:03:58.000]  所以雖然聖經
[00:03:58.000 --> 00:04:00.000]  裡面一些的細節
[00:04:00.000 --> 00:04:02.000]  不能夠和一些經外文獻
[00:04:02.000 --> 00:04:04.000]  去配合
[00:04:04.000 --> 00:04:06.000]  吻合
[00:04:06.000 --> 00:04:08.000]  是不足為奇的
