
[00:00:00.000 --> 00:00:02.320]   Hey guys, good morning.
[00:00:02.320 --> 00:00:04.400]   I just want to show you,
[00:00:04.400 --> 00:00:06.720]   a little kid gave me a gift today
[00:00:06.720 --> 00:00:07.800]   and really surprised me
[00:00:07.800 --> 00:00:11.240]   because I wanted to have this for the longest time.
[00:00:11.240 --> 00:00:14.040]   And she, after the 10 o'clock service,
[00:00:14.040 --> 00:00:15.440]   she walked to me and say,
[00:00:15.440 --> 00:00:16.880]   "Oh, you know, I have this gift for you
[00:00:16.880 --> 00:00:20.480]   "and I think you should be the best recipient for this."
[00:00:20.480 --> 00:00:24.320]   And it's actually this.
[00:00:24.320 --> 00:00:25.480]   You know what is this?
[00:00:25.480 --> 00:00:29.160]   Huh?
[00:00:29.160 --> 00:00:30.600]   You don't know?
[00:00:30.600 --> 00:00:32.240]   Okay, it's not a gift box, okay?
[00:00:32.240 --> 00:00:34.640]   It's the Ark of Covenant model, okay?
[00:00:34.640 --> 00:00:37.640]   So you can see here, there are two rods here
[00:00:37.640 --> 00:00:40.160]   and there's a rectangular box
[00:00:40.160 --> 00:00:45.160]   and on top of it is the guardian of the sacred place.
[00:00:45.160 --> 00:00:46.200]   What they call?
[00:00:46.200 --> 00:00:49.720]   Cherubim, yes, right, Cherubim.
[00:00:49.720 --> 00:00:50.560]   Yeah, right.
[00:00:50.560 --> 00:00:55.240]   And then inside, inside you see there's this thing.
[00:00:57.480 --> 00:00:59.320]   The two tablets, right?
[00:00:59.320 --> 00:01:03.360]   Yeah, the stone tablets of the Ten Commandments
[00:01:03.360 --> 00:01:06.200]   and also the Rod of Aaron.
[00:01:06.200 --> 00:01:12.180]   This is so little, so nice, so nice.
[00:01:12.180 --> 00:01:13.760]   I want to have this for a long time,
[00:01:13.760 --> 00:01:17.580]   but I just don't want to waste money buying it.
[00:01:17.580 --> 00:01:22.000]   But now I got it for free, so that's great, yeah, right?
[00:01:22.000 --> 00:01:23.600]   So that's great.
[00:01:23.600 --> 00:01:26.480]   It will go on my bookshelf, right?
[00:01:26.480 --> 00:01:29.800]   Let's pray for one another and I see Chee's back
[00:01:29.800 --> 00:01:31.440]   and let's welcome him.
[00:01:31.440 --> 00:01:34.280]   And he got a visa, right?
[00:01:34.280 --> 00:01:36.680]   So that's great, God answer our prayer.
[00:01:36.680 --> 00:01:37.700]   Let's pray together.
[00:01:37.700 --> 00:01:40.440]   Father, we give thanks for the brothers and sisters here
[00:01:40.440 --> 00:01:42.980]   and we all have different challenges
[00:01:42.980 --> 00:01:44.720]   and different issues in our lives,
[00:01:44.720 --> 00:01:46.680]   but we know that you are abundant.
[00:01:46.680 --> 00:01:48.920]   We know that you are always faithful to us.
[00:01:48.920 --> 00:01:50.160]   So we come and worship you.
[00:01:50.160 --> 00:01:53.200]   We want to acknowledge that you have the lordship
[00:01:53.200 --> 00:01:54.680]   and sovereignty over our lives.
[00:01:54.680 --> 00:01:57.000]   And once again, we come to you and open our hearts
[00:01:57.000 --> 00:01:59.080]   and lay down all of our burden
[00:01:59.080 --> 00:02:02.380]   and even our heart before you,
[00:02:02.380 --> 00:02:04.320]   knowing that we have to trust you.
[00:02:04.320 --> 00:02:06.680]   We have to continue to rely on you,
[00:02:06.680 --> 00:02:08.120]   knowing that you are our faithful God
[00:02:08.120 --> 00:02:09.320]   and guiding our steps.
[00:02:09.320 --> 00:02:14.320]   Thank you for granting Chee a successful trip to Malaysia
[00:02:14.320 --> 00:02:19.640]   and come back for the successful application of the visa.
[00:02:19.640 --> 00:02:23.780]   And just pray that you continue to bless this ministry,
[00:02:23.780 --> 00:02:26.860]   the youth ministry and the English ministry here.
[00:02:26.860 --> 00:02:29.520]   And also want to pray for one another.
[00:02:29.520 --> 00:02:34.520]   We know there's a GA general assembly next week.
[00:02:34.520 --> 00:02:38.600]   Pray that you will grant our hearts
[00:02:38.600 --> 00:02:42.200]   and our church with a sense of unity.
[00:02:42.200 --> 00:02:46.400]   We come to get to know the financial situation of our church
[00:02:46.400 --> 00:02:49.320]   and any other planning for our church
[00:02:49.320 --> 00:02:52.720]   and just use us and use our gifts
[00:02:52.720 --> 00:02:56.480]   and use our talents, use our resources to build your body
[00:02:56.480 --> 00:02:59.840]   so that your church will bring glory to you.
