
[00:00:00.000 --> 00:00:04.200]  各位好,希望大家聽得清楚
[00:00:04.200 --> 00:00:06.800]  首先跟大家say hello
[00:00:06.800 --> 00:00:10.500]  因為這是2020年最後一個主日
[00:00:10.500 --> 00:00:14.800]  希望今天能夠在live跟大家見面
[00:00:14.800 --> 00:00:17.800]  不單止是和大家分享訊息
[00:00:17.800 --> 00:00:21.900]  也可以在live和大家互動
[00:00:21.900 --> 00:00:23.500]  每一次做live的時候
[00:00:23.500 --> 00:00:26.000]  我們都會有少許互動的時間
[00:00:26.000 --> 00:00:29.500]  大家知道有一個live chat的box
[00:00:29.500 --> 00:00:31.500]  就是YouTube有一個live chat的box
[00:00:31.500 --> 00:00:34.500]  我想大家先熱身一下
[00:00:34.500 --> 00:00:38.200]  第一,這裡這麼多位朋友來到的時候
[00:00:38.200 --> 00:00:45.500]  首先把你代表的城市的名字打上去live chat
[00:00:45.500 --> 00:00:48.500]  今天由一開始到現在
[00:00:48.500 --> 00:00:54.000]  我看到有北美東岸和西岸的朋友
[00:00:54.000 --> 00:01:00.000]  我看到有佛羅里達州和西岸的朋友
[00:01:00.000 --> 00:01:05.000]  另外也有加拿大的朋友
[00:01:05.000 --> 00:01:08.000]  我看到有Vancouver,Amy,Celine
[00:01:08.000 --> 00:01:10.000]  一早就到了
[00:01:10.000 --> 00:01:15.000]  另外有多倫多,Sunny和其他朋友
[00:01:15.000 --> 00:01:18.000]  有香港,有夜貓
[00:01:18.000 --> 00:01:21.000]  香港的人很晚的
[00:01:21.000 --> 00:01:28.000]  另外也有新加坡,還有不同城市的朋友
[00:01:28.000 --> 00:01:33.000]  請大家把你代表的城市打上去
[00:01:33.000 --> 00:01:35.000]  這裡有很多,應該有人找
[00:01:35.000 --> 00:01:42.000]  也有芝加哥的朋友,我們城匯的本地的弟兄姊妹
[00:01:42.000 --> 00:01:44.000]  首先歡迎各位
[00:01:44.000 --> 00:01:48.000]  今天是2020年最後最後的一個主日
[00:01:48.000 --> 00:01:52.000]  我們希望能夠有一個互動的時間
[00:01:52.000 --> 00:01:55.000]  和和大家分享神話
[00:01:55.000 --> 00:01:58.000]  不知道你們想起2020年最後的時候
[00:01:58.000 --> 00:01:59.000]  有什麼經文
[00:01:59.000 --> 00:02:02.000]  當我們說訊息的時候
[00:02:02.000 --> 00:02:06.000]  我希望今天的時間比較緊迫一點
[00:02:06.000 --> 00:02:08.000]  訊息可能只有十多分鐘
[00:02:08.000 --> 00:02:10.000]  然後有什麼問題
[00:02:10.000 --> 00:02:16.000]  有什麼comment(留言)
[00:02:16.000 --> 00:02:19.000]  大家可以在live chat和我們互動
[00:02:19.000 --> 00:02:23.000]  首先試一下快問快答的時間
[00:02:23.000 --> 00:02:25.000]  我們先熱身一下
[00:02:25.000 --> 00:02:26.000]  問你一條問題
[00:02:26.000 --> 00:02:29.000]  通常都是一些選擇題
[00:02:29.000 --> 00:02:33.000]  你把答案打在live chat
[00:02:33.000 --> 00:02:35.000]  可能是1,2,3
[00:02:35.000 --> 00:02:37.000]  把答案打在那裡
[00:02:37.000 --> 00:02:39.000]  然後快問快答
[00:02:39.000 --> 00:02:41.000]  看誰先答對
[00:02:41.000 --> 00:02:44.000]  答對的有獎品送
[00:02:44.000 --> 00:02:48.000]  我和後面的義工弟兄姊妹談過
[00:02:48.000 --> 00:02:50.000]  送什麼
[00:02:50.000 --> 00:02:52.000]  你知道我們的UV class
[00:02:52.000 --> 00:02:53.000]  我們的sunday school case(日曆學期)
[00:02:53.000 --> 00:02:55.000]  就搬了上online
[00:02:55.000 --> 00:02:57.000]  然後剛剛麗仙有報告
[00:02:57.000 --> 00:03:00.000]  說我們和北美神學院
[00:03:00.000 --> 00:03:03.000]  會做一些certificate(證書)的program(程序)等等
[00:03:03.000 --> 00:03:10.000]  所以我們live class的page(專頁)
[00:03:10.000 --> 00:03:12.000]  大家可以去register(登記)
[00:03:12.000 --> 00:03:14.000]  可以去報名參加不同的class(課程)
[00:03:14.000 --> 00:03:18.000]  裡面有一個check out(退款)的時候
[00:03:18.000 --> 00:03:20.000]  選了class check out的時候
[00:03:20.000 --> 00:03:28.000]  有一個叫做discount code(折扣碼)
[00:03:28.000 --> 00:03:31.000]  我們會送這個discount code給大家
[00:03:31.000 --> 00:03:33.000]  有越南的朋友也有
[00:03:33.000 --> 00:03:34.000]  哇 厲害
[00:03:34.000 --> 00:03:36.000]  Hello 你好
[00:03:36.000 --> 00:03:38.000]  香港很多朋友
[00:03:38.000 --> 00:03:40.000]  我們先做個熱身
[00:03:40.000 --> 00:03:42.000]  譬如我出一條問題
[00:03:42.000 --> 00:03:44.000]  譬如這條
[00:03:44.000 --> 00:03:48.000]  就說如果你要找多一些
[00:03:48.000 --> 00:03:52.000]  承換網上課程的資料發展的話
[00:03:52.000 --> 00:03:54.000]  你可以在哪個網址找到呢
[00:03:54.000 --> 00:03:56.000]  那哪個網址找到呢
[00:03:56.000 --> 00:03:58.000]  我們繼續出這個選項的時候
[00:03:58.000 --> 00:04:00.000]  第一個就是slash ourpassers(我們的通行證)
[00:04:00.000 --> 00:04:02.000]  第二個是slash class(我們的課程)
[00:04:02.000 --> 00:04:04.000]  第三個是urbanvoicechurch.com(urbanvoicechurch.com)
[00:04:04.000 --> 00:04:06.000]  那哪一個是正確的答案呢
[00:04:06.000 --> 00:04:08.000]  你們現在就打下去
[00:04:08.000 --> 00:04:10.000]  可以嗎
[00:04:10.000 --> 00:04:12.000]  先打開
[00:04:12.000 --> 00:04:14.000]  first question(第一條問題)
[00:04:14.000 --> 00:04:16.000]  如果第一個答對的話
[00:04:16.000 --> 00:04:18.000]  我們會把獎品送給你
[00:04:18.000 --> 00:04:20.000]  不過這個是熱身
[00:04:20.000 --> 00:04:22.000]  答案當然是2
[00:04:22.000 --> 00:04:28.000]  如果答對第一個的話
[00:04:28.000 --> 00:04:32.000]  用我這裡的live chat box(直播箱)作準
[00:04:32.000 --> 00:04:34.000]  就是李小貓 香港夜貓
[00:04:34.000 --> 00:04:36.000]  但是正如我所說
[00:04:36.000 --> 00:04:40.000]  這個只是熱身
[00:04:40.000 --> 00:04:42.000]  所以大家留意
[00:04:42.000 --> 00:04:44.000]  我們等一下有一個短的訊息
[00:04:44.000 --> 00:04:46.000]  正如我剛才所問
[00:04:46.000 --> 00:04:50.000]  當你想起2020年的時候
[00:04:50.000 --> 00:04:52.000]  你會想起什麼經文
[00:04:52.000 --> 00:04:54.000]  想起什麼聖經裡面的說話
[00:04:54.000 --> 00:04:58.000]  2020年相信一定是我們人生當中
[00:04:58.000 --> 00:05:00.000]  在世界的歷史裡面
[00:05:00.000 --> 00:05:04.000]  一個很大的turning point(轉折點)
[00:05:04.000 --> 00:05:06.000]  一個很大的轉折點
[00:05:06.000 --> 00:05:08.000]  天翻地覆
[00:05:08.000 --> 00:05:10.000]  搞到我們民不聊生
[00:05:10.000 --> 00:05:14.000]  搞到我們很混亂
[00:05:14.000 --> 00:05:18.000]  所以你想起聖經的歷史
[00:05:18.000 --> 00:05:22.000]  其實你想起不同的年代
[00:05:22.000 --> 00:05:26.000]  對於舊約的神的子民
[00:05:26.000 --> 00:05:28.000]  舊約的教會
[00:05:28.000 --> 00:05:30.000]  都有很大的衝擊
[00:05:30.000 --> 00:05:32.000]  其中一年就是
[00:05:32.000 --> 00:05:34.000]  主前586年
[00:05:34.000 --> 00:05:36.000]  這一年
[00:05:36.000 --> 00:05:40.000]  是對舊約的神的子民
[00:05:40.000 --> 00:05:42.000]  一個最大的轉折點
[00:05:42.000 --> 00:05:46.000]  因為巴比倫軍隊來到耶路撒冷
[00:05:46.000 --> 00:05:48.000]  將耶路撒冷毀滅
[00:05:48.000 --> 00:05:50.000]  以及燒了聖殿
[00:05:50.000 --> 00:05:52.000]  神的子民當時是猶大國
[00:05:52.000 --> 00:05:56.000]  被露到異鄉
[00:05:56.000 --> 00:05:58.000]  在異鄉流亡
[00:05:58.000 --> 00:06:00.000]  我們知道舊約的歷史
[00:06:00.000 --> 00:06:02.000]  流亡了大約70年
[00:06:02.000 --> 00:06:04.000]  然後又改朝換代
[00:06:04.000 --> 00:06:06.000]  整個天下
[00:06:06.000 --> 00:06:10.000]  巴比倫帝國瓦解
[00:06:10.000 --> 00:06:12.000]  然後波斯帝國
[00:06:12.000 --> 00:06:14.000]  統治了當時的天下
[00:06:14.000 --> 00:06:16.000]  當時的群島
[00:06:16.000 --> 00:06:20.000]  在舊約的歷史裡面
[00:06:20.000 --> 00:06:22.000]  公元前586年
[00:06:22.000 --> 00:06:24.000]  確實是一個最decisive(決定性)
[00:06:24.000 --> 00:06:26.000]  最決定性的一年
[00:06:26.000 --> 00:06:28.000]  連今天猶太人
[00:06:28.000 --> 00:06:30.000]  也在紀念這一天
[00:06:30.000 --> 00:06:32.000]  第一聖殿
[00:06:32.000 --> 00:06:34.000]  耶路撒冷的聖殿被毀
[00:06:34.000 --> 00:06:38.000]  我想起了這一段經文
[00:06:38.000 --> 00:06:42.000]  歷代至下36章
[00:06:42.000 --> 00:06:48.000]  記載了舊約歷史最末段的時間
[00:06:48.000 --> 00:06:50.000]  第17節開始
[00:06:50.000 --> 00:06:52.000]  所以耶路撒冷
[00:06:52.000 --> 00:06:54.000]  使巴比倫人
[00:06:54.000 --> 00:06:56.000]  即是迦勒底人的王來攻擊他們
[00:06:56.000 --> 00:06:58.000]  在他們的聖殿裡面
[00:06:58.000 --> 00:07:00.000]  用刀殺了他們的壯士
[00:07:00.000 --> 00:07:04.000]  不連戳他們的少男處女老人白手
[00:07:04.000 --> 00:07:06.000]  耶和華將他們
[00:07:06.000 --> 00:07:08.000]  都交在迦勒底王的手裡
[00:07:08.000 --> 00:07:12.000]  迦勒底王就將上帝的殿裡面大小的器皿
[00:07:12.000 --> 00:07:14.000]  耶和華殿裡面的財寶
[00:07:14.000 --> 00:07:16.000]  王和眾首領的財寶
[00:07:16.000 --> 00:07:18.000]  都帶到巴比倫去
[00:07:18.000 --> 00:07:20.000]  然後巴比倫人
[00:07:20.000 --> 00:07:24.000]  迦勒底人就燒了上帝的聖殿
[00:07:24.000 --> 00:07:28.000]  拆毀了耶路撒冷的城牆
[00:07:28.000 --> 00:07:30.000]  用火燒了宮殿
[00:07:30.000 --> 00:07:32.000]  或者裡面的財寶
[00:07:32.000 --> 00:07:34.000]  裡面的器皿
[00:07:34.000 --> 00:07:38.000]  然後犯脫離刀劍的
[00:07:38.000 --> 00:07:42.000]  迦勒底王都擄到巴比倫
[00:07:42.000 --> 00:07:46.000]  作他和他子孫的補被
[00:07:46.000 --> 00:07:48.000]  直到波斯帝國興起
[00:07:48.000 --> 00:07:52.000]  這是應驗先知耶利米所說的話
[00:07:52.000 --> 00:07:55.000]  他說土地享受安息
[00:07:55.000 --> 00:07:58.000]  因為土地荒涼便受安息
[00:07:58.000 --> 00:08:02.000]  寂滿了七十年
[00:08:02.000 --> 00:08:06.000]  這裡記載主前586年
[00:08:06.000 --> 00:08:10.000]  猶大國神的子民終於亡國
[00:08:10.000 --> 00:08:12.000]  這麼大的事情
[00:08:12.000 --> 00:08:17.000]  我們覺得最重要的那一年就是2020
[00:08:17.000 --> 00:08:19.000]  對於舊約的歷史
[00:08:19.000 --> 00:08:22.000]  就是公元前586年
[00:08:22.000 --> 00:08:24.000]  歷代誌是什麼時候寫的呢?
[00:08:24.000 --> 00:08:27.000]  是神的子民
[00:08:27.000 --> 00:08:29.000]  猶大國的國民
[00:08:29.000 --> 00:08:34.000]  被流放到巴比倫
[00:08:34.000 --> 00:08:36.000]  然後過了幾十年之後
[00:08:36.000 --> 00:08:40.000]  再回到猶大的地方
[00:08:40.000 --> 00:08:42.000]  回到耶路撒冷
[00:08:42.000 --> 00:08:43.000]  再重建聖殿
[00:08:43.000 --> 00:08:45.000]  再重建聖城
[00:08:45.000 --> 00:08:47.000]  你想起舊約裏面
[00:08:47.000 --> 00:08:51.000]  以斯拉、尼希米那段時間
[00:08:51.000 --> 00:08:54.000]  當時的人就在想
[00:08:54.000 --> 00:08:59.000]  到底我們是誰?
[00:08:59.000 --> 00:09:02.000]  上帝曾經將我們流放了
[00:09:02.000 --> 00:09:04.000]  現在我們又回來了
[00:09:04.000 --> 00:09:07.000]  但我們仍然在帝國的陰影下
[00:09:07.000 --> 00:09:08.000]  改朝換代
[00:09:08.000 --> 00:09:11.000]  很多事情我們還未知之數
[00:09:11.000 --> 00:09:14.000]  到底我們應該怎樣定位呢?
[00:09:14.000 --> 00:09:16.000]  到底我們是誰?
[00:09:16.000 --> 00:09:19.000]  是一種很大的混亂
[00:09:19.000 --> 00:09:23.000]  歷代誌是分開幾段的
[00:09:23.000 --> 00:09:26.000]  整個歷代誌上下
[00:09:26.000 --> 00:09:28.000]  由加普開始
[00:09:28.000 --> 00:09:31.000]  由亞當的加普開始
[00:09:31.000 --> 00:09:33.000]  一直追溯到族長
[00:09:33.000 --> 00:09:38.000]  到以往的以色列歷史
[00:09:38.000 --> 00:09:41.000]  然後建立他們聯合的王國
[00:09:41.000 --> 00:09:46.000]  就是薩姆爾、蘇魯和大衛
[00:09:46.000 --> 00:09:48.000]  所羅門的時間
[00:09:48.000 --> 00:09:50.000]  然後南北分裂
[00:09:50.000 --> 00:09:52.000]  然後到第三段
[00:09:52.000 --> 00:09:55.000]  記載猶大國的國史
[00:09:55.000 --> 00:09:59.000]  由南北分裂之後
[00:09:59.000 --> 00:10:03.000]  到猶大國的末年晚年
[00:10:03.000 --> 00:10:06.000]  特別是到三六章最後
[00:10:06.000 --> 00:10:08.000]  就是我們剛才所讀的經文
[00:10:08.000 --> 00:10:13.000]  就是講到巴比倫軍隊兵臨城下的時候
[00:10:13.000 --> 00:10:16.000]  耶路撒冷被燒毀
[00:10:16.000 --> 00:10:18.000]  聖殿被毀
[00:10:18.000 --> 00:10:20.000]  最後有兩節
[00:10:20.000 --> 00:10:23.000]  就講到在波斯帝國改朝換代之後
[00:10:23.000 --> 00:10:25.000]  這個塞魯士
[00:10:25.000 --> 00:10:26.000]  Syrus
[00:10:26.000 --> 00:10:28.000]  頒佈諭旨
[00:10:28.000 --> 00:10:31.000]  讓這些被流放的猶太人
[00:10:31.000 --> 00:10:33.000]  能夠回到自己的故土
[00:10:33.000 --> 00:10:37.000]  所以段落的脈絡大概就是這樣
[00:10:37.000 --> 00:10:39.000]  其實歷代誌的作者
[00:10:39.000 --> 00:10:42.000]  在整本書裡面
[00:10:42.000 --> 00:10:47.000]  他會引用不同的紀錄
[00:10:47.000 --> 00:10:52.000]  不同留下的紀錄
[00:10:52.000 --> 00:10:54.000]  一些歷史的紀錄
[00:10:54.000 --> 00:10:56.000]  或者一些先知說過的話
[00:10:56.000 --> 00:10:58.000]  這裡只是四段
[00:10:58.000 --> 00:11:00.000]  如果你數一下歷代上下
[00:11:00.000 --> 00:11:02.000]  有很多地方
[00:11:02.000 --> 00:11:03.000]  作者都說
[00:11:03.000 --> 00:11:05.000]  我說了這些東西
[00:11:05.000 --> 00:11:06.000]  寫在哪裡呢
[00:11:06.000 --> 00:11:08.000]  比如九章第一節
[00:11:08.000 --> 00:11:10.000]  寫在以色列的諸王記上
[00:11:10.000 --> 00:11:15.000]  就是King of Israel的紀錄
[00:11:15.000 --> 00:11:17.000]  二十九章二十九節
[00:11:17.000 --> 00:11:20.000]  這些事情記載在哪裡呢
[00:11:20.000 --> 00:11:22.000]  先知撒姆爾的書上
[00:11:22.000 --> 00:11:26.000]  拿丹先知等等他們的書上
[00:11:26.000 --> 00:11:29.000]  以塞亞所記的書上
[00:11:29.000 --> 00:11:31.000]  有二十幾三十處的地方
[00:11:31.000 --> 00:11:33.000]  不斷地在講這個東西
[00:11:33.000 --> 00:11:35.000]  所以歷代誌的作者
[00:11:35.000 --> 00:11:37.000]  就是那些被迫回歸
[00:11:37.000 --> 00:11:39.000]  回到耶路撒冷
[00:11:39.000 --> 00:11:43.000]  他們要重整他們的生命
[00:11:43.000 --> 00:11:45.000]  重整他們的群體
[00:11:45.000 --> 00:11:49.000]  他就去搜集不同的史記
[00:11:49.000 --> 00:11:51.000]  不同的書卷
[00:11:51.000 --> 00:11:53.000]  你可以想像到
[00:11:53.000 --> 00:11:56.000]  可能是當時公元前586年
[00:11:56.000 --> 00:11:58.000]  他們逃難的時候
[00:11:58.000 --> 00:12:01.000]  那些文士就要拿著那些
[00:12:01.000 --> 00:12:04.000]  除了撿自己的東西之外
[00:12:04.000 --> 00:12:06.000]  就要拿著那些書卷
[00:12:06.000 --> 00:12:08.000]  就是宮廷留下了
[00:12:08.000 --> 00:12:10.000]  先知書裡面寫過的東西
[00:12:10.000 --> 00:12:12.000]  宮廷裡面的史記
[00:12:12.000 --> 00:12:14.000]  那些紀錄
[00:12:14.000 --> 00:12:16.000]  就全部拿走
[00:12:16.000 --> 00:12:19.000]  然後被人拿去巴比倫
[00:12:19.000 --> 00:12:22.000]  然後再帶回來耶路撒冷
[00:12:22.000 --> 00:12:29.000]  然後他們重新寫這段歷史
[00:12:29.000 --> 00:12:31.000]  回憶過往的歷史
[00:12:31.000 --> 00:12:33.000]  到底看到了什麼呢
[00:12:33.000 --> 00:12:37.000]  看不看得見到上帝有的角色
[00:12:37.000 --> 00:12:39.000]  或者上帝有的工作
[00:12:39.000 --> 00:12:43.000]  同樣我們今天去看2020年
[00:12:43.000 --> 00:12:46.000]  到底我們怎樣回憶我們這一年
[00:12:46.000 --> 00:12:47.000]  裡面發生過的事
[00:12:47.000 --> 00:12:49.000]  經歷過的事
