
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:08.680]   - Thank you so much for having me back.
[00:00:08.680 --> 00:00:09.840]   It's good to see everybody.
[00:00:09.840 --> 00:00:12.260]   And actually the group is larger
[00:00:12.260 --> 00:00:13.860]   than the last time I was here.
[00:00:13.860 --> 00:00:17.120]   I didn't look back behind me.
[00:00:17.120 --> 00:00:18.500]   We know when I was sitting in the front row
[00:00:18.500 --> 00:00:20.000]   to see what was happening behind me.
[00:00:20.000 --> 00:00:22.280]   But one thing I noticed that's kind of interesting
[00:00:22.280 --> 00:00:27.280]   about churches is that the most desirable seat in a church
[00:00:28.200 --> 00:00:30.040]   is usually in the back row.
[00:00:30.040 --> 00:00:32.160]   I don't know why that is.
[00:00:32.160 --> 00:00:35.600]   And the reason I think I was thinking about that is,
[00:00:35.600 --> 00:00:37.360]   you know, this morning when I saw Rachel,
[00:00:37.360 --> 00:00:39.720]   she was wearing this Cornelius Street shirt
[00:00:39.720 --> 00:00:42.040]   and I don't know anything about Cornelius Street.
[00:00:42.040 --> 00:00:45.040]   She shared the reference with me about Taylor Swift.
[00:00:45.040 --> 00:00:48.400]   And the sermon's not about her, so don't worry.
[00:00:48.400 --> 00:00:50.720]   But I thought about, you know, when I was younger,
[00:00:50.720 --> 00:00:53.320]   I used to go to a lot of rock concerts too.
[00:00:53.320 --> 00:00:55.940]   And I know it's still the case
[00:00:55.940 --> 00:01:00.940]   that the most desirable seat, the most expensive seat,
[00:01:00.940 --> 00:01:06.280]   the best seat in the house is in the front row, right?
[00:01:06.280 --> 00:01:10.560]   You wanna be as close to the action as possible.
[00:01:10.560 --> 00:01:12.000]   You don't wanna have to look at
[00:01:12.000 --> 00:01:13.640]   what's happening through binoculars.
[00:01:13.640 --> 00:01:17.320]   I did that once at a theater, at a live theater,
[00:01:17.320 --> 00:01:19.920]   and I was like, this is the worst experience ever.
[00:01:19.920 --> 00:01:21.380]   You know, I'll never do this again.
[00:01:21.380 --> 00:01:23.680]   If I can't get a good seat,
[00:01:23.680 --> 00:01:25.560]   I'm not gonna go to the theater.
[00:01:25.560 --> 00:01:28.840]   So I would encourage you,
[00:01:28.840 --> 00:01:31.280]   if you're used to being in the last row,
[00:01:31.280 --> 00:01:35.320]   check out the action in the front row, okay?
[00:01:35.320 --> 00:01:37.300]   At least try it, okay?
[00:01:37.300 --> 00:01:40.120]   So let's go to God's word first.
[00:01:40.120 --> 00:01:41.800]   And the passage we're looking at
[00:01:41.800 --> 00:01:43.920]   is a very familiar passage.
[00:01:43.920 --> 00:01:50.000]   And it's in Matthew 6, chapter 33 to 34.
[00:01:50.000 --> 00:01:51.960]   And this is what it says.
[00:01:51.960 --> 00:01:54.600]   But seek first his kingdom and his righteousness
[00:01:54.600 --> 00:01:57.760]   and all these things will be given to you as well.
[00:01:57.760 --> 00:02:00.100]   Therefore, do not worry about tomorrow,
[00:02:00.100 --> 00:02:02.980]   for tomorrow will worry about itself.
[00:02:02.980 --> 00:02:05.740]   Each day has enough trouble of its own.
[00:02:05.740 --> 00:02:12.320]   So I wanna thank you for coming together as the UV family.
[00:02:12.320 --> 00:02:14.700]   You know, there's a lot of things
[00:02:14.700 --> 00:02:17.640]   you could probably be doing this afternoon,
[00:02:17.640 --> 00:02:19.160]   but you are here.
[00:02:19.160 --> 00:02:22.520]   And I believe that you are at the right place
[00:02:22.520 --> 00:02:25.560]   at the right time, and that God has brought you here
[00:02:25.560 --> 00:02:27.860]   because not only is the Lord here
[00:02:27.860 --> 00:02:31.040]   to receive worship from you,
[00:02:31.040 --> 00:02:33.460]   but he has something he wants to give you.
[00:02:33.460 --> 00:02:37.880]   He has something he wants to give you.
[00:02:37.880 --> 00:02:43.880]   And so I hope we'll approach our hour or so together
[00:02:43.880 --> 00:02:46.720]   with this attitude of seeking Lord,
