
[00:00:00.000 --> 00:00:01.920]  這是舊約網上的第三集
[00:00:01.920 --> 00:00:03.460]  我們開始這個系列的時候
[00:00:03.460 --> 00:00:05.500]  我們解釋過看創世紀的頭幾章
[00:00:05.500 --> 00:00:07.280]  我們要去到另外一個地方
[00:00:07.280 --> 00:00:09.120]  就是今天的伊拉克日大
[00:00:09.120 --> 00:00:10.620]  叫做美索不達米亞
[00:00:10.620 --> 00:00:13.800]  去看看當地當時一些的文獻
[00:00:13.800 --> 00:00:15.400]  特別是創世的神話
[00:00:15.400 --> 00:00:18.680]  近東人如何述說他們遠古的歷史
[00:00:18.680 --> 00:00:19.840]  世界的起源人類
[00:00:19.840 --> 00:00:21.580]  起源人的問題等等
[00:00:21.580 --> 00:00:23.800]  你可能心裡面有一個疑問
[00:00:23.800 --> 00:00:25.360]  為什麼不可以單單看聖經呢?
[00:00:25.360 --> 00:00:27.400]  聖經不是已經很清楚了嗎?
[00:00:27.720 --> 00:00:32.440]  為什麼要參照這些虛幻的神話故事呢?
[00:00:32.440 --> 00:00:36.760]  參考他們如何看遠古的歷史
[00:00:36.760 --> 00:00:39.920]  好像降低了聖經的神聖地位
[00:00:39.920 --> 00:00:41.200]  但是你記得
[00:00:41.200 --> 00:00:42.880]  每一次我們翻開聖經的時候
[00:00:42.880 --> 00:00:45.600]  我們其實就好像去到另外一個地方旅行一樣
[00:00:45.600 --> 00:00:47.880]  不可以就這樣拍照打卡就算了
[00:00:47.880 --> 00:00:52.560]  我們要去看看當地的人在想什麼
[00:00:52.560 --> 00:00:56.440]  就將聖經比對當時的一些著作
[00:00:56.440 --> 00:00:57.680]  甚至一些神話
[00:00:58.000 --> 00:00:59.240]  如果這樣想的話
[00:00:59.240 --> 00:01:01.240]  反而會令到聖經更加真實
[00:01:01.240 --> 00:01:03.280]  因為聖經的啟示
[00:01:03.280 --> 00:01:05.560]  是在一個真實的時空裡面發生的
[00:01:05.560 --> 00:01:08.360]  神說不是空中流過
[00:01:08.360 --> 00:01:09.760]  一定有它的背景
[00:01:09.760 --> 00:01:12.600]  所以聖經很多時候會用當時古代
[00:01:12.600 --> 00:01:14.480]  近東人熟悉的概念
[00:01:14.480 --> 00:01:16.160]  來講述上帝的真理
[00:01:16.160 --> 00:01:18.120]  表面上好像相似
[00:01:18.120 --> 00:01:19.400]  但是想清楚
[00:01:19.400 --> 00:01:21.640]  其實本質上是完全不同的
[00:01:21.640 --> 00:01:23.880]  因為聖經是針對當時的思潮
[00:01:23.880 --> 00:01:24.920]  當時的文化
[00:01:24.920 --> 00:01:26.640]  去提出一些批判
[00:01:26.640 --> 00:01:27.640]  一些的爭辯
[00:01:27.640 --> 00:01:31.080]  這正是上帝啟示的焦點
[00:01:31.080 --> 00:01:35.520]  上兩次我們看完《創世紀》一至到第三章
[00:01:35.520 --> 00:01:38.120]  這次我們看清楚一點
[00:01:38.120 --> 00:01:39.120]  第四章
[00:01:39.120 --> 00:01:40.440]  一至到第三章
[00:01:40.440 --> 00:01:44.200]  人類代表亞當夏娃伴便流亡於伊甸園之外
[00:01:44.200 --> 00:01:45.720]  這次看第四章
[00:01:45.720 --> 00:01:47.520]  我們去到聖經的世界
[00:01:47.520 --> 00:01:48.960]  繼續與神同行
[00:01:48.960 --> 00:02:17.960]  Zither Harp
[00:02:18.960 --> 00:02:20.560]  《創世紀》第四章
[00:02:20.560 --> 00:02:21.840]  是一個很熟悉的故事
[00:02:21.840 --> 00:02:23.000]  該隱與阿伯
[00:02:23.000 --> 00:02:24.000]  King and Abel
[00:02:24.000 --> 00:02:26.800]  該隱是農夫
[00:02:26.800 --> 00:02:28.720]  阿伯是畜牧的
[00:02:28.720 --> 00:02:31.960]  兩兄弟去敬拜神去獻祭
[00:02:31.960 --> 00:02:35.000]  該隱的獻祭沒有被上帝閱立
[00:02:35.000 --> 00:02:36.880]  阿伯的獻祭
[00:02:36.880 --> 00:02:38.280]  上帝就接受了
[00:02:38.280 --> 00:02:40.120]  我們先問為什麼
[00:02:40.120 --> 00:02:42.680]  似乎經文有一些交代
[00:02:42.680 --> 00:02:44.080]  四章第一節
[00:02:44.080 --> 00:02:46.560]  有一日那人與他妻子夏娃同房
[00:02:46.560 --> 00:02:48.120]  夏娃懷孕生了該隱
[00:02:48.120 --> 00:02:50.520]  她說我得了一個男子
[00:02:50.520 --> 00:02:52.640]  又生了該隱的兄弟阿伯
[00:02:52.640 --> 00:02:53.920]  阿伯是牧羊的
[00:02:53.920 --> 00:02:56.320]  該隱是種地的
[00:02:56.320 --> 00:02:57.240]  有一日
