
[00:00:00.000 --> 00:00:07.740]  多謝Carmen提醒我們教會有什麼重要的事情
[00:00:07.740 --> 00:00:09.740]  特別今天會有大會
[00:00:09.740 --> 00:00:15.580]  我們會繼續去看復活的信息
[00:00:15.580 --> 00:00:17.580]  講到復活節
[00:00:17.580 --> 00:00:19.580]  講到resurrection
[00:00:19.580 --> 00:00:23.540]  講到聖經裡面怎樣提到復活這件事情
[00:00:23.540 --> 00:00:26.920]  是我們基督教信仰的核心
[00:00:26.920 --> 00:00:29.420]  沒有了這件事 有神的愛也沒有用
[00:00:29.420 --> 00:00:31.420]  沒有了這件事 有上帝的恩典也沒有用
[00:00:31.420 --> 00:00:33.420]  因為這個復活節
[00:00:33.420 --> 00:00:35.420]  或者復活的事實
[00:00:35.420 --> 00:00:38.420]  是我們生命裡面一個很重要的基石
[00:00:38.420 --> 00:00:40.420]  沒有了這件事就什麼都沒有
[00:00:40.420 --> 00:00:42.420]  聖經新約裡面也是這樣講
[00:00:42.420 --> 00:00:44.420]  是事實上這樣強調
[00:00:44.420 --> 00:00:47.420]  說上帝的復活
[00:00:47.420 --> 00:00:49.420]  在耶穌基督的復活
[00:00:49.420 --> 00:00:51.420]  是給我們一個新的開始
[00:00:51.420 --> 00:00:55.420]  因為上帝自己將來會帶來的新天新地
[00:00:55.420 --> 00:00:56.420]  新的耶路撒冷
[00:00:56.420 --> 00:00:58.420]  是從耶穌基督復活的那一刻
[00:00:58.420 --> 00:01:00.420]  來加入的
[00:01:00.420 --> 00:01:02.420]  加入了你和我的生命
[00:01:02.420 --> 00:01:05.420]  所以我們在基督裡面也是有一個新的開始
[00:01:05.420 --> 00:01:07.420]  講到新的開始
[00:01:07.420 --> 00:01:11.420]  我們這裡芝加哥的天氣又開始回暖了
[00:01:11.420 --> 00:01:16.420]  我們在芝加哥真是很有福的
[00:01:16.420 --> 00:01:18.420]  四季都看到
[00:01:18.420 --> 00:01:20.420]  很多時候一個星期有四季
[00:01:20.420 --> 00:01:22.420]  我們真是很好
[00:01:22.420 --> 00:01:25.420]  講到春天的時候就是一個新的開始
[00:01:25.420 --> 00:01:28.420]  我們也知道在我們中間的課堂
[00:01:28.420 --> 00:01:30.420]  或者我們英文課
[00:01:30.420 --> 00:01:33.420]  也有些朋友可能他們的家人
[00:01:33.420 --> 00:01:36.420]  或者他們自己是畢業或者升學等等
