
[00:00:00.000 --> 00:00:02.000]  我地交比佢
[00:00:02.000 --> 00:00:04.000]  大英姐妹好
[00:00:04.000 --> 00:00:06.000]  我係準備好啦
[00:00:06.000 --> 00:00:08.000]  啱啱有個隊友就話
[00:00:08.000 --> 00:00:10.000]  趕唔切你呀
[00:00:10.000 --> 00:00:12.000]  因為唔記得帶credit card
[00:00:12.000 --> 00:00:14.000]  所以返咗去攞credit card
[00:00:14.000 --> 00:00:16.000]  好緊要呀攞credit card
[00:00:16.000 --> 00:00:18.000]  最緊要有護照同埋credit card
[00:00:18.000 --> 00:00:20.000]  仲有credit card credit limit要幾萬蚊
[00:00:20.000 --> 00:00:22.000]  咁就ok啦
[00:00:22.000 --> 00:00:24.000]  一定會返到黎嘅
[00:00:24.000 --> 00:00:26.000]  首先多謝大英姐妹
[00:00:26.000 --> 00:00:28.000]  同埋特別教育同工
[00:00:28.000 --> 00:00:30.000]  有個好嘅配搭
[00:00:30.000 --> 00:00:35.000]  以致我就能夠帶大英姐妹去Israel
[00:00:35.000 --> 00:00:37.000]  咁我地帶佢幾多個UV呀
[00:00:37.000 --> 00:00:39.000]  十個係咪呀
[00:00:39.000 --> 00:00:44.000]  十七個係世界各地唔同地方去
[00:00:44.000 --> 00:00:48.000]  咁已經有一啲團友已經到咗啦
[00:00:48.000 --> 00:00:50.000]  安全到咗所以佢地報咗平安
[00:00:50.000 --> 00:00:55.000]  咁我想多謝教會同埋同工嘅配搭
[00:00:55.000 --> 00:00:57.000]  就係我地能夠去祝福到其他人
[00:00:57.000 --> 00:00:59.000]  大家知道我唔係做呢行㗎
[00:00:59.000 --> 00:01:01.000]  我唔收小費嘅
[00:01:01.000 --> 00:01:03.000]  我唔收小費我去到目的
[00:01:03.000 --> 00:01:05.000]  希望大家充充份份有一個
[00:01:05.000 --> 00:01:07.000]  豐盛嘅一個旅程
[00:01:07.000 --> 00:01:09.000]  That's my purpose
[00:01:09.000 --> 00:01:11.000]  我嘅job就係做呢樣嘢
[00:01:11.000 --> 00:01:13.000]  咁我唔介意去流多少少汗嘅
[00:01:13.000 --> 00:01:16.000]  咁但係我就唔係做呢行食飯
[00:01:16.000 --> 00:01:18.000]  我唔係靠呢行食飯嘅
[00:01:18.000 --> 00:01:21.000]  咁但係可以有一啲資源同人地去分享
[00:01:21.000 --> 00:01:23.000]  呢個係一件樂事
[00:01:23.000 --> 00:01:26.000]  我地教會能夠祝福更多嘅人
