
[00:00:00.000 --> 00:00:02.000]  大家好, 大家平安!
[00:00:02.000 --> 00:00:06.000]  很高興能夠跟大家分享訊息
[00:00:06.000 --> 00:00:12.000]  不過當日我收到WhatsApp邀請時
[00:00:12.000 --> 00:00:15.000]  我當場大叫了
[00:00:15.000 --> 00:00:18.000]  WhatsApp? 到底發生什麼事?
[00:00:18.000 --> 00:00:21.000]  我還以為自己在睡覺
[00:00:21.000 --> 00:00:23.000]  什麼事呢?
[00:00:23.000 --> 00:00:29.000]  因為我不太認識大家成會社區教會
[00:00:29.000 --> 00:00:35.000]  我上網查看才知道我的中學老師吳君才牧師
[00:00:35.000 --> 00:00:37.000]  在當中服侍
[00:00:37.000 --> 00:00:41.000]  到底WhatsApp發生什麼事?
[00:00:41.000 --> 00:00:43.000]  不單在我身上發生
[00:00:43.000 --> 00:00:48.000]  也很經常在我們的生活中出現
[00:00:48.000 --> 00:00:53.000]  有時當我們面對一些病痛
[00:00:53.000 --> 00:01:01.000]  或者我們面對一些人際關係或工作的阻滯
[00:01:01.000 --> 00:01:04.000]  我們都會發問這個問題
[00:01:04.000 --> 00:01:06.000]  這兩年更加多
[00:01:06.000 --> 00:01:08.000]  我們會問WhatsApp
[00:01:08.000 --> 00:01:16.000]  細細的細菌竟然大大影響我們的生活和工作
[00:01:16.000 --> 00:01:20.000]  令我們要封城, 要去插墨線
[00:01:20.000 --> 00:01:23.000]  WhatsApp只發生十天
[00:01:23.000 --> 00:01:26.000]  竟然令世界變了
[00:01:26.000 --> 00:01:33.000]  將二十年所打造的和平推倒重來
[00:01:33.000 --> 00:01:41.000]  WhatsApp一個巨峰竟然可以將整個州搞到停電
[00:01:41.000 --> 00:01:43.000]  什麼事發生?
[00:01:43.000 --> 00:01:47.000]  WhatsApp不單在我們生活中
[00:01:47.000 --> 00:01:53.000]  我想起今天跟大家分享的一段經文
[00:01:53.000 --> 00:01:59.000]  詩人都經歷了要問到底什麼事發生
[00:01:59.000 --> 00:02:02.000]  突然來的時期
[00:02:02.000 --> 00:02:04.000]  詩篇四十六篇
[00:02:04.000 --> 00:02:07.000]  我們其實都熟悉這段詩
[00:02:07.000 --> 00:02:10.000]  不過只記得其中一節
[00:02:10.000 --> 00:02:13.000]  就是第十節在當中
[00:02:13.000 --> 00:02:18.000]  但我們看詩不要只斷章取義
[00:02:18.000 --> 00:02:22.000]  只要看完整篇
[00:02:22.000 --> 00:02:25.000]  才可以明白整個意境
[00:02:25.000 --> 00:02:30.000]  整個詩人想表達的想法是什麼
[00:02:30.000 --> 00:02:35.000]  而這篇詩有兩個「細拉」
[00:02:35.000 --> 00:02:41.000]  就當作一個標點符號的分號
[00:02:41.000 --> 00:02:47.000]  或者在一首歌中的優子符號
[00:02:47.000 --> 00:02:49.000]  有一樣東西的時候
[00:02:49.000 --> 00:02:53.000]  很明顯地將一段詩斬開了
[00:02:53.000 --> 00:02:56.000]  將詩分成三個段落
[00:02:56.000 --> 00:03:02.000]  第一段是二至七節
[00:03:02.000 --> 00:03:08.000]  都好像一首詩或一首歌的正歌
[00:03:08.000 --> 00:03:13.000]  內容是相似的
[00:03:13.000 --> 00:03:15.000]  是有一種平衡在當中
[00:03:15.000 --> 00:03:18.000]  不過意境是不同的
[00:03:18.000 --> 00:03:21.000]  而第三段就好像是副歌
[00:03:21.000 --> 00:03:23.000]  八至十一節就看到
[00:03:23.000 --> 00:03:28.000]  連說話的主動權是哪一個都不同了
[00:03:28.000 --> 00:03:34.000]  似乎好像在回應第一二節當中所說的
[00:03:34.000 --> 00:03:39.000]  而我們看回第一段二至三節
[00:03:39.000 --> 00:03:44.000]  就看到整個環境是怎樣的
[00:03:44.000 --> 00:03:47.000]  二至三節說
[00:03:47.000 --> 00:03:49.000]  所以地需改變
[00:03:49.000 --> 00:03:52.000]  山需搖動到海深
[00:03:52.000 --> 00:03:56.000]  其中的水需攀均分層
[00:03:56.000 --> 00:03:59.000]  山需因海漲而戰鬥
[00:03:59.000 --> 00:04:06.000]  你見到這裡是一幅海嘯地震的圖畫
[00:04:06.000 --> 00:04:11.000]  本來最不會變、最穩陣、令人傲嬌
[00:04:11.000 --> 00:04:14.000]  有安全感的地、山
[00:04:14.000 --> 00:04:17.000]  竟然突然變了
[00:04:17.000 --> 00:04:20.000]  本來很寧靜的海
[00:04:20.000 --> 00:04:24.000]  突然在攀均分層
[00:04:24.000 --> 00:04:27.000]  搞到亂七八糟
[00:04:27.000 --> 00:04:38.000]  海在古代是象徵著一些邪惡的勢力
[00:04:38.000 --> 00:04:43.000]  例如魔鬼、敵人、天災、人禍
[00:04:43.000 --> 00:04:47.000]  剛剛說完天災
[00:04:47.000 --> 00:04:52.000]  人禍是更加靠近身體並刺入你的心
[00:04:52.000 --> 00:04:56.000]  在第二段四至七節
[00:04:56.000 --> 00:04:59.000]  這裡提到人禍
[00:04:59.000 --> 00:05:02.000]  說到兵臨城下
[00:05:02.000 --> 00:05:03.000]  是突然之間的
[00:05:03.000 --> 00:05:04.000]  打到你
[00:05:04.000 --> 00:05:06.000]  第六節說
[00:05:06.000 --> 00:05:11.000]  愛邦軒陽,列國動搖
[00:05:11.000 --> 00:05:14.000]  和之前的天災一模一樣
[00:05:14.000 --> 00:05:16.000]  都是曹苑巴閉
[00:05:16.000 --> 00:05:18.000]  都是兵荒馬亂
