
[00:00:00.000 --> 00:00:03.660]  繼續這個《亂世啟事錄》的系列
[00:00:03.660 --> 00:00:08.660]  我們之前的Good Friday和Easter暫停了一點
[00:00:08.660 --> 00:00:10.160]  但是我們回到這裡
[00:00:10.160 --> 00:00:13.160]  我們看看和這些所謂的《宗末論》有關的
[00:00:13.160 --> 00:00:14.800]  Eschatology有關
[00:00:14.800 --> 00:00:16.660]  當我們想起這個主題的時候
[00:00:16.660 --> 00:00:18.960]  什麼叫做宗末的意思
[00:00:18.960 --> 00:00:24.060]  請你不要覺得這件事只不過是一個生命裡面的註腳
[00:00:24.060 --> 00:00:28.260]  或者是我們信仰裡面一些很悠閒的事情
[00:00:28.260 --> 00:00:30.060]  不等閒的事情
[00:00:30.060 --> 00:00:32.560]  其實整本聖經如果你看
[00:00:32.560 --> 00:00:35.660]  去揭示給我們看人類歷史的方向
[00:00:35.660 --> 00:00:37.160]  是一個直線來的
[00:00:37.160 --> 00:00:40.060]  是一條線不斷向前面一個目的
[00:00:40.060 --> 00:00:41.960]  這個就正是宗末的意思
[00:00:41.960 --> 00:00:43.460]  就是Eschatology的意思
[00:00:43.460 --> 00:00:47.160]  宗末就是說向著一個目的地來進化
[00:00:47.160 --> 00:00:51.860]  這個目的地就是上帝所計劃的一個目的地
[00:00:51.860 --> 00:00:55.660]  所以你不要覺得這個只不過是一些註腳的事情
[00:00:55.660 --> 00:00:58.660]  就是聖經裡面最後那本書才叫做《啟示錄》
[00:00:58.660 --> 00:01:01.460]  講到末世末日發生的事情
[00:01:01.460 --> 00:01:04.260]  到底世界裡面會發生什麼等等
[00:01:04.260 --> 00:01:06.560]  以為這些只不過是一個註腳
[00:01:06.560 --> 00:01:11.860]  其實整本聖經是向著這個方向來進發的
[00:01:11.860 --> 00:01:15.660]  最近有一個美國的電腦教授
[00:01:15.660 --> 00:01:20.660]  他就將聖經裡面63779節的
[00:01:20.660 --> 00:01:23.260]  這些互相呼應的經文
[00:01:23.260 --> 00:01:26.860]  比如某一些的經文會引用其他的經文
[00:01:26.860 --> 00:01:31.860]  他就將六萬多句的經文
[00:01:31.860 --> 00:01:33.260]  就將它plot出來
[00:01:33.260 --> 00:01:34.460]  由左至右
[00:01:34.460 --> 00:01:38.860]  左邊就是《創世紀》開始
[00:01:38.860 --> 00:01:42.860]  然後到最後右邊就是《啟示錄》
[00:01:42.860 --> 00:01:44.660]  你就發現他這樣去到
[00:01:44.660 --> 00:01:46.560]  每逢有呼應的經文
[00:01:46.560 --> 00:01:48.660]  他就畫一個弧線
[00:01:48.660 --> 00:01:51.860]  呼應得越遠的就畫一個最大的弧線
[00:01:51.860 --> 00:01:54.660]  你就發現《創世紀》頭兩章講到伊甸園的時候
[00:01:54.660 --> 00:01:59.060]  上帝與人同在這個描述的時候
[00:01:59.060 --> 00:02:01.060]  到最後的時候
[00:02:01.060 --> 00:02:03.060]  最後那兩章《啟示錄》
[00:02:03.060 --> 00:02:07.060]  也都講到上帝最終要與人同在
[00:02:07.060 --> 00:02:10.260]  最終要去到住在人的中間
[00:02:10.260 --> 00:02:12.460]  是有新天新地利道
[00:02:12.460 --> 00:02:15.660]  你就見到是有互相的呼應
[00:02:15.660 --> 00:02:18.660]  和互相的去到引用的
[00:02:18.660 --> 00:02:21.660]  所以你見到其實在講
[00:02:21.660 --> 00:02:23.660]  由始到終
[00:02:23.660 --> 00:02:26.860]  上帝是向著一個方向
[00:02:26.860 --> 00:02:29.060]  人類歷史是向著一個計劃
[00:02:29.060 --> 00:02:32.460]  就是將來這個新天新地會臨到
[00:02:32.460 --> 00:02:34.060]  中間就發生什麼事呢
[00:02:34.060 --> 00:02:37.260]  大概中間就是耶穌基督在十字架上死
[00:02:37.260 --> 00:02:39.660]  而墳墓裡面復活
[00:02:39.660 --> 00:02:42.660]  是舊約聖經的實現
[00:02:42.660 --> 00:02:46.660]  所以我們在看這個《宗末論》的問題的時候
[00:02:46.660 --> 00:02:49.260]  就不是一些等限事
[00:02:49.260 --> 00:02:52.660]  今天我們處理一段經文是新約裡面
[00:02:52.660 --> 00:02:54.060]  不是《啟示錄》
[00:02:54.060 --> 00:02:56.660]  因為我們還在處理《啟示錄》以外的
[00:02:56.660 --> 00:02:58.660]  一些講到《宗末》的經文
[00:02:58.660 --> 00:03:01.260]  就是《貼薩羅尼加前書》第四章
[00:03:01.260 --> 00:03:03.460]  這一段經文有很多的討論
[00:03:03.460 --> 00:03:05.460]  特別在過去幾十年
[00:03:05.460 --> 00:03:08.060]  就講到這個被提的問題
[00:03:08.060 --> 00:03:09.460]  Rapture的問題
[00:03:09.460 --> 00:03:12.260]  就是會不會說這個世界的《宗末》
[00:03:12.260 --> 00:03:13.860]  來到之前
[00:03:13.860 --> 00:03:17.460]  就會有一個史無前例的七年的浩劫
[00:03:17.460 --> 00:03:19.460]  會臨到這個世界
[00:03:19.460 --> 00:03:21.860]  然後七年的浩劫之前
[00:03:21.860 --> 00:03:25.860]  這個主會先回來
[00:03:25.860 --> 00:03:29.460]  但是那個回來不是明顯回來的
[00:03:29.460 --> 00:03:30.460]  是秘密的回來
[00:03:30.460 --> 00:03:32.460]  Secret的Return
[00:03:32.460 --> 00:03:35.460]  然後他回來的時候就將教會
[00:03:35.460 --> 00:03:37.660]  來到所謂被提了
[00:03:37.660 --> 00:03:39.860]  將教會提走
[00:03:39.860 --> 00:03:42.060]  普世教會將他們提走
[00:03:42.060 --> 00:03:44.860]  然後這個浩劫才會展開
[00:03:44.860 --> 00:03:46.860]  到時候就會很嚴重
[00:03:46.860 --> 00:03:48.860]  這個就是《啟示錄》裡面
[00:03:48.860 --> 00:03:50.860]  七因七患
[00:03:50.860 --> 00:03:52.860]  裡面所講的浩劫
[00:03:52.860 --> 00:03:55.860]  七年浩劫完結了
[00:03:55.860 --> 00:03:56.860]  有很多的戰爭
[00:03:56.860 --> 00:03:59.260]  或者有很多的劫難等等
