
[00:00:00.000 --> 00:00:03.200]  崇拜也是Mark Sir現在將時間交給他
[00:00:03.200 --> 00:00:06.400]  好 我們都
[00:00:06.400 --> 00:00:08.200]  為到
[00:00:08.200 --> 00:00:09.160]  開到咪未
[00:00:09.160 --> 00:00:11.320]  OK 好
[00:00:11.320 --> 00:00:13.440]  我們在講到之前
[00:00:13.440 --> 00:00:14.960]  我們都為到教會祈禱好嗎
[00:00:14.960 --> 00:00:18.560]  因為特映姐妹是特別需要去紀念的
[00:00:18.560 --> 00:00:20.200]  上一個星期日
[00:00:20.200 --> 00:00:21.320]  葉生、葉太
[00:00:21.320 --> 00:00:23.880]  他們就有一些家事
[00:00:23.880 --> 00:00:26.000]  所以我們完了崇拜
[00:00:26.000 --> 00:00:27.480]  我和另外一位同工
[00:00:27.680 --> 00:00:30.360]  我們就去到醫院探望葉生
[00:00:30.360 --> 00:00:34.240]  因為葉生突然間生命危殆
[00:00:34.240 --> 00:00:36.000]  所以我們上個主日
[00:00:36.000 --> 00:00:39.000]  下午就去陪葉太
[00:00:39.000 --> 00:00:41.560]  葉生的生活支援
[00:00:41.560 --> 00:00:44.880]  他需要去鋪排
[00:00:44.880 --> 00:00:46.840]  所以在整個下午
[00:00:46.840 --> 00:00:49.760]  我們陪著他的家人等等
[00:00:49.760 --> 00:00:51.960]  我們都是為葉太祈禱
[00:00:51.960 --> 00:00:55.160]  他們的安息星期是安排了這個星期三
[00:00:55.160 --> 00:00:56.840]  這個星期是中間的
[00:00:57.200 --> 00:00:59.240]  如果你有任何問題的話
[00:00:59.240 --> 00:01:01.080]  可以問我們其中一個同工好嗎
[00:01:01.080 --> 00:01:04.760]  但我們需要為我們身邊有需要的特映姐妹祈禱
[00:01:04.760 --> 00:01:06.040]  我們同心一致地祈禱
[00:01:06.040 --> 00:01:08.880]  上主我們感謝祢給我們這個教會
[00:01:08.880 --> 00:01:10.200]  我們一個屬靈的家
[00:01:10.200 --> 00:01:12.200]  雖然我們人多
[00:01:12.200 --> 00:01:15.840]  未必每一個我們都會很個人地去認識
[00:01:15.840 --> 00:01:17.320]  但在基督裡面
[00:01:17.320 --> 00:01:19.240]  我們仍然是屬於這個家庭
[00:01:19.240 --> 00:01:23.200]  主我們為葉生、葉太的家祈禱
[00:01:23.200 --> 00:01:25.480]  我們知道葉生已經是安息主懷
[00:01:25.760 --> 00:01:28.240]  失去地上的奴婦
[00:01:28.240 --> 00:01:29.680]  在天家裡面
[00:01:29.680 --> 00:01:32.400]  在上帝祢自己的安慰當中
[00:01:32.400 --> 00:01:34.400]  在耶穌的同在裡面
[00:01:34.400 --> 00:01:35.800]  是很多無比的地方
[00:01:35.800 --> 00:01:39.520]  主我們為葉太、為祂的家人祈禱
[00:01:39.520 --> 00:01:42.680]  求祢在傷心難過的時候給他們安慰
[00:01:42.680 --> 00:01:45.280]  也給這個星期三
[00:01:45.280 --> 00:01:46.920]  我們安息星期當中
[00:01:46.920 --> 00:01:50.080]  我們能夠見到上帝祢自己的安慰和認許
[00:01:50.080 --> 00:01:51.720]  我們感謝祢給我們每一個
[00:01:51.720 --> 00:01:53.240]  我們能夠活在祢自己的保守
[00:01:53.240 --> 00:01:54.600]  和祢自己的帶領之下
[00:01:54.880 --> 00:01:56.520]  雖然我們生活裡面
[00:01:56.520 --> 00:01:59.160]  人生裡面可能有高有低
[00:01:59.160 --> 00:02:00.840]  有迂迴曲折的時間
[00:02:00.840 --> 00:02:02.920]  但是我們知道祢是我們的目者
[00:02:02.920 --> 00:02:03.840]  仍然帶領我們
[00:02:03.840 --> 00:02:04.560]  我們感謝祢
[00:02:04.560 --> 00:02:06.600]  我們教會進入第十週年
[00:02:06.600 --> 00:02:08.560]  我們求祢幫助我們
[00:02:08.560 --> 00:02:10.160]  在這一年的當中
[00:02:10.160 --> 00:02:13.400]  我們一起在屬性生命上能夠成長
[00:02:13.400 --> 00:02:14.600]  在我們教會
[00:02:14.600 --> 00:02:16.360]  我們每一方面能夠成長
[00:02:16.360 --> 00:02:17.120]  我們榮耀祢
[00:02:17.120 --> 00:02:18.080]  祈禱奉主名禱
[00:02:18.080 --> 00:02:20.680]  好,在十週年裡面
[00:02:20.680 --> 00:02:23.040]  我們有一個港獨的系列
[00:02:23.040 --> 00:02:25.760]  就是叫做Next
[00:02:25.760 --> 00:02:28.520]  我們這次是第二講的
[00:02:28.520 --> 00:02:31.680]  上一次我們講的是阿布拉罕的故事
[00:02:31.680 --> 00:02:35.040]  我們說整本聖經由《創世紀》到《啟示錄》
[00:02:35.040 --> 00:02:37.920]  去介紹一位上帝是怎樣的上帝
[00:02:37.920 --> 00:02:40.880]  這位上帝是Guard in Mission
[00:02:40.880 --> 00:02:42.520]  是Missionary God
[00:02:42.520 --> 00:02:44.840]  是一個宣教中的上帝
[00:02:44.840 --> 00:02:46.960]  上帝沒有放棄過這個世界
[00:02:46.960 --> 00:02:49.280]  雖然這個世界是亂七八糟
[00:02:49.280 --> 00:02:51.440]  我們生命都亂七八糟
[00:02:51.440 --> 00:02:53.560]  但是上帝一直沒有放棄過我們
[00:02:53.560 --> 00:02:55.400]  祂的Mission就是去拯救我們
