
[00:00:00.000 --> 00:00:02.600]  還有,你講到神的形象的時候
[00:00:02.600 --> 00:00:06.400]  近東的文獻經常都會提到神的形象
[00:00:06.400 --> 00:00:11.400]  這句話是什麼人說自己是神的形象
[00:00:11.400 --> 00:00:13.400]  我們看看亞述的文獻
[00:00:13.400 --> 00:00:15.400]  我這裡列出了三句
[00:00:15.400 --> 00:00:17.400]  三段亞述的文獻
[00:00:17.400 --> 00:00:19.400]  第一句
[00:00:19.400 --> 00:00:22.400]  我主的父王是比勒
[00:00:22.400 --> 00:00:23.400]  Bell
[00:00:23.400 --> 00:00:25.400]  你記得Bell是誰嗎?
[00:00:25.400 --> 00:00:27.400]  馬獨克
[00:00:27.400 --> 00:00:29.400]  巴比倫的大神
[00:00:29.400 --> 00:00:33.400]  我主的父王是馬獨克真正的形象
[00:00:33.400 --> 00:00:37.400]  但是我主的皇帝,皇上
[00:00:37.400 --> 00:00:42.400]  也是比勒真正的形象
[00:00:42.400 --> 00:00:44.400]  就是說誰是神的形象
[00:00:44.400 --> 00:00:50.400]  就是皇帝王才是神的形象
[00:00:50.400 --> 00:00:52.400]  第二句
[00:00:52.400 --> 00:00:57.400]  這句話是其他人稱讚過皇上說的
[00:00:57.400 --> 00:00:59.400]  皇上是萬國的主
[00:00:59.400 --> 00:01:05.400]  是太陽神沙瑪斯真正的形象
[00:01:05.400 --> 00:01:07.400]  誰是神的形象?
[00:01:07.400 --> 00:01:10.400]  天子就是神的形象
[00:01:10.400 --> 00:01:12.400]  皇上才是神的形象
[00:01:12.400 --> 00:01:14.400]  第三句
[00:01:14.400 --> 00:01:16.400]  更有趣
[00:01:16.400 --> 00:01:18.400]  人是神的影子
[00:01:18.400 --> 00:01:21.400]  而僕人就更加不是神的影子
[00:01:21.400 --> 00:01:24.400]  只不過是人在底下的影子
[00:01:24.400 --> 00:01:26.400]  草民
[00:01:26.400 --> 00:01:28.400]  低等的人
[00:01:28.400 --> 00:01:30.400]  但是皇上是誰?
[00:01:30.400 --> 00:01:32.400]  以撒哈頓是亞述王
[00:01:32.400 --> 00:01:34.400]  其中一個王
[00:01:34.400 --> 00:01:38.400]  以撒哈頓皇上就是神的形象
[00:01:38.400 --> 00:01:40.400]  Image of God
[00:01:40.400 --> 00:01:47.400]  原來是說皇帝才是神的形象
[00:01:47.400 --> 00:01:49.400]  埃及也是一樣
[00:01:49.400 --> 00:01:51.400]  埃及帝國的一些文獻
[00:01:51.400 --> 00:01:55.400]  萬有的主是閃耀的形象
[00:01:55.400 --> 00:01:57.400]  太陽城
[00:01:57.400 --> 00:01:59.400]  埃及有一個宗教的中心叫太陽城
[00:01:59.400 --> 00:02:01.400]  主神所創造的
[00:02:01.400 --> 00:02:03.400]  他生了他的王
[00:02:03.400 --> 00:02:05.400]  就是法老
[00:02:05.400 --> 00:02:10.400]  在地上做出他閃耀的榮耀的後裔
[00:02:10.400 --> 00:02:12.400]  為了人類的拯救
[00:02:12.400 --> 00:02:14.400]  法老是誰?
[00:02:14.400 --> 00:02:18.400]  就是活著神活著的形象
[00:02:18.400 --> 00:02:20.400]  Image of living God
[00:02:20.400 --> 00:02:22.400]  當然是那些假神
[00:02:22.400 --> 00:02:24.400]  然後另外一句
[00:02:24.400 --> 00:02:26.400]  埃及其中一個神明
[00:02:26.400 --> 00:02:29.400]  當時的愛邦是多神論
[00:02:29.400 --> 00:02:32.400]  阿蒙形容法老是什麼?
[00:02:32.400 --> 00:02:34.400]  你就是我活著的形象
[00:02:34.400 --> 00:02:36.400]  我看的創造
[00:02:36.400 --> 00:02:39.400]  這幾句話已經足夠讓我們知道
[00:02:39.400 --> 00:02:44.400]  到底聖經說出神的形象這句話的時候
[00:02:44.400 --> 00:02:46.400]  當時的人在想什麼?
[00:02:46.400 --> 00:02:48.400]  當時的人在想
[00:02:48.400 --> 00:02:52.400]  神的形象一定只是在上掌權
[00:02:52.400 --> 00:02:54.400]  上面那些有尊貴身份
[00:02:54.400 --> 00:02:56.400]  有神聖身份
[00:02:56.400 --> 00:02:58.400]  天子嘛我們中國人都這樣說
[00:02:58.400 --> 00:03:01.400]  祂才是Son of God
[00:03:01.400 --> 00:03:03.400]  祂才是神的兒子
[00:03:03.400 --> 00:03:06.400]  創世的第一章
[00:03:06.400 --> 00:03:10.400]  就說了一些很嶄新的理念
[00:03:10.400 --> 00:03:13.400]  一些很革命性的理念
[00:03:13.400 --> 00:03:16.400]  就是說全人類都是神的形象
[00:03:16.400 --> 00:03:20.400]  神的形象不是在上掌權者
[00:03:20.400 --> 00:03:26.400]  尊貴身份不只是在上掌權者的專利品
[00:03:26.400 --> 00:03:30.400]  所有的人都是神的形象
[00:03:30.400 --> 00:03:33.400]  所以你看到第一章
[00:03:33.400 --> 00:03:37.400]  原來你看清楚原文等等背景
[00:03:37.400 --> 00:03:40.400]  你會知道原來他在宣告一些東西
[00:03:40.400 --> 00:03:43.400]  不只是古代的時候才能夠應用
[00:03:43.400 --> 00:03:44.400]  今天也能夠應用
[00:03:44.400 --> 00:03:46.400]  就是世界觀的問題
[00:03:46.400 --> 00:03:48.400]  就是人是什麼
[00:03:48.400 --> 00:03:51.400]  人算什麼等於尖帝八鞭
[00:03:51.400 --> 00:03:54.400]  是有尊貴的身份
[00:03:54.400 --> 00:03:56.400]  君尊的地位
[00:03:56.400 --> 00:03:58.400]  好像王一樣
[00:03:58.400 --> 00:04:01.400]  在這位創造主君王底下
[00:04:01.400 --> 00:04:03.400]  我們就是創造界的君王
[00:04:03.400 --> 00:04:06.400]  有一個很尊貴的身份
[00:04:06.400 --> 00:04:12.400]  跟當時近東的人觀去作一些爭辯
