
[00:00:00.000 --> 00:00:02.000]   - Good morning everyone.
[00:00:02.000 --> 00:00:08.340]   And we will continue our series on the Psalms in the Bible.
[00:00:08.340 --> 00:00:10.600]   And as I told you before,
[00:00:10.600 --> 00:00:14.600]   many of the Psalms were originally prayers
[00:00:14.600 --> 00:00:16.860]   spoken by the people of God.
[00:00:16.860 --> 00:00:19.520]   But some of the Psalms in the book of Psalms
[00:00:19.520 --> 00:00:22.000]   are written for the purpose of teaching us something.
[00:00:22.000 --> 00:00:24.360]   So teaching us how to relate to God,
[00:00:24.360 --> 00:00:28.480]   teaching us how to see ourselves and see the world.
[00:00:28.480 --> 00:00:32.400]   (speaking in foreign language)
[00:00:32.400 --> 00:00:46.360]   Now we call these kinds of Psalms, wisdom Psalms.
[00:00:46.360 --> 00:00:48.800]   You may have heard it the very first time today,
[00:00:48.800 --> 00:00:51.540]   but we can call them wisdom Psalms
[00:00:51.540 --> 00:00:56.540]   because these wisdom Psalms are meant to teach us something,
[00:00:56.980 --> 00:00:59.240]   to teach us wisdom, make us wiser
[00:00:59.240 --> 00:01:02.660]   and help us better relate to God.
[00:01:02.660 --> 00:01:06.580]   (speaking in foreign language)
[00:01:06.580 --> 00:01:17.140]   And let's read this, Psalm 1, okay?
[00:01:17.140 --> 00:01:19.120]   So Psalm 1 has six verses.
[00:01:19.120 --> 00:01:21.000]   Let's read that verse by verse.
[00:01:21.000 --> 00:01:22.880]   Let me begin with English.
[00:01:22.880 --> 00:01:24.760]   Psalm 1, verse 1.
[00:01:24.760 --> 00:01:27.180]   "Thus is the man who does not walk
[00:01:27.180 --> 00:01:29.500]   in the counsel of the wicked,
[00:01:29.500 --> 00:01:31.860]   or stand in the way of sinners,
[00:01:31.860 --> 00:01:35.740]   or sit in the seat of mockers."
[00:01:35.740 --> 00:01:39.660]   (speaking in foreign language)
[00:01:39.660 --> 00:01:47.320]   But his delight is in the law of the Lord,
[00:01:47.320 --> 00:01:50.880]   and on his law he meditates day and night.
[00:01:50.880 --> 00:01:54.800]   (speaking in foreign language)
[00:01:54.800 --> 00:02:01.780]   And verse 3, "He is like a tree planted by streams of water,
[00:02:01.780 --> 00:02:04.620]   which yields its fruit in season,
[00:02:04.620 --> 00:02:06.720]   and whose leaf does not wither.
[00:02:06.720 --> 00:02:09.100]   Whatever he does prospers."
[00:02:09.100 --> 00:02:13.020]   (speaking in foreign language)
[00:02:18.060 --> 00:02:21.780]   Not so the wicked, they are like a shaft,
[00:02:21.780 --> 00:02:25.020]   and that the wind blows away.
[00:02:25.020 --> 00:02:29.700]   (speaking in foreign language)
[00:02:29.700 --> 00:02:31.260]   And verse 5, "Therefore the wicked
[00:02:31.260 --> 00:02:32.940]   will not stand in judgment,
[00:02:32.940 --> 00:02:36.140]   nor sinners in the assembly of the righteous."
[00:02:36.140 --> 00:02:40.060]   (speaking in foreign language)
[00:02:40.060 --> 00:02:45.100]   And verse 6, "For the Lord watches over
[00:02:45.100 --> 00:02:46.620]   the way of the righteous,
[00:02:46.620 --> 00:02:49.100]   but the way of the wicked will perish."
[00:02:49.100 --> 00:02:53.020]   (speaking in foreign language)
[00:02:53.020 --> 00:02:57.820]   Now Psalm 1 is the first Psalm in the book of Sardar,
[00:02:57.820 --> 00:03:01.300]   and it is like a gate to the temple of God.
[00:03:01.300 --> 00:03:03.060]   So before you enter the temple of God,
[00:03:03.060 --> 00:03:05.200]   there was a gate that you have to go through,
[00:03:05.200 --> 00:03:08.060]   and you walk into the presence of God,
