
[00:00:00.000 --> 00:00:03.080]  好,我們繼續講第四章創世紀
[00:00:03.080 --> 00:00:06.120]  我們很快講一講脈絡
[00:00:06.120 --> 00:00:07.720]  第四章創世紀
[00:00:07.720 --> 00:00:10.900]  由第一章開始
[00:00:10.900 --> 00:00:14.040]  就是天地的創造,人類的創造
[00:00:14.040 --> 00:00:16.040]  人類的叛變,這是第三章
[00:00:16.040 --> 00:00:17.600]  然後我們進入第四章
[00:00:17.600 --> 00:00:19.320]  大家記得第三章之後
[00:00:19.320 --> 00:00:22.040]  人流亡於這些之外
[00:00:22.040 --> 00:00:25.240]  因為我們叛逆和犯罪
[00:00:25.240 --> 00:00:27.480]  但是上帝仍然出來
[00:00:27.480 --> 00:00:30.920]  和我們同行,在我們中間
[00:00:30.920 --> 00:00:35.160]  所以第四章預設了這件事
[00:00:35.160 --> 00:00:39.800]  上帝和神仍然與人建立關係
[00:00:39.800 --> 00:00:42.160]  所以第四章開始就講到該隱阿伯
[00:00:42.160 --> 00:00:49.440]  他們是一個耕田的,一個是牧人
[00:00:49.440 --> 00:00:51.440]  然後第四章,大家記得
[00:00:51.440 --> 00:00:55.920]  很多篇幅講到該隱離開上帝
[00:00:55.920 --> 00:01:00.240]  他也是叛變,然後他離開了上帝
[00:01:00.240 --> 00:01:03.560]  然後他就建立自己的城鎮
[00:01:03.560 --> 00:01:08.920]  所謂文明,有其他的文化出現等等
[00:01:08.920 --> 00:01:11.800]  然後到第四章尾就講到
[00:01:11.800 --> 00:01:15.600]  亞當的另一個兒子,就是瑟特
[00:01:15.600 --> 00:01:18.480]  他的後代繼續延續下去
[00:01:18.480 --> 00:01:20.800]  就是到第五章了
[00:01:20.800 --> 00:01:23.120]  我們上一次講過
[00:01:23.120 --> 00:01:26.600]  我們做了一些比對的研究
[00:01:26.600 --> 00:01:29.760]  我們要明白當時的人
[00:01:29.760 --> 00:01:33.480]  他們的作品,一些近東的文獻
[00:01:33.480 --> 00:01:36.960]  以至他們怎樣去講述一些
[00:01:36.960 --> 00:01:41.840]  遠古人類發生的事,和一些起源的事等等
[00:01:41.840 --> 00:01:45.760]  和聖經有沒有相似的地方呢?
[00:01:45.760 --> 00:01:48.800]  用的語言,或者一些主題
[00:01:48.800 --> 00:01:51.480]  甚至是討論一些手法
[00:01:51.480 --> 00:01:55.000]  有沒有相似的地方,然後有沒有差異的地方
[00:01:55.000 --> 00:01:58.760]  差異的地方很可能是上帝特別啟示
[00:01:58.760 --> 00:02:02.240]  他的真理的那個方面
[00:02:02.240 --> 00:02:05.520]  所以我們首先要知道
[00:02:05.520 --> 00:02:09.440]  聖經首先是寫給當時近東的人
[00:02:09.440 --> 00:02:11.360]  當時的世界
[00:02:11.360 --> 00:02:15.560]  所以他們去討論一些議題
[00:02:15.560 --> 00:02:17.200]  討論一些問題的時候
[00:02:17.200 --> 00:02:20.800]  不一定像我們現代人那樣去講
[00:02:20.800 --> 00:02:23.800]  好像我們創世的第一章那裡講到
[00:02:23.800 --> 00:02:26.040]  我們的興趣,現代人
[00:02:26.040 --> 00:02:28.280]  就是科學
[00:02:28.280 --> 00:02:30.480]  大爆炸等等
[00:02:30.480 --> 00:02:35.120]  但是近東的人,包括聖經當時的世界
[00:02:35.120 --> 00:02:37.080]  他們所討論起源的時候
[00:02:37.080 --> 00:02:39.160]  就不是我們今天
[00:02:39.160 --> 00:02:42.320]  未必是我們今天所著重的問題
[00:02:42.320 --> 00:02:44.480]  所以我們看看怎樣去比對的時候
[00:02:44.480 --> 00:02:48.640]  我們就明白,為什麼聖經會記載這些東西
[00:02:48.640 --> 00:02:50.760]  以及用這些手法來講
[00:02:50.760 --> 00:02:56.600]  甚至為什麼他的脈絡是有他的特色的
[00:02:56.600 --> 00:02:59.840]  創世的第四章裡面我們剛才提過
[00:02:59.840 --> 00:03:02.800]  有耕田,有畜牧
[00:03:02.800 --> 00:03:06.280]  然後兩個兄弟發生了什麼事等等
[00:03:06.280 --> 00:03:08.520]  這裡有沒有一些比對可以幫助我們
[00:03:08.520 --> 00:03:11.600]  為什麼會第四章
[00:03:11.600 --> 00:03:13.960]  講到人類的起源
[00:03:13.960 --> 00:03:19.200]  都是在講一些史前史,很久之前的事情
[00:03:19.200 --> 00:03:22.920]  就會講到畜牧和農業的
[00:03:22.920 --> 00:03:27.120]  就是該隱,阿伯,兩個行業
[00:03:27.120 --> 00:03:30.480]  我們可以比對一下一些在近東
[00:03:30.480 --> 00:03:34.120]  又是討論到一些所謂遠古歷史
[00:03:34.120 --> 00:03:36.680]  遠古人類做過什麼的
[00:03:36.680 --> 00:03:39.080]  這些所謂的史詩
[00:03:39.080 --> 00:03:43.040]  或者一些的爭辯士
[00:03:43.040 --> 00:03:46.120]  這裡有一首爭辯詩
[00:03:46.120 --> 00:03:55.840]  就是那個標題叫做Dumuzi和Enkintu
[00:03:55.840 --> 00:04:00.640]  就是兩個的神明來做一個爭辯
[00:04:00.640 --> 00:04:04.680]  有一大堆的這些詩歌
[00:04:04.680 --> 00:04:06.880]  我們可以叫它做爭辯詩歌
[00:04:06.880 --> 00:04:09.320]  通常就是兩者對答
[00:04:09.320 --> 00:04:11.840]  裡面所討論的問題
[00:04:11.840 --> 00:04:13.720]  或者所講的故事
[00:04:13.720 --> 00:04:16.400]  都是有兩方面的
[00:04:16.400 --> 00:04:19.120]  就是兩方面很多時候就是講到人類
