
[00:00:00.000 --> 00:00:03.040]  我們來到耶穌生平的最後一個星期
[00:00:03.040 --> 00:00:05.520]  我們講過耶穌榮進耶路撒冷
[00:00:05.520 --> 00:00:07.280]  然後他結成聖殿
[00:00:07.280 --> 00:00:09.680]  之後幾天按照福音書的記載
[00:00:09.680 --> 00:00:12.640]  耶穌與耶路撒冷的宗教權貴
[00:00:12.640 --> 00:00:15.680]  發生了很多爭議和辯論
[00:00:15.680 --> 00:00:18.960]  我們來到猶太人的預節的時候
[00:00:18.960 --> 00:00:21.200]  按照猶太人的規矩
[00:00:21.200 --> 00:00:23.200]  最好預節的晚餐
[00:00:23.200 --> 00:00:25.520]  就是在耶路撒冷城的
[00:00:25.520 --> 00:00:27.200]  最高的地方
[00:00:27.200 --> 00:00:31.520]  就是在耶路撒冷城裡面吃的
[00:00:31.520 --> 00:00:34.000]  所以馬可福音第十四章就講到
[00:00:34.000 --> 00:00:38.080]  耶穌如何去預備預節晚餐
[00:00:38.080 --> 00:00:39.600]  除夭節的第一天
[00:00:39.600 --> 00:00:43.040]  就是宰殺預節羊羔的日子
[00:00:43.040 --> 00:00:44.480]  門徒問耶穌
[00:00:44.480 --> 00:00:46.160]  你要我們到哪裡去
[00:00:46.160 --> 00:00:48.880]  為你預備預節的晚餐
[00:00:48.880 --> 00:00:52.240]  他就差派兩個門徒對他們說
[00:00:52.240 --> 00:00:53.200]  你們進城去
[00:00:53.200 --> 00:00:56.800]  必有一個人拿著一瓶水迎面而來
[00:00:56.800 --> 00:00:58.000]  你們跟著他
[00:00:58.000 --> 00:00:59.280]  無論他進哪一家
[00:00:59.280 --> 00:01:02.320]  你們就對那家的主人說
[00:01:02.320 --> 00:01:03.360]  老師說
[00:01:03.360 --> 00:01:09.120]  讓我和門徒吃預節晚餐的客房在哪裡
[00:01:09.120 --> 00:01:11.440]  他必給你們看到
[00:01:11.440 --> 00:01:16.320]  樓上一間擺設好又預備好的大房間
[00:01:16.320 --> 00:01:18.720]  你們就在哪裡為我們預備吧
[00:01:18.720 --> 00:01:20.640]  這裡很簡單地去記載
[00:01:20.640 --> 00:01:24.640]  他說密碼就是有一個人
[00:01:24.640 --> 00:01:25.840]  男人
[00:01:25.840 --> 00:01:28.640]  拿著一瓶水迎面而來
[00:01:28.640 --> 00:01:31.600]  打水通常是女人的工作
[00:01:31.600 --> 00:01:34.160]  所以見到一個男人拿著一瓶水
[00:01:34.160 --> 00:01:35.440]  是非常罕見
[00:01:35.440 --> 00:01:38.480]  可以見到耶穌一早已經預備了
[00:01:38.480 --> 00:01:41.840]  在耶穌的紀念傳道裡面
[00:01:41.840 --> 00:01:44.080]  他都吸引了一些少數的
[00:01:44.080 --> 00:01:45.680]  較為上層的人
[00:01:45.680 --> 00:01:47.840]  所以來到耶路撒冷城的時候
[00:01:47.840 --> 00:01:49.760]  他想找一個大的房間
[00:01:49.760 --> 00:01:51.760]  甚至是樓上的房間
[00:01:51.760 --> 00:01:54.400]  來到做最後晚餐的時候
[00:01:54.400 --> 00:01:56.960]  這個是可以理解的
[00:01:56.960 --> 00:01:59.680]  這裡說到樓上一間大房間
[00:01:59.680 --> 00:02:01.680]  這是新漢語譯本
[00:02:01.680 --> 00:02:05.120]  其他中文譯本沒有說得很清楚
[00:02:05.120 --> 00:02:06.640]  這是上樓房
[00:02:06.640 --> 00:02:08.320]  是upper room
[00:02:08.320 --> 00:02:11.760]  我們知道在當時耶路撒冷的地理
[00:02:11.760 --> 00:02:15.840]  上城或者聖殿西邊這個地方
[00:02:15.840 --> 00:02:17.760]  這裡的房子比較大
