
[00:00:00.000 --> 00:00:04.000]  早晨弟兄姊妹
[00:00:04.000 --> 00:00:09.000]  我今天早上想起Mark Sir在多倫多
[00:00:09.000 --> 00:00:11.000]  Alice去了Whitman
[00:00:11.000 --> 00:00:13.000]  今天我在這裡
[00:00:13.000 --> 00:00:18.000]  我覺得我們的團隊在不同的地方繼續宣講神的話語
[00:00:18.000 --> 00:00:20.000]  不如我們一起低頭祈禱
[00:00:20.000 --> 00:00:24.000]  祝我們的神再次獻上感恩
[00:00:24.000 --> 00:00:27.000]  我們能夠回到你的家中敬拜讚美你
[00:00:27.000 --> 00:00:31.000]  你也保守Mark Sir保守Alice保守我
[00:00:31.000 --> 00:00:34.000]  保守每一個今天宣講你的話語
[00:00:34.000 --> 00:00:40.000]  主要是你的話語都是帶有能力的被釋放出去
[00:00:40.000 --> 00:00:45.000]  你去準備人的心去聽你要跟他們說的話
[00:00:45.000 --> 00:00:50.000]  Change their heart so that 他們能夠聽到行到
[00:00:50.000 --> 00:00:52.000]  奉主耶穌基督的聖名祈求
[00:00:52.000 --> 00:00:53.000]  Amen
[00:00:53.000 --> 00:00:57.000]  在進入今天的經文之前
[00:00:57.000 --> 00:01:01.000]  我很想用少許時間
[00:01:01.000 --> 00:01:08.000]  跟大家recap之前傳道書一章到六章九節的一些重點
[00:01:08.000 --> 00:01:13.000]  如果你記得傳道書一開始傳道者說什麼
[00:01:13.000 --> 00:01:15.000]  他說去控的去控
[00:01:15.000 --> 00:01:16.000]  凡事都是去控
[00:01:16.000 --> 00:01:18.000]  太陽升太陽落
[00:01:18.000 --> 00:01:21.000]  光河的水流入大海
[00:01:21.000 --> 00:01:25.000]  但是大海是永遠不會滿舍的
[00:01:25.000 --> 00:01:27.000]  日光之下沒有新事
[00:01:27.000 --> 00:01:30.000]  這個世界有時候好像一個red ray
[00:01:30.000 --> 00:01:33.000]  你不停在追不停在嘗試去捉
[00:01:33.000 --> 00:01:36.000]  但是都捉不住
[00:01:36.000 --> 00:01:39.000]  然後傳道者就決定去追求什麼
[00:01:39.000 --> 00:01:41.000]  他決定追求智慧
[00:01:41.000 --> 00:01:44.000]  但是結果他發現什麼呢
[00:01:44.000 --> 00:01:48.000]  有時候原來越有智慧就越多煩惱
[00:01:48.000 --> 00:01:50.000]  知得多反而越煩
[00:01:50.000 --> 00:01:52.000]  不如試試享受
[00:01:52.000 --> 00:01:55.000]  住大屋養番狗
[00:01:55.000 --> 00:01:57.000]  儲足投資
[00:01:57.000 --> 00:01:58.000]  養養做齊
[00:01:58.000 --> 00:02:00.000]  應該ok了吧
[00:02:00.000 --> 00:02:02.000]  但竟然他最後都說
[00:02:02.000 --> 00:02:04.000]  我回顧我手上所經營的一切
[00:02:04.000 --> 00:02:06.000]  都是去控
[00:02:06.000 --> 00:02:07.000]  都是捕風
[00:02:07.000 --> 00:02:09.000]  捕是捕捉那個捕
[00:02:09.000 --> 00:02:12.000]  好像你嘗試捉住一陣風
[00:02:12.000 --> 00:02:13.000]  捉不住
[00:02:13.000 --> 00:02:19.000]  然後他說智慧的人和愚昧的人有什麼分別
[00:02:19.000 --> 00:02:21.000]  有的有分別
[00:02:21.000 --> 00:02:24.000]  不過到最後他們都是要死亡
[00:02:24.000 --> 00:02:30.000]  不過裏面亦有說一件似乎比較好的事
