
[00:00:00.000 --> 00:00:01.880]   - Good morning, everyone.
[00:00:01.880 --> 00:00:03.300]   (speaking in foreign language)
[00:00:03.300 --> 00:00:07.380]   Well, we are continuing our series on the Psalms
[00:00:07.380 --> 00:00:09.920]   and we are turning to Psalm 46.
[00:00:09.920 --> 00:00:13.260]   And this is one of the most well-known Psalms in the Bible,
[00:00:13.260 --> 00:00:14.920]   well-known Psalms in the world.
[00:00:14.920 --> 00:00:16.520]   And many people know this Psalm
[00:00:16.520 --> 00:00:20.020]   because there's a famous line in Psalm 46,
[00:00:20.020 --> 00:00:22.060]   "Be still and know that I am God."
[00:00:22.060 --> 00:00:23.560]   Recall any memory?
[00:00:23.560 --> 00:00:28.940]   (speaking in foreign language)
[00:00:31.000 --> 00:00:34.920]   (speaking in foreign language)
[00:00:34.920 --> 00:00:41.620]   Now, these words, "Be still and know that I am God,"
[00:00:41.620 --> 00:00:45.500]   has comforted many, many people in many generations.
[00:00:45.500 --> 00:00:47.080]   And this same Psalm,
[00:00:47.080 --> 00:00:50.220]   if you know this guy called Martin Luther,
[00:00:50.220 --> 00:00:52.880]   is one of the reformers 500 years ago,
[00:00:52.880 --> 00:00:54.180]   reformed the church.
[00:00:54.180 --> 00:00:59.180]   And he wrote a hymn, "Mighty Fortress is Our God."
[00:00:59.180 --> 00:01:04.060]   And the lyrics is coming from this Psalm, Psalm 46.
[00:01:04.060 --> 00:01:06.740]   And Luther, when he wrote this Psalm,
[00:01:06.740 --> 00:01:09.860]   he was under stress and under much suffering
[00:01:09.860 --> 00:01:14.660]   and persecution from the corrupt medieval Catholic church
[00:01:14.660 --> 00:01:16.860]   and in danger.
[00:01:16.860 --> 00:01:21.700]   And when he find that he was being persecuted
[00:01:21.700 --> 00:01:24.760]   and he find the courage from this Psalm, Psalm 46,
[00:01:24.760 --> 00:01:28.140]   "And God is our refuge and our strength."
[00:01:28.140 --> 00:01:32.060]   (speaking in foreign language)
[00:01:32.060 --> 00:01:52.900]   And then let me read the Psalm
[00:01:52.900 --> 00:01:56.620]   and we're gonna read the Psalms in three stanzas.
[00:01:56.620 --> 00:01:58.620]   Psalm 46, verse one.
[00:01:58.620 --> 00:02:01.620]   God is our refuge and strength
[00:02:01.620 --> 00:02:04.180]   and ever-present help in trouble.
[00:02:04.180 --> 00:02:05.820]   Therefore, we will not fear,
[00:02:05.820 --> 00:02:07.940]   though the earth give way
[00:02:07.940 --> 00:02:10.500]   and the mountains fall into the heart of the sea,
[00:02:10.500 --> 00:02:13.620]   though its waters roll and foam
[00:02:13.620 --> 00:02:16.360]   and the mountains quake with their surging.
