
[00:00:00.000 --> 00:00:02.000]  (香港政局)
[00:00:02.000 --> 00:00:04.000]  (香港政府)
[00:00:04.000 --> 00:00:06.000]  (香港政府)
[00:00:06.000 --> 00:00:08.000]  各位朋友
[00:00:08.000 --> 00:00:10.000]  這個世界是否很不平安
[00:00:10.000 --> 00:00:13.000]  特別你關心香港政局的時候
[00:00:13.000 --> 00:00:15.000]  你會發現
[00:00:15.000 --> 00:00:17.000]  真的很憂心
[00:00:17.000 --> 00:00:19.000]  亦都很痛心
[00:00:19.000 --> 00:00:21.000]  亦都很傷心
[00:00:21.000 --> 00:00:24.000]  不過蒙面法
[00:00:24.000 --> 00:00:27.000]  反蒙面法通過之後
[00:00:27.000 --> 00:00:30.000]  你會看到更多貧乏的局面
[00:00:30.000 --> 00:00:34.000]  有人說將會如何發展
[00:00:34.000 --> 00:00:36.000]  我們並不知道
[00:00:36.000 --> 00:00:40.000]  但是將會如何
[00:00:40.000 --> 00:00:42.000]  我們真的需要直接為
[00:00:42.000 --> 00:00:45.000]  這個香港局勢保護圖告
[00:00:45.000 --> 00:00:49.000]  要求主幫助那些暴力
[00:00:49.000 --> 00:00:51.000]  或者那些仇恨
[00:00:51.000 --> 00:00:53.000]  不會惡法
[00:00:53.000 --> 00:00:55.000]  我們相信一樣東西
[00:00:55.000 --> 00:00:57.000]  很多東西我們不知道
[00:00:57.000 --> 00:00:59.000]  未來我們都不知道
[00:00:59.000 --> 00:01:04.000]  但我們知道萬事萬物都有平息
[00:01:04.000 --> 00:01:06.000]  掌握在手裏
[00:01:06.000 --> 00:01:08.000]  神坐在天上為我們
[00:01:08.000 --> 00:01:09.000]  大人一層
[00:01:09.000 --> 00:01:11.000]  長老一層的人
[00:01:11.000 --> 00:01:14.000]  所以我們真的要有參透人心
[00:01:14.000 --> 00:01:16.000]  細思智慧
[00:01:16.000 --> 00:01:19.000]  有一個這樣的事
[00:01:19.000 --> 00:01:21.000]  今日的崇拜
[00:01:21.000 --> 00:01:22.000]  現在剩下時間有限
[00:01:22.000 --> 00:01:24.000]  其實我那邊講章都幾長
[00:01:24.000 --> 00:01:26.000]  現在要跳了
[00:01:26.000 --> 00:01:28.000]  我們可以看兩樣
[00:01:28.000 --> 00:01:30.000]  或者三樣
[00:01:30.000 --> 00:01:31.000]  以及四樣
[00:01:31.000 --> 00:01:32.000]  看時間
[00:01:32.000 --> 00:01:33.000]  一會兒我講成怎樣
[00:01:33.000 --> 00:01:35.000]  我們會用全圖書
[00:01:35.000 --> 00:01:37.000]  三章一到十五節
[00:01:37.000 --> 00:01:39.000]  作為今日的講題經文
[00:01:39.000 --> 00:01:40.000]  大家給前面來
[00:01:40.000 --> 00:01:43.000]  我們先簡單一個祈禱
[00:01:43.000 --> 00:01:48.000]  天父讓我們在你的面前安靜
[00:01:48.000 --> 00:01:50.000]  等候你自己的話語
[00:01:50.000 --> 00:01:56.000]  給我們得著你自己的亮光
[00:01:56.000 --> 00:01:59.000]  幫助我們在你的面前
[00:01:59.000 --> 00:02:04.000]  有一個倚靠和信服的心
[00:02:04.000 --> 00:02:07.000]  帶領我們以下一些
[00:02:07.000 --> 00:02:10.000]  查考你華語聽到的時間
[00:02:10.000 --> 00:02:11.000]  奉主耶穌基督的名禱
[00:02:11.000 --> 00:02:12.000]  阿們
[00:02:12.000 --> 00:02:19.000]  全圖書在一卷格言集
[00:02:19.000 --> 00:02:21.000]  或者言語錄
[00:02:21.000 --> 00:02:26.000]  和《熟智慧文學》的針言很相似
[00:02:26.000 --> 00:02:30.000]  裏面除了講到一些作者的自述
[00:02:30.000 --> 00:02:32.000]  和反省人生之外
[00:02:32.000 --> 00:02:35.000]  其實裏面有很多格言
