
[00:00:00.000 --> 00:00:06.500]  Ok, this is the third part of my series for our 10th anniversary.
[00:00:06.500 --> 00:00:09.000]  這次是我們第三個系列。
[00:00:09.000 --> 00:00:13.500]  I call it Stone. 我們叫它石板。
[00:00:13.500 --> 00:00:20.500]  We are going to talk about the Old Testament Law. 我們在講舊約的一些規章制度。
[00:00:20.500 --> 00:00:27.000]  Now, whether you have a printed Bible or you have a digital Bible, you understand the Bible is a very very long book, right?
[00:00:27.000 --> 00:00:31.500]  你是有電子版還是有書,你都知道聖經是一個非常長的書。
[00:00:31.500 --> 00:00:40.500]  And a huge part of the book of this Bible is the Law in the Old Testament. 那在舊約裏面很大的一個部分就是講我們的一個約束。
[00:00:40.500 --> 00:00:45.500]  How many of you have heard about Ten Commandments? 有多少人聽過十件?
[00:00:45.500 --> 00:00:50.000]  Yeah, the Ten Commandments in the Bible in the Old Testament, you heard about it? 在舊約的十件。
[00:00:50.000 --> 00:00:53.000]  Yeah, those are Law. 那些都是律法。
[00:00:53.000 --> 00:01:02.000]  But as we modern people, we heard about the word Law, we have a negative feeling. 我們當聽到律法的時候,我們常常都覺得被冒犯了,都不高興了。
[00:01:02.000 --> 00:01:06.000]  Do you like Law? 你們喜歡律法嗎?
[00:01:06.000 --> 00:01:08.000]  Probably not, right? 可能不是吧?
[00:01:08.000 --> 00:01:10.000]  Sometimes, right? Sometimes. 可能不是吧?
[00:01:10.000 --> 00:01:19.000]  I remember a while back I was, you know, finding parking in Chicago is quite a challenge, right? 在舊約找一個爬車的地方很難的。
[00:01:19.000 --> 00:01:30.000]  A while back I was driving in Chicago, in Hyde Park, to be exact. 有一次呢,我在芝加哥Hyde Park的這個地區開車的話,我需要路邊找一個爬車的地方。
[00:01:30.000 --> 00:01:38.000]  So as you do that, in street parking in Chicago, you pay attention to the signs, right? 那你在我們家街趴的時候,我們肯定要看路牌嘛。
[00:01:38.000 --> 00:01:47.000]  So I was on the street in Hyde Park, and one side, they have this orange paper sign, you know, tied on the trees, right? 那我在樹上看到橘色的一個紙牌。
[00:01:47.000 --> 00:01:52.000]  And then on this side, it says no parking on Monday. 那我在樹上看到橘色的一個牌子,掛在那裏。
[00:01:52.000 --> 00:01:56.000]  They are doing street cleaning. 要一邊寫着禮拜一不準停車。
[00:01:56.000 --> 00:02:06.000]  And then on the other side, you know, they also hang some signs, right? And there is no parking, the sign says no parking on Tuesday. 嗯,他們要洗街。
[00:02:06.000 --> 00:02:12.000]  And that day was Monday. 那天是禮拜一。
[00:02:12.000 --> 00:02:22.000]  And then I thought, very simple, okay, I find an empty spot, and that day was Monday, yes. 然後我就想,非常簡單,我找到一個空的地方,那天是星期一。
[00:02:22.000 --> 00:02:30.000]  I find a parking space on one side of the street, so I park on the Tuesday side, and I'm safe. 我找到一條街道上的停車位,所以我停在週一那邊,我安全了。
[00:02:30.000 --> 00:02:35.000]  So I parked the car and I left, and I came back a few hours later. 那我先講很簡單嘛,今天是禮拜一,那我應該趴在禮拜二那邊。
[00:02:35.000 --> 00:02:39.000]  我終於千辛萬苦找到個位子在禮拜二那邊,應該沒有問題。
[00:02:39.000 --> 00:02:51.000]  So I parked the car and I left, and I came back a few hours later, and there was an orange citation, one orange envelope on the windshield. 那幾個小時以後呢,我發現一個橘色的信封在我的車窗上面。
[00:02:51.000 --> 00:03:02.000]  And then what happened was that when I was looking for a parking space, and I checked the signs, and I got confused. 那結果是我自己看多了兩邊的路牌以後,我自己覺得路牌。
[00:03:02.000 --> 00:03:12.000]  So it was Monday, I should park on the which side? 禮拜一的話,我應該趴在哪一邊?
[00:03:12.000 --> 00:03:18.000]  Not parking on Tuesday side, right? 應該是趴在禮拜二不準趴車那邊。
[00:03:18.000 --> 00:03:21.000]  That's what I thought I did. 那應該是這樣子想的,對吧?
[00:03:21.000 --> 00:03:31.000]  But I was wrong, I did not pay attention that I was actually parking on the no parking on Monday side. 但是我趴在了錯誤的那一邊,我趴在了禮拜一不準趴車那邊。
[00:03:31.000 --> 00:03:43.000]  So I got that orange envelope, and my first reaction was that this is so unfair. 我一拿到橘色的信封,我就覺得這太不公平了。
[00:03:43.000 --> 00:03:49.000]  And then you feel like the law is out to get me, you know? 這個法律是要用來整我的嗎?
[00:03:49.000 --> 00:03:52.000]  Have you ever got something like that before? 你有沒有這樣的感覺?
[00:03:52.000 --> 00:03:53.000]  Anyone? 任何人?
[00:03:53.000 --> 00:03:55.000]  拿到了一個信封以後,太不公平了。
[00:03:55.000 --> 00:03:59.000]  The city of Chicago is evil. 芝加哥政府太糟糕了。
[00:03:59.000 --> 00:04:03.000]  Or maybe I was confused, you know? 也許是我自己迷糊了。
[00:04:03.000 --> 00:04:11.000]  But that's our modern conception or modern feeling about law. 這是我們大多數人對法律的感覺。
[00:04:11.000 --> 00:04:22.000]  Now when we go to the Old Testament, we see commandments and rules, we sometimes read them the same way. 當我們看到舊約的時候,我們看到這樣的一些律法,我們是有相似的感覺。
[00:04:22.000 --> 00:04:29.000]  So you feel like that, right? You open the Bible, you look at the laws, and there are some details, a lot of commandments, ten commandments, and you feel like God is, you know, like a traffic police, you know, okay? 這樣的感覺,對吧?你打開了詩書,看了法律,看了一些細節,有很多的命令,十個命令。
[00:04:29.000 --> 00:04:33.000]  You feel like God is, you know, like a traffic police, you know, okay? 這樣的感覺,對吧?你感覺像是一名交通警察,你知道嗎?
[00:04:33.000 --> 00:04:35.000]  Always out to get you, you know? 總是要用法律來整你,你知道嗎?
[00:04:35.000 --> 00:04:41.000]  And then you feel like that, right? 當我們翻開舊約的時候,有些感覺,有些時候會想,神是不是就像那個交通督導員,
[00:04:41.000 --> 00:04:52.000]  就是要抓我們的錯誤,你們就被罰款了。 And then you feel like that, right? 當我們翻開舊約的時候,有些感覺,有些時候會想,神是不是就像那個交通督導員,就是要抓我們的錯誤,你們就被罰款了。
[00:04:52.000 --> 00:05:01.000]  But I want to suggest to you, maybe we have misread the sign. 但我想在這裏要大家想一想,是不是我們一直看錯了路牌呢?
[00:05:01.000 --> 00:05:11.000]  So I want to show you from the Bible, from the Old Testament itself, the law was never designed to catch us, but it's to show us a better way to live. 所以我想在這裏要大家想一想,是不是我們一直看錯了路牌呢?
[00:05:11.000 --> 00:05:17.000]  這也想告訴你的是,律法從來不需要抓我們的把柄,而是要指引我們的道路。
[00:05:17.000 --> 00:05:27.000]  See, from this PowerPoint slide, you can see the common misreading or misunderstanding is that the Old Testament, you know, is full of law, rules and judgment. 從這個 PowerPoint 圖上可以看到,律法從來不需要抓我們的把柄,而是要指引我們的道路。
[00:05:27.000 --> 00:05:35.000]  那我們常見有幾個誤解,就像我們 PowerPoint 下面所講的,就是舊約常常讓人覺得是關於律法、規條和審判的。
[00:05:35.000 --> 00:05:47.000]  And then we flip to the pages on the New Testament, and we feel like, oh, it's all about grace and all about freedom and love. 然後我們翻到新約的頁面,我們覺得,哦,這全都是關於恩典、愛和自由。
[00:05:47.000 --> 00:05:49.000]  But, you know, this is a misreading of the whole Bible. 但是,你們知道,這是整個讀書的錯誤。
[00:05:49.000 --> 00:05:51.000]  這絕對是一種誤解。
[00:05:51.000 --> 00:06:02.000]  So, I want to begin with the first point is that the first thing you need to understand about law is that it is of grace. 那,律法其實是關於恩典的律法。
[00:06:02.000 --> 00:06:20.000]  Now, the truth is that, you know, the law was never the opposite of grace, the law was actually grace. 律法從來不是恩典的對立面,律法本身就是恩典。
[00:06:20.000 --> 00:06:33.000]  Now, as some of you know, I'm leaving tonight, I'm flying to Turkey, and I'm leading a group to Turkey in the next two weeks. 現在,有些網友知道,我今天晚上會帶領一個團隊前往土耳其。
[00:06:33.000 --> 00:06:48.000]  Now, you probably have some, you know, a concept that when I mention Turkey, what kind of Bible stories you can think of? 那可能如果你熟悉聖經的話,將我講到土耳其,大家會想到聖經的哪一個部分?
[00:06:48.000 --> 00:06:59.000]  Probably all in the New Testament, right? Paul's missionary journeys, and the seven churches of the book of Revelation. 可能都是關於新約的保羅的宣教旅程,啓示錄的七個教會等等。
[00:06:59.000 --> 00:07:08.000]  But, you know, Turkey was actually the heartland of the Old Testament. 但是,土耳其也是舊約的核心地帶。
[00:07:08.000 --> 00:07:24.000]  Because in the Old Testament time, the same place, Turkey was the homeland for ancient superpower called Hittite Kingdom. 因爲在舊約時期,土耳其是古代世界最強大的帝國之一的故鄉,赫人帝國。
[00:07:24.000 --> 00:07:49.000]  So, what the people have found in the capital of the ancient Hittite Kingdom was what we call a suzerain treaty. 當科普學家挖掘到這個帝國的遺址的時候,發現很多的泥板,其中的一個我們叫做宗教條約。
[00:07:49.000 --> 00:08:08.000]  And then, these kind of treaties are actually treaty between a great nation or great king like Hittite King, the great king, between the great king and the small kingdom. 然後,這種條約是大國與附屬小國之間所立的條約。
