
[00:00:00.000 --> 00:00:03.840]  好 今次我們繼續說這個罌
[00:00:03.840 --> 00:00:05.760]  如果你是新來的朋友 還沒有的話
[00:00:05.760 --> 00:00:07.760]  待會出去的時候 我們送一個給你 好嗎
[00:00:07.760 --> 00:00:10.920]  一個玻璃罌 裡面有不同的物件
[00:00:10.920 --> 00:00:13.000]  就是我每一次說到新的一年
[00:00:13.000 --> 00:00:15.180]  我們十週年這個系列的時候
[00:00:15.180 --> 00:00:18.100]  我們就會從聖經由頭到尾
[00:00:18.100 --> 00:00:20.300]  我們看看這位的上帝是一個怎樣的上帝
[00:00:20.300 --> 00:00:21.600]  你記得我第一次說的時候
[00:00:21.600 --> 00:00:22.920]  今次是第三次
[00:00:22.920 --> 00:00:25.880]  第一次說的時候 我說上帝是一個怎樣的上帝
[00:00:25.880 --> 00:00:27.840]  God on a mission
[00:00:27.840 --> 00:00:29.500]  上帝是由頭到尾
[00:00:29.500 --> 00:00:30.880]  他不單止創造了這個世界
[00:00:30.880 --> 00:00:33.080]  知道人類是叛逆他也好
[00:00:33.080 --> 00:00:34.880]  但是他沒有放棄過這個世界
[00:00:34.880 --> 00:00:38.080]  他繼續on a mission 拯救這個世界
[00:00:38.080 --> 00:00:39.880]  這個第一次說的時候就是說
[00:00:39.880 --> 00:00:43.080]  這個世界這麼砸 這麼不妙 這麼破碎
[00:00:43.080 --> 00:00:44.380]  上帝做了什麼
[00:00:44.380 --> 00:00:47.500]  沒有放棄 他就叫了Abraham出來
[00:00:47.500 --> 00:00:49.000]  叫了阿伯拉罕出來
[00:00:49.000 --> 00:00:51.880]  藉著阿伯拉罕 以撒瓦國
[00:00:51.880 --> 00:00:53.920]  成為一個家 成為一個國
[00:00:53.920 --> 00:00:55.300]  成為一個子民
[00:00:55.300 --> 00:00:58.960]  這個上帝的子民就是在上帝的計劃裡面
[00:00:58.960 --> 00:01:01.000]  去做上帝的工具
[00:01:01.000 --> 00:01:04.200]  以致上帝的祝福能夠流向萬國
[00:01:04.200 --> 00:01:05.500]  這是第一次
[00:01:05.500 --> 00:01:10.000]  上一次我們說到族長的故事
[00:01:10.000 --> 00:01:14.340]  就是說這些族長 阿伯拉罕 以撒瓦國
[00:01:14.340 --> 00:01:16.500]  他們不是什麼英雄人物
[00:01:16.500 --> 00:01:18.200]  我們不需要將他們美化
[00:01:18.200 --> 00:01:22.200]  他們都是在掙扎又跌又碰的裡面 跟隨上帝
[00:01:22.200 --> 00:01:26.700]  去承接這個呼召 拿起這個使命
[00:01:26.700 --> 00:01:28.700]  去使萬國能夠得福
[00:01:28.700 --> 00:01:32.000]  這是整本《創世紀》的結束
[00:01:32.000 --> 00:01:34.000]  《創世紀》就是告訴我們
[00:01:34.000 --> 00:01:37.000]  上帝藉著這些弱小的人
[00:01:37.000 --> 00:01:39.000]  他要去成就他自己的心意
[00:01:39.000 --> 00:01:41.000]  所以我們每一個上帝的子民
[00:01:41.000 --> 00:01:44.000]  我們有一個identity 一個名分
[00:01:44.000 --> 00:01:46.000]  這個名分就是上帝賜給我們
[00:01:46.000 --> 00:01:48.000]  作為他自己的people
[00:01:48.000 --> 00:01:50.000]  我們都是on the mission
[00:01:50.000 --> 00:01:52.000]  因為上帝就是on the mission
[00:01:52.000 --> 00:01:55.000]  這次我們繼續trace整個聖經的大故事
[00:01:55.000 --> 00:01:58.000]  完了《創世紀》 再到出《埃及紀》
[00:01:58.000 --> 00:02:01.000]  你記得《創世紀》最後的時候發生什麼事嗎
[00:02:01.000 --> 00:02:03.000]  瓦國他們一家去了哪裡
[00:02:03.000 --> 00:02:05.000]  去了埃及
[00:02:05.000 --> 00:02:09.000]  然後在埃及他們一代一代受苦
[00:02:09.000 --> 00:02:11.000]  然後上帝聽見他們的聲音
[00:02:11.000 --> 00:02:14.000]  叫了摩西出來
[00:02:14.000 --> 00:02:16.000]  然後拯救他們
[00:02:16.000 --> 00:02:17.000]  用恩典拯救了他們
[00:02:17.000 --> 00:02:19.000]  他們就能夠出埃及
[00:02:19.000 --> 00:02:21.000]  經過曠野去到西大山
[00:02:21.000 --> 00:02:25.000]  他們真正成為了上帝的子民
[00:02:25.000 --> 00:02:29.000]  這個就是出《埃及紀》20章所記載的
[00:02:29.000 --> 00:02:31.000]  說到石板
[00:02:31.000 --> 00:02:33.000]  我的主題是石板
[00:02:33.000 --> 00:02:36.000]  你記得摩西拿著兩塊石板
[00:02:36.000 --> 00:02:38.000]  從山那裡下來的
[00:02:38.000 --> 00:02:39.000]  記得嗎
[00:02:39.000 --> 00:02:41.000]  那個石板大概是雕著什麼
[00:02:41.000 --> 00:02:43.000]  雕著十戒
[00:02:43.000 --> 00:02:45.000]  就是上帝和他的子民
[00:02:45.000 --> 00:02:48.000]  正式來到納約的紀錄
[00:02:48.000 --> 00:02:49.000]  所以有兩塊
[00:02:49.000 --> 00:02:50.000]  一塊是上帝的
[00:02:50.000 --> 00:02:52.000]  一塊是上帝的子民
[00:02:52.000 --> 00:02:54.000]  大家互相去到見證
[00:02:54.000 --> 00:02:56.000]  所以說到石板的時候
[00:02:56.000 --> 00:02:58.000]  今天我們就拿一根小石子走
[00:02:58.000 --> 00:03:00.000]  上一次我們有沙
[00:03:00.000 --> 00:03:03.000]  提到亞伯拉罕的沙土
[00:03:03.000 --> 00:03:07.000]  他的後代多如海沙的應許
[00:03:07.000 --> 00:03:10.000]  然後上一次我們說到族長的故事
[00:03:10.000 --> 00:03:12.000]  我們拿起這個item
[00:03:12.000 --> 00:03:14.000]  就是那個puzzle
[00:03:14.000 --> 00:03:19.000]  我們每個都是有破碎的碎片
[00:03:19.000 --> 00:03:21.000]  是上帝幫我們砌在一起
[00:03:21.000 --> 00:03:23.000]  以致能夠成為一個美麗的圖畫
[00:03:23.000 --> 00:03:24.000]  這次我們拿什麼呢
[00:03:24.000 --> 00:03:25.000]  就是小石子
[00:03:25.000 --> 00:03:26.000]  為什麼想起小石子
[00:03:26.000 --> 00:03:27.000]  因為說起律法
[00:03:27.000 --> 00:03:31.000]  上帝的子民能夠成為自己的people的時候
[00:03:31.000 --> 00:03:33.000]  上帝就賜給他們石板
[00:03:33.000 --> 00:03:35.000]  這個石板就記載著
[00:03:35.000 --> 00:03:38.000]  上帝去引導他的子民給他們的law
[00:03:38.000 --> 00:03:40.000]  給他們的律法
[00:03:40.000 --> 00:03:43.000]  現代人我們需要明白什麼叫做律法
[00:03:43.000 --> 00:03:45.000]  舊約裡面的律法
[00:03:45.000 --> 00:03:47.000]  law of the old testament
[00:03:47.000 --> 00:03:49.000]  因為我們想起law的時候
[00:03:49.000 --> 00:03:51.000]  法律我們就想起一些不好的東西
[00:03:51.000 --> 00:03:53.000]  對不對
[00:03:53.000 --> 00:03:59.000]  我們通常經歷所謂law、法律
[00:03:59.000 --> 00:04:02.000]  我們就覺得心裡面不是很爽
[00:04:02.000 --> 00:04:06.000]  兩個星期前我就去某個地方
[00:04:06.000 --> 00:04:08.000]  我就在街上找個位置
[00:04:08.000 --> 00:04:10.000]  其實我在high park
[00:04:10.000 --> 00:04:13.000]  我就在那裡找了一條街有個位置
[00:04:13.000 --> 00:04:14.000]  繞來繞去
[00:04:14.000 --> 00:04:15.000]  終於找到一個位置
[00:04:15.000 --> 00:04:18.000]  但是街的兩旁就有一些橙色的牌
[00:04:18.000 --> 00:04:20.000]  掛在樹上
[00:04:20.000 --> 00:04:22.000]  大家在芝加哥本地就知道
[00:04:22.000 --> 00:04:24.000]  city是很陰濕的
[00:04:24.000 --> 00:04:26.000]  city很陰濕
[00:04:26.000 --> 00:04:28.000]  我已經繞了幾次
[00:04:28.000 --> 00:04:29.000]  我已經繞了幾次
[00:04:29.000 --> 00:04:31.000]  這邊就no parking on monday
[00:04:31.000 --> 00:04:34.000]  對面就很陰濕
[00:04:34.000 --> 00:04:36.000]  no parking on tuesday
[00:04:36.000 --> 00:04:37.000]  沒錯
[00:04:37.000 --> 00:04:38.000]  no parking on monday
[00:04:38.000 --> 00:04:39.000]  no parking on tuesday
[00:04:39.000 --> 00:04:43.000]  我找位置那天就是monday
[00:04:43.000 --> 00:04:45.000]  我找到一個空位
[00:04:45.000 --> 00:04:46.000]  我已經看清楚了
[00:04:46.000 --> 00:04:47.000]  no parking on monday
[00:04:47.000 --> 00:04:48.000]  no parking on tuesday
[00:04:48.000 --> 00:04:50.000]  繞來繞去有一個U turn
[00:04:50.000 --> 00:04:51.000]  然後就停在那個位置
[00:04:51.000 --> 00:04:52.000]  我說這次沒有死
[00:04:52.000 --> 00:04:54.000]  這個免費的位置
[00:04:54.000 --> 00:04:56.000]  no parking on monday
[00:04:56.000 --> 00:04:58.000]  我停在那個位置應該是哪裡
[00:04:58.000 --> 00:05:00.000]  exactly
[00:05:00.000 --> 00:05:01.000]  exactly
[00:05:01.000 --> 00:05:02.000]  我停了很安心
[00:05:02.000 --> 00:05:04.000]  我說這次真的沒有死
[00:05:04.000 --> 00:05:05.000]  幾個小時之後
[00:05:05.000 --> 00:05:08.000]  我回去就拿了一張橙色的東西
[00:05:08.000 --> 00:05:10.000]  放在玻璃窗那裡
[00:05:10.000 --> 00:05:12.000]  豈有此理 原來我出事了
[00:05:12.000 --> 00:05:13.000]  原來我出事了
[00:05:13.000 --> 00:05:15.000]  因為我繞來繞去的時候我亂了
[00:05:15.000 --> 00:05:21.000]  我就停在了no parking on monday那邊
[00:05:21.000 --> 00:05:22.000]  no parking on monday那邊
[00:05:22.000 --> 00:05:24.000]  我就以為我停在了什麼
[00:05:24.000 --> 00:05:26.000]  no parking on tuesday那邊
[00:05:26.000 --> 00:05:28.000]  因為我找到一個位置
[00:05:28.000 --> 00:05:32.000]  明明是no parking on tuesday那邊
[00:05:32.000 --> 00:05:33.000]  為什麼我會停在了
[00:05:33.000 --> 00:05:36.000]  no parking on monday那邊
[00:05:36.000 --> 00:05:38.000]  所以我拿了60元
[00:05:38.000 --> 00:05:42.000]  60元
[00:05:42.000 --> 00:05:45.000]  其實這不是City的陰濕
[00:05:45.000 --> 00:05:47.000]  是我自己大意
[00:05:47.000 --> 00:05:50.000]  我相信大家都出事了
