
[00:00:00.000 --> 00:00:02.000]  我們想起2020年的時候
[00:00:02.000 --> 00:00:06.500]  我們相信不會單單想起天災人禍接二連三的發生
[00:00:06.500 --> 00:00:09.000]  我們也會想起世界大亂
[00:00:09.000 --> 00:00:11.300]  有很多未知之數
[00:00:11.300 --> 00:00:13.500]  不單止是有疫情
[00:00:13.500 --> 00:00:17.800]  我們也會面對政局、社會很多不明朗的時候
[00:00:17.800 --> 00:00:22.100]  聖經其實有很多這樣的記載
[00:00:22.100 --> 00:00:24.200]  講到政局很混亂
[00:00:24.200 --> 00:00:25.500]  很不明朗
[00:00:25.500 --> 00:00:28.400]  令我想起以利亞的時代
[00:00:28.800 --> 00:00:30.700]  當時的背景
[00:00:30.700 --> 00:00:33.200]  是阿哈作以色列王
[00:00:33.200 --> 00:00:35.300]  聶旺基上第十六章
[00:00:35.300 --> 00:00:38.400]  猶大王阿薩三十八年
[00:00:38.400 --> 00:00:41.700]  暗利的兒子阿哈登基作以色列王
[00:00:41.700 --> 00:00:46.100]  暗利的兒子阿哈在薩馬利亞京城作以色列王二十二年
[00:00:46.100 --> 00:00:49.400]  暗利的兒子阿哈行義和還眼中捍衛惡的事
[00:00:49.400 --> 00:00:51.500]  比他之前的列王更甚
[00:00:51.500 --> 00:00:54.800]  犯了尼伯的兒子耶路播恩所犯的罪
[00:00:54.800 --> 00:00:55.900]  他還義為兄
[00:00:56.100 --> 00:01:00.800]  又娶了西頓王潔巴力的女兒耶洗別為妻
[00:01:00.800 --> 00:01:02.400]  去到侍奉敬拜巴力
[00:01:02.400 --> 00:01:06.300]  在薩馬利亞京城建造巴力的廟
[00:01:06.300 --> 00:01:08.100]  在廟裡面為巴力祝壇
[00:01:08.100 --> 00:01:10.400]  阿哈也做了阿舍拉
[00:01:10.400 --> 00:01:12.400]  是一種生育的女神
[00:01:12.400 --> 00:01:16.700]  他所行的是惹惹禍禍以色列神的怒氣
[00:01:16.700 --> 00:01:20.600]  比他之前的以色列諸王更甚
[00:01:20.600 --> 00:01:24.500]  這是聖經對阿哈王正職的評估
[00:01:25.400 --> 00:01:29.800]  阿哈王朝大概是公元前八百七十至八百五十年之間
[00:01:29.800 --> 00:01:32.800]  當時已經分了南北國
[00:01:32.800 --> 00:01:35.000]  北國就是以色列
[00:01:35.000 --> 00:01:36.400]  京城在薩馬利亞
[00:01:36.400 --> 00:01:38.700]  或者另一個王宮耶斯利
[00:01:38.700 --> 00:01:42.400]  南邊就是猶大國
[00:01:42.400 --> 00:01:44.600]  京城在耶路撒冷
[00:01:44.600 --> 00:01:47.000]  阿哈王作以色列王的時候
[00:01:47.000 --> 00:01:50.000]  他藉著很多的征戰和外交
[00:01:50.000 --> 00:01:53.200]  將他的勢力擴張到很大
[00:01:53.600 --> 00:01:58.800]  他的影響力是由地中海伸展到約旦河東
[00:01:58.800 --> 00:02:01.000]  由北邊的旦山區
[00:02:01.000 --> 00:02:04.600]  一直伸展到南邊的摩亞地
[00:02:04.600 --> 00:02:08.200]  是一個歷史最輝煌的時候
[00:02:08.200 --> 00:02:13.000]  幾乎可以跟所羅門聯合王國的時候相比
[00:02:13.000 --> 00:02:16.100]  因為他擴張了版圖
[00:02:16.100 --> 00:02:19.700]  他是雄霸著沿海的貿易路線
[00:02:19.900 --> 00:02:24.100]  以及約旦河東的國際貿易路線
[00:02:24.100 --> 00:02:27.700]  如果從一個經濟發展的角度來看
[00:02:27.700 --> 00:02:31.100]  你就知道為什麼阿哈王會娶西倫的公主
[00:02:31.100 --> 00:02:32.500]  夜使別為妻
[00:02:32.500 --> 00:02:34.700]  因為首先從地理來講
