
[00:00:00.000 --> 00:00:02.000]  我每幾個星期都會看不同的詩篇
[00:00:02.000 --> 00:00:04.000]  讓詩篇來對我們說話
[00:00:04.000 --> 00:00:08.000]  我記得好幾年前有一齣電影叫做《Inside Out》
[00:00:08.000 --> 00:00:09.000]  大家有沒有看過?
[00:00:09.000 --> 00:00:11.000]  有可能是講情緒的
[00:00:11.000 --> 00:00:13.000]  即是喜怒哀樂
[00:00:13.000 --> 00:00:17.000]  不同的角色代表不同的情緒的起點
[00:00:17.000 --> 00:00:22.000]  我亦都記得不久之前有一位英文的講員
[00:00:22.000 --> 00:00:26.000]  跟我們講這個叫做Emotional Wheel
[00:00:26.000 --> 00:00:28.000]  即是情緒的圓圈
[00:00:28.000 --> 00:00:30.000]  情緒的車輪
[00:00:30.000 --> 00:00:33.000]  我就找不到一個好的中文翻譯
[00:00:33.000 --> 00:00:35.000]  找不到一個好的中文翻譯
[00:00:35.000 --> 00:00:36.000]  我只找到英文
[00:00:36.000 --> 00:00:39.000]  用不同顏色代表不同的情緒
[00:00:39.000 --> 00:00:42.000]  我不知道你過去一個星期會放自己在哪裏
[00:00:42.000 --> 00:00:44.000]  甚麼顏色?
[00:00:44.000 --> 00:00:46.000]  給大家一點時間看看
[00:00:46.000 --> 00:00:48.000]  你是哪一種顏色?
[00:00:48.000 --> 00:00:53.000]  有紅色、有藍色、有紫色、有黃色
[00:00:53.000 --> 00:00:57.000]  我不知道你是哪一種顏色
[00:00:57.000 --> 00:01:01.000]  或者在圓圈裏面你會選擇哪一個?
[00:01:01.000 --> 00:01:04.000]  選定好嗎?
[00:01:04.000 --> 00:01:07.000]  OK?選定
[00:01:07.000 --> 00:01:10.000]  那你問一下為甚麼?
[00:01:10.000 --> 00:01:14.000]  為甚麼你會感覺到自己做了甚麼?
[00:01:14.000 --> 00:01:16.000]  或者感覺到自己做了甚麼?
[00:01:16.000 --> 00:01:21.000]  為甚麼你現在的心理狀況、情緒狀況是這樣?
[00:01:21.000 --> 00:01:23.000]  是否因為小朋友激氣?
[00:01:23.000 --> 00:01:29.000]  或者公司、學校有很多濕濕的東西要處理
[00:01:29.000 --> 00:01:32.000]  所以令你很疲憊等等
[00:01:32.000 --> 00:01:34.000]  這個觀景幫助我們
[00:01:34.000 --> 00:01:37.000]  去看看我們現在的心境是怎樣
[00:01:37.000 --> 00:01:41.000]  往往很多時候上帝是藉著我們的情緒
[00:01:41.000 --> 00:01:43.000]  去跟我們說話
[00:01:43.000 --> 00:01:47.000]  我們的情緒其實就是一個鏡子
[00:01:47.000 --> 00:01:49.000]  是我們心靈的鏡子
[00:01:49.000 --> 00:01:50.000]  Mirror of our soul
[00:01:50.000 --> 00:01:52.000]  或者是一個Window of our soul
[00:01:52.000 --> 00:01:54.000]  就是一個窗戶
[00:01:54.000 --> 00:01:57.000]  讓我們能夠看到我們裏面是甚麼
[00:01:57.000 --> 00:02:01.000]  上帝很多時候是藉著這個窗戶
