
[00:00:00.000 --> 00:00:03.000]  我發現我預備的講章沒有什麼吸引力
[00:00:03.000 --> 00:00:06.000]  因為我沒有講吃東西
[00:00:06.000 --> 00:00:10.000]  我們去玩很多時候都不理會文化背景
[00:00:10.000 --> 00:00:11.000]  社會裡面的東西
[00:00:11.000 --> 00:00:12.000]  總之有東西吃就行了
[00:00:12.000 --> 00:00:14.000]  我們就是這樣的人
[00:00:14.000 --> 00:00:16.000]  你知道在以色列很有名的
[00:00:16.000 --> 00:00:18.000]  就是那些從中國大陸來的旅客
[00:00:18.000 --> 00:00:20.000]  那些導遊最大的抱怨是什麼
[00:00:20.000 --> 00:00:25.000]  就是那些人去到不知道為什麼中國大陸
[00:00:25.000 --> 00:00:27.000]  有時候可能都不是教會的人
[00:00:27.000 --> 00:00:28.000]  是非教會的人
[00:00:28.000 --> 00:00:30.000]  他就供了去以色列
[00:00:30.000 --> 00:00:32.000]  然後就在那裡玩兩個禮拜
[00:00:32.000 --> 00:00:36.000]  當地的導遊對中國大陸來的人
[00:00:36.000 --> 00:00:38.000]  最大的抱怨是什麼
[00:00:38.000 --> 00:00:41.000]  就是上車就睡覺
[00:00:41.000 --> 00:00:43.000]  下車就拍照
[00:00:43.000 --> 00:00:45.000]  拍完照就上車又睡覺
[00:00:45.000 --> 00:00:48.000]  然後導遊說什麼他就完全不理會
[00:00:48.000 --> 00:00:50.000]  然後回去拍了很多照片
[00:00:50.000 --> 00:00:52.000]  一百多張二百多張幾百張
[00:00:52.000 --> 00:00:54.000]  然後他就說拍了什麼
[00:00:54.000 --> 00:00:57.000]  他所關心的就不知道是什麼
[00:00:57.000 --> 00:01:00.000]  然後就在哪裡有好東西吃
[00:01:00.000 --> 00:01:02.000]  他才覺得是心滿意足
[00:01:02.000 --> 00:01:06.000]  我覺得這個文化很奇怪
[00:01:06.000 --> 00:01:10.000]  我相信聖地不可以這樣玩
[00:01:10.000 --> 00:01:12.000]  你可能去夏威夷可以這樣玩
[00:01:12.000 --> 00:01:15.000]  夏威夷也有很多歷史
[00:01:15.000 --> 00:01:16.000]  你應該去看一下
[00:01:16.000 --> 00:01:20.000]  你去其他地方可以這樣
[00:01:20.000 --> 00:01:22.000]  但是在那裡是不可以的
[00:01:22.000 --> 00:01:27.000]  因為我相信那地方有很多豐富的資訊
[00:01:27.000 --> 00:01:29.000]  豐富的資料
[00:01:29.000 --> 00:01:32.000]  我相信你去兩個禮拜
[00:01:32.000 --> 00:01:38.000]  等於你讀幾堂神學的課程
[00:01:38.000 --> 00:01:42.000]  我意思是真正的神學院的課程
[00:01:42.000 --> 00:01:44.000]  當然你一定要跟一個好導遊
[00:01:44.000 --> 00:01:47.000]  這個世界有很多好導遊
[00:01:47.000 --> 00:01:49.000]  我只是其中一個
[00:01:49.000 --> 00:01:51.000]  說起這件事
[00:01:51.000 --> 00:01:53.000]  我都有點後悔
[00:01:53.000 --> 00:02:00.000]  有一天我們去了納沙拉
[00:02:00.000 --> 00:02:02.000]  納沙拉有很多山路
[00:02:02.000 --> 00:02:04.000]  路很窄
[00:02:04.000 --> 00:02:05.000]  我們兩輛車
[00:02:05.000 --> 00:02:07.000]  我一輛然後Ronald一輛
[00:02:07.000 --> 00:02:11.000]  我走錯路了
[00:02:11.000 --> 00:02:12.000]  我走錯路了
[00:02:12.000 --> 00:02:14.000]  我走進去一個很窄的巷
[00:02:14.000 --> 00:02:16.000]  剛剛一輛車是下不了車的
[00:02:16.000 --> 00:02:17.000]  是這麼窄的
[00:02:17.000 --> 00:02:19.000]  我以為那條巷是可以出去的
[00:02:19.000 --> 00:02:21.000]  誰知道是出不了去的
[00:02:21.000 --> 00:02:23.000]  在一個45度的斜坡
[00:02:23.000 --> 00:02:25.000]  我們要掉頭
[00:02:25.000 --> 00:02:27.000]  那次真的很驚險
[00:02:27.000 --> 00:02:31.000]  車輪都出煙了等等
[00:02:31.000 --> 00:02:33.000]  真的很厲害
[00:02:33.000 --> 00:02:35.000]  我非常欣賞Ronald的車
[00:02:35.000 --> 00:02:37.000]  是可以OK
[00:02:37.000 --> 00:02:39.000]  我們成功脫險
[00:02:39.000 --> 00:02:42.000]  我最大的後悔不是走錯路
[00:02:42.000 --> 00:02:44.000]  我最大的後悔就是我們卡住的時候
[00:02:44.000 --> 00:02:45.000]  我們響了輪胎的時候
[00:02:45.000 --> 00:02:47.000]  我沒有拍攝那些東西
[00:02:47.000 --> 00:02:49.000]  我應該下車裝好鏡頭
[00:02:49.000 --> 00:02:53.000]  然後錄下最realistic的情況
[00:02:53.000 --> 00:02:56.000]  所以這個世界有很多好導遊
[00:02:56.000 --> 00:02:59.000]  有些人是不會走錯路的
[00:02:59.000 --> 00:03:03.000]  我們這次開始去拿一些題材
[00:03:03.000 --> 00:03:07.000]  在聖經裡面講到聖經的節日
[00:03:07.000 --> 00:03:08.000]  你可能留意過
[00:03:08.000 --> 00:03:10.000]  讀舊約新約的時候
[00:03:10.000 --> 00:03:12.000]  經常都會提到一些festival
[00:03:12.000 --> 00:03:13.000]  一些holiday
[00:03:13.000 --> 00:03:14.000]  一些節日
[00:03:14.000 --> 00:03:16.000]  聖經裡面其實有很多
[00:03:16.000 --> 00:03:17.000]  我們不講聖地了
