
[00:00:00.000 --> 00:00:03.840]  是由Mark Sir跟我們說到的
[00:00:03.840 --> 00:00:06.000]  早晨 兄弟姊妹
[00:00:06.000 --> 00:00:10.500]  今天我們想說一個很切身的話題
[00:00:10.500 --> 00:00:14.040]  我們一向都在說NEXT今年
[00:00:14.040 --> 00:00:15.720]  但是我覺得有一些話題
[00:00:15.720 --> 00:00:19.500]  我們不妨在講台上大家思想一下
[00:00:19.500 --> 00:00:21.800]  特別是說到女性的侍奉
[00:00:21.800 --> 00:00:24.720]  在教會裏面女性的侍奉和角色是怎樣的
[00:00:24.720 --> 00:00:26.220]  還有她們的重要性在哪裏
[00:00:26.220 --> 00:00:28.460]  這個是很切身的問題
[00:00:28.460 --> 00:00:32.620]  因為最近我們的總會 美男浸水會
[00:00:32.620 --> 00:00:37.460]  在他們的大會裏面有一個議案通過了
[00:00:37.460 --> 00:00:41.300]  他們大比數通過這個議案
[00:00:41.300 --> 00:00:46.300]  就是讓女性在教會裏面的侍奉
[00:00:46.300 --> 00:00:50.340]  將她限制於非成人
[00:00:50.340 --> 00:00:51.800]  即是小孩子等等
[00:00:51.800 --> 00:00:55.760]  美男浸水會不是靚仔的意思
[00:00:55.760 --> 00:00:58.380]  美男浸水會是美國男方浸水會
[00:00:58.380 --> 00:01:03.120]  美國男方浸水會是美國裏面最大的一個中派
[00:01:03.120 --> 00:01:05.960]  我們教會是屬於美男浸水會的
[00:01:05.960 --> 00:01:08.000]  不是因為我們靚仔
[00:01:08.000 --> 00:01:10.160]  而是因為我們本身開堂的時候
[00:01:10.160 --> 00:01:13.760]  是美男浸水會的網絡去幫助我們的
[00:01:13.760 --> 00:01:15.300]  他們的大會正如我所說
[00:01:15.300 --> 00:01:17.800]  就是四分三去通過
[00:01:17.800 --> 00:01:22.340]  女性在教會裏面的侍奉是需要限制的
[00:01:22.340 --> 00:01:25.260]  即是說只是教導小孩子
[00:01:25.260 --> 00:01:29.340]  或者成人的教導和成人的講道
[00:01:29.340 --> 00:01:32.760]  女性是不可以這樣做的
[00:01:32.760 --> 00:01:34.340]  理據很簡單
[00:01:34.340 --> 00:01:38.880]  他們的理據就是聖經這樣說
[00:01:38.880 --> 00:01:40.840]  所以這是一個切身的問題
[00:01:40.840 --> 00:01:43.000]  無論你是今天第一次來教會
[00:01:43.000 --> 00:01:45.040]  或者你完全不認識聖經
[00:01:45.040 --> 00:01:46.920]  這也是一個很切身的問題
[00:01:46.920 --> 00:01:47.800]  為什麼呢
[00:01:47.800 --> 00:01:49.840]  因為怎樣去應用聖經
[00:01:49.840 --> 00:01:51.260]  怎樣去理解聖經
[00:01:51.260 --> 00:01:53.720]  很多時候都是我們今天的話題
[00:01:53.720 --> 00:01:56.220]  有些人會用聖經或者聖經的說話
[00:01:56.220 --> 00:01:59.080]  或者經文去做不同的事情
[00:01:59.080 --> 00:02:03.500]  可以去到起乾戈、打仗
[00:02:03.500 --> 00:02:06.380]  都可以用聖經來支持
[00:02:06.380 --> 00:02:11.340]  做很多事情都可以用聖經來做理據
[00:02:11.340 --> 00:02:14.880]  兩夫妻吵架都可以突然拿本聖經出來
[00:02:14.880 --> 00:02:17.300]  聖經叫你赦免我
[00:02:17.300 --> 00:02:18.800]  聖經叫你忍耐
