
[00:00:00.000 --> 00:00:02.240]  講到之後就有聖餐的時間
[00:00:02.240 --> 00:00:05.040]  以下時間交給Mark Sir去讀經
[00:00:05.040 --> 00:00:09.000]  大家好 節目早上好
[00:00:09.000 --> 00:00:10.600]  讓我們打開聖經
[00:00:10.600 --> 00:00:14.440]  Pastor Samuel和太太都在
[00:00:14.440 --> 00:00:15.640]  Nancy 歡迎你
[00:00:15.640 --> 00:00:19.320]  今天他們講到的經文就是史郎傳第26章
[00:00:19.320 --> 00:00:20.520]  15至20節
[00:00:20.520 --> 00:00:23.120]  如果你有聖經的話不妨翻開
[00:00:23.120 --> 00:00:24.120]  PowerPoint上面也有
[00:00:24.120 --> 00:00:26.480]  我先讀上帝的話語
[00:00:27.480 --> 00:00:29.960]  我說 主啊你是誰?主說:
[00:00:29.960 --> 00:00:32.320]  我就是你所逼迫的耶穌
[00:00:32.320 --> 00:00:33.760]  你起來站著
[00:00:33.760 --> 00:00:35.320]  我特意向你顯現
[00:00:35.320 --> 00:00:38.120]  要派你作執事、作見證
[00:00:38.120 --> 00:00:39.600]  將你所看見的事
[00:00:39.600 --> 00:00:43.080]  和我要指示你的事證明出來
[00:00:43.080 --> 00:00:47.520]  我也要救你脫離百姓和外邦人的手
[00:00:47.520 --> 00:00:49.400]  我差你到他們那裡去
[00:00:49.400 --> 00:00:51.600]  要叫他們的眼睛得開
[00:00:51.600 --> 00:00:54.800]  從黑暗中歸向光明
[00:00:54.800 --> 00:00:57.920]  從撒旦泉下歸向神
[00:00:57.920 --> 00:00:59.120]  有因信我
[00:00:59.120 --> 00:01:00.480]  得蒙謝罪
[00:01:00.480 --> 00:01:03.000]  和一切誠信的人同得基業
[00:01:03.000 --> 00:01:04.280]  阿基帕王啊
[00:01:04.280 --> 00:01:08.000]  我故此沒有違背那從天上來的意象
[00:01:08.000 --> 00:01:10.240]  先在大馬士革
[00:01:10.240 --> 00:01:13.200]  後在耶路撒冷和猶太傳遞
[00:01:13.200 --> 00:01:14.600]  以及外邦
[00:01:14.600 --> 00:01:17.720]  勸勉他們應當悔改歸向神
[00:01:17.720 --> 00:01:21.280]  行事與悔改的心相承
[00:01:21.280 --> 00:01:23.280]  我們請王傳德來歡迎他
[00:01:24.280 --> 00:01:28.280]  (掌聲)
[00:01:28.280 --> 00:01:48.280]  有太太好一點
[00:01:48.280 --> 00:01:50.880]  有些人獨居不好
[00:01:50.880 --> 00:01:53.480]  有些人一個出一趟都不好
[00:01:53.480 --> 00:01:57.480]  感謝神讓我今天可以在
[00:01:57.480 --> 00:02:00.680]  城會裡面來分享主人的訊息
[00:02:00.680 --> 00:02:04.080]  為這個聚會禱告了很久了
[00:02:04.080 --> 00:02:05.680]  上一次來的時候
[00:02:05.680 --> 00:02:09.160]  也是疫情還沒開始的時間
[00:02:09.160 --> 00:02:11.160]  轉眼就三年
[00:02:11.160 --> 00:02:14.160]  大家又成熟了
[00:02:14.160 --> 00:02:17.680]  大家有些面孔我都不認得了
[00:02:17.680 --> 00:02:22.880]  但是我很感覺到大家那種朝氣
[00:02:22.880 --> 00:02:24.680]  是不是
[00:02:24.680 --> 00:02:25.880]  年輕
[00:02:25.880 --> 00:02:28.880]  心境都年輕
[00:02:28.880 --> 00:02:32.880]  我都很年輕的其實
[00:02:32.880 --> 00:02:36.880]  我很想和大家分享今天的訊息
[00:02:36.880 --> 00:02:39.880]  就是非常任務
[00:02:39.880 --> 00:02:41.880]  什麼是非常任務呢
[00:02:41.880 --> 00:02:43.880]  不知道怎麼說
[00:02:44.080 --> 00:02:48.080]  我想起我從前有一個非常的任務
[00:02:48.080 --> 00:02:51.080]  我從前是做核數的
[00:02:51.080 --> 00:02:52.880]  進去核數師樓
[00:02:52.880 --> 00:02:54.880]  幾個月中間不是太忙
[00:02:54.880 --> 00:02:58.080]  有一天就收到一份特別的任務
[00:02:58.080 --> 00:03:00.880]  就有個上司召我進房
[00:03:00.880 --> 00:03:03.480]  交給我一個很厚的信封
[00:03:03.480 --> 00:03:06.080]  用一些很硬的雞皮紙
[00:03:06.080 --> 00:03:09.080]  寫了那個名字
[00:03:09.080 --> 00:03:10.080]  誰收
[00:03:10.080 --> 00:03:12.080]  用那些蠟印
[00:03:12.080 --> 00:03:14.080]  用那些wax的燒
