
[00:00:00.000 --> 00:00:04.240]  在這方面 行動上和祈禱上支持
[00:00:04.240 --> 00:00:07.600]  今天我們回到這個
[00:00:07.600 --> 00:00:09.160]  史唐人傳的系列
[00:00:09.160 --> 00:00:11.160]  我們講到跨越
[00:00:11.160 --> 00:00:13.160]  剛才我所講的
[00:00:13.160 --> 00:00:15.160]  我們需要跨越去認識其他人
[00:00:15.160 --> 00:00:20.160]  甚至是十一點半鐘的其他群體
[00:00:20.160 --> 00:00:23.160]  上個星期我不在大家中間
[00:00:23.160 --> 00:00:26.160]  我去了Whitten的華人宣導會
[00:00:26.160 --> 00:00:30.160]  他們的退休會去到港獨
[00:00:30.160 --> 00:00:32.160]  我自己
[00:00:32.160 --> 00:00:34.160]  大英姐妹都很受鼓勵
[00:00:34.160 --> 00:00:36.160]  我自己也很受鼓勵
[00:00:36.160 --> 00:00:38.160]  因為我見到有大英姐妹
[00:00:38.160 --> 00:00:40.160]  很熱心去傳福音
[00:00:40.160 --> 00:00:43.160]  很熱心很著緊教會的事工
[00:00:43.160 --> 00:00:45.160]  著緊他們教會的事工
[00:00:45.160 --> 00:00:46.160]  不著緊我們教會的事工
[00:00:46.160 --> 00:00:49.160]  但不要緊 每一個教會都是一樣的
[00:00:49.160 --> 00:00:52.160]  我為大英姐妹獻上感恩
[00:00:52.160 --> 00:00:55.160]  這是一件很好的事
[00:00:55.160 --> 00:00:58.160]  所以上個星期不在大家中間
[00:00:58.160 --> 00:01:01.160]  八月初我都會去San Diego
[00:01:01.160 --> 00:01:05.160]  另一個教會的退休會做講員
[00:01:05.160 --> 00:01:09.160]  我去San Diego不是去樂開
[00:01:09.160 --> 00:01:11.160]  我不是去談世界
[00:01:11.160 --> 00:01:13.160]  我在他們的退休會
[00:01:13.160 --> 00:01:17.160]  在他們營地講一個weekend
[00:01:17.160 --> 00:01:19.160]  願意主動去使用我們
[00:01:19.160 --> 00:01:21.160]  並且剛才Katrina所講的
[00:01:21.160 --> 00:01:23.160]  我們再次解見錯誤的網上課程
[00:01:23.160 --> 00:01:25.160]  我們即將開播
[00:01:25.160 --> 00:01:27.160]  就是星期二晚和星期三早
[00:01:27.160 --> 00:01:29.160]  我們即將開播
[00:01:29.160 --> 00:01:32.160]  有五十多位的朋友是註冊了的
[00:01:32.160 --> 00:01:36.160]  這五十多位的朋友都不是我們UV的人
[00:01:36.160 --> 00:01:42.160]  來自香港 來自北美不同的地方
[00:01:42.160 --> 00:01:45.160]  甚至英國 澳洲等等
[00:01:45.160 --> 00:01:47.160]  我們希望這個課程能夠
[00:01:47.160 --> 00:01:50.160]  繼續去到傳講上帝的道
[00:01:50.160 --> 00:01:53.160]  教導弟兄姊妹如何去掌握上帝的話語
[00:01:53.160 --> 00:01:55.160]  上帝的話語很重要
[00:01:55.160 --> 00:01:59.160]  所以今天我們回來這個跨月的系列
[00:01:59.160 --> 00:02:02.160]  我們說要挑戰大家三件事
[00:02:02.160 --> 00:02:04.160]  第一件事 你自己的舒適區
[00:02:04.160 --> 00:02:07.160]  我們需要踏出自己的舒適區
[00:02:07.160 --> 00:02:10.160]  並且我們要連結其他的弟兄姊妹
[00:02:10.160 --> 00:02:13.160]  無論在哪一個的組群
[00:02:13.160 --> 00:02:15.160]  我們需要去到跨越
[00:02:15.160 --> 00:02:17.160]  能夠去認識大家等等
[00:02:17.160 --> 00:02:20.160]  並且將福音傳給其他人
[00:02:20.160 --> 00:02:23.160]  剛才Ken傳到所 祈禱裡面提過的
[00:02:23.160 --> 00:02:26.160]  就是昨天我們有三十多位
[00:02:26.160 --> 00:02:28.160]  不同教會的弟兄姊妹在這裡
[00:02:28.160 --> 00:02:32.160]  一起出隊去報導 關懷等等
[00:02:32.160 --> 00:02:37.160]  我覺得這是一個非常好的畫像
[00:02:37.160 --> 00:02:39.160]  弟兄姊妹很著緊去到
[00:02:39.160 --> 00:02:43.160]  為著福音去到努力
[00:02:43.160 --> 00:02:45.160]  所以這個也是我們跨月的系列
[00:02:45.160 --> 00:02:47.160]  使徒行傳
[00:02:47.160 --> 00:02:49.160]  上一次我們說到第三章 記得嗎
[00:02:49.160 --> 00:02:54.160]  第三章 就是第一個使徒行傳記載的教會神蹟
[00:02:54.160 --> 00:02:57.160]  就是一個生下來瘸腿的跛腳的人
[00:02:57.160 --> 00:02:59.160]  在聖殿的門口尾門
[00:02:59.160 --> 00:03:01.160]  然後得到醫治 記得嗎
[00:03:01.160 --> 00:03:03.160]  拿撒拉人耶穌的名
[00:03:03.160 --> 00:03:06.160]  他的power 他的能力
[00:03:06.160 --> 00:03:08.160]  能夠使這個人能夠起身
[00:03:08.160 --> 00:03:11.160]  然後他進入聖殿去見拜上帝
[00:03:11.160 --> 00:03:13.160]  在第一個神蹟之後
[00:03:13.160 --> 00:03:16.160]  彼得就開始講道
[00:03:16.160 --> 00:03:19.160]  就解釋為什麼會有一個這樣的神蹟
[00:03:19.160 --> 00:03:22.160]  為什麼有一個這樣的劃時代的神蹟出現
[00:03:22.160 --> 00:03:24.160]  就是耶穌基督的名
[00:03:24.160 --> 00:03:28.160]  他是那位死而復活得勝的主宰
[00:03:28.160 --> 00:03:29.160]  就是他有這樣的能力
[00:03:29.160 --> 00:03:31.160]  你呼喊耶穌的名字
[00:03:31.160 --> 00:03:34.160]  藉著耶穌的名字來祈禱的時候
[00:03:34.160 --> 00:03:40.160]  我們生命會向著上帝這個有能力的國度前進
[00:03:40.160 --> 00:03:43.160]  所以彼得一直解釋的時候
[00:03:43.160 --> 00:03:46.160]  誰知道到第四章的時候就有人暫亂歌頌
[00:03:46.160 --> 00:03:48.160]  講著講著的時候
[00:03:48.160 --> 00:03:52.160]  彼得就被這些猶太的聖殿的權貴
[00:03:52.160 --> 00:03:54.160]  來暫亂歌頌
[00:03:54.160 --> 00:03:56.160]  就是講著講著有人停下
[00:03:56.160 --> 00:03:59.160]  所以第四章開始的時候
[00:03:59.160 --> 00:04:00.160]  他就被打壓了
[00:04:00.160 --> 00:04:03.160]  然後就將他去到收監
[00:04:03.160 --> 00:04:10.160]  這裡就給第四章的一至三十一節的分段給大家
[00:04:10.160 --> 00:04:11.160]  首先他們被打壓
[00:04:11.160 --> 00:04:13.160]  然後使徒有他的回應
[00:04:13.160 --> 00:04:14.160]  八至十二節
[00:04:14.160 --> 00:04:17.160]  然後也有他的權貴
[00:04:17.160 --> 00:04:18.160]  那些很失眼的人
[00:04:18.160 --> 00:04:19.160]  不喜歡他們的人
[00:04:19.160 --> 00:04:22.160]  來盤問他們為什麼他們要傳福音
[00:04:22.160 --> 00:04:25.160]  然後使徒也有所回應
[00:04:25.160 --> 00:04:28.160]  然後他們就威嚇他
[00:04:28.160 --> 00:04:29.160]  做不到什麼
[00:04:29.160 --> 00:04:31.160]  結果嚇一嚇他們
[00:04:31.160 --> 00:04:34.160]  然後最後二十三至三十一節
[00:04:34.160 --> 00:04:37.160]  就是教會整體的回應
[00:04:37.160 --> 00:04:40.160]  這裡是史蘭傳第一次記載
[00:04:40.160 --> 00:04:45.160]  教會受到當時的猶太人的權貴
[00:04:45.160 --> 00:04:48.160]  耶路撒冷的權貴打壓的故事
[00:04:48.160 --> 00:04:51.160]  所以史蘭傳裡面有很多第一次的故事
[00:04:51.160 --> 00:04:53.160]  First story
[00:04:53.160 --> 00:04:54.160]  我就問了
[00:04:54.160 --> 00:04:56.160]  這些first story用來做什麼
[00:04:56.160 --> 00:04:58.160]  第三章我剛才講了什麼
[00:04:58.160 --> 00:05:00.160]  有神蹟奇事出現
[00:05:00.160 --> 00:05:02.160]  就是生下來
[00:05:02.160 --> 00:05:04.160]  瘸腿的能夠起來
[00:05:04.160 --> 00:05:06.160]  應該是大家都開心的
[00:05:06.160 --> 00:05:08.160]  確實是百姓都開心
[00:05:08.160 --> 00:05:09.160]  誰知道呢
[00:05:09.160 --> 00:05:11.160]  不一定的
[00:05:11.160 --> 00:05:15.160]  總有人來阻礙上帝的工作
[00:05:15.160 --> 00:05:16.160]  你有沒有想過
[00:05:16.160 --> 00:05:18.160]  上帝工作開始
[00:05:18.160 --> 00:05:19.160]  大家很開心
[00:05:19.160 --> 00:05:21.160]  大家應該很好的
[00:05:21.160 --> 00:05:22.160]  應該普天同慶
[00:05:22.160 --> 00:05:25.160]  不過很多時候就會有反對的勢力出現
[00:05:25.160 --> 00:05:27.160]  這裡就是第四章所講的
[00:05:27.160 --> 00:05:30.160]  所以第四章第八節開始發生什麼事
[00:05:30.160 --> 00:05:33.160]  他們被打壓和被收監的時候
[00:05:33.160 --> 00:05:37.160]  那時彼得被聖靈充滿
[00:05:37.160 --> 00:05:39.160]  對這些權貴說
[00:05:39.160 --> 00:05:42.160]  民間的官長和長老
[00:05:42.160 --> 00:05:44.160]  倘若今天我們被查問的是因為
[00:05:44.160 --> 00:05:47.160]  殘障的人身上所行的善事
[00:05:47.160 --> 00:05:49.160]  這人得到傳譽的
[00:05:49.160 --> 00:05:53.160]  那麼你們大家以色列全民都應該知道
[00:05:53.160 --> 00:05:54.160]  站在你們面前
