
[00:00:00.000 --> 00:00:03.320]  看完節目後我們繼續我們的系列
[00:00:03.320 --> 00:00:04.520]  這次到了聖誕節
[00:00:04.520 --> 00:00:07.800]  我們記得看過聖經裡面
[00:00:07.800 --> 00:00:11.000]  一些外邦的君王或者世俗的君王
[00:00:11.000 --> 00:00:12.320]  因為聖誕節的緣故
[00:00:12.320 --> 00:00:15.640]  所以我們看一個君王一定是聖誕節裡面提過的
[00:00:15.640 --> 00:00:18.240]  這是在路加福音第二章第一節開始
[00:00:18.240 --> 00:00:19.720]  他說在那些日子
[00:00:19.720 --> 00:00:21.920]  凱撒奧古斯都降旨
[00:00:21.920 --> 00:00:24.560]  叫全國人民都登記戶籍
[00:00:24.560 --> 00:00:26.080]  這第一次登記戶籍
[00:00:26.080 --> 00:00:29.160]  是在居里紐作敘利亞總督的時候行的
[00:00:29.160 --> 00:00:33.040]  眾人各歸各城辦理登記
[00:00:33.040 --> 00:00:38.960]  約瑟也從加利利的拿撒勒城上猶太地去
[00:00:38.960 --> 00:00:42.040]  到了大衛的城叫伯利恆
[00:00:42.040 --> 00:00:43.840]  他是大衛家族的人
[00:00:43.840 --> 00:00:49.400]  要和他所聘之妻瑪利亞同一登記戶籍
[00:00:49.400 --> 00:00:50.600]  他們在那裡的時候
[00:00:50.600 --> 00:00:52.200]  瑪利亞的產期到了
[00:00:52.200 --> 00:00:55.600]  就生了投胎的兒子用布包起來
[00:00:55.600 --> 00:00:57.040]  放在馬槽裡
[00:00:57.040 --> 00:00:59.040]  因為客店裡沒有地方
[00:00:59.040 --> 00:01:00.960]  這裡提到兩個君王
[00:01:00.960 --> 00:01:03.920]  兩個所謂的做官的
[00:01:03.920 --> 00:01:06.400]  第一個就是凱撒奧古斯都
[00:01:06.400 --> 00:01:08.200]  第二個就是居里紐
[00:01:08.200 --> 00:01:10.160]  居里紐只不過是省長
[00:01:10.160 --> 00:01:12.280]  敘利亞巴勒斯坦地的省長
[00:01:12.280 --> 00:01:14.360]  這次我們看左邊這個
[00:01:14.360 --> 00:01:17.320]  就是這個Augustus
[00:01:17.320 --> 00:01:18.720]  奧古斯都
[00:01:18.720 --> 00:01:21.800]  這個我們每一次到聖誕節的時候都會提的
[00:01:21.800 --> 00:01:23.920]  正如以前提過
[00:01:23.920 --> 00:01:27.320]  聖誕節就像小朋友的故事一樣
[00:01:27.320 --> 00:01:29.120]  Children's Bible一定會有的
[00:01:29.120 --> 00:01:30.920]  那些博士等等
[00:01:30.920 --> 00:01:33.600]  去到馬槽看到聖嬰等等
