
[00:00:00.000 --> 00:00:01.160]  現在將時間交給他
[00:00:01.160 --> 00:00:06.080]  多謝Cindy
[00:00:06.080 --> 00:00:10.120]  今日我們嘗試去看一些新的題目
[00:00:10.120 --> 00:00:12.680]  有一個題目我們很多時候會想到的
[00:00:12.680 --> 00:00:14.000]  天生地
[00:00:14.000 --> 00:00:15.320]  一些綜活的事情
[00:00:15.320 --> 00:00:18.800]  人生裏面最末的時候 最後的時候
[00:00:18.800 --> 00:00:22.880]  或者世界最後的時候會發生什麼事
[00:00:22.880 --> 00:00:26.360]  這些問題都是很切身的問題
[00:00:26.360 --> 00:00:30.360]  特別是我們生命裏面遇見不同的難處的時候
[00:00:30.360 --> 00:00:32.480]  無論是生命裏面一些的失去
[00:00:32.480 --> 00:00:37.240]  或者特別是親友過去離開世界
[00:00:37.240 --> 00:00:42.120]  剛才我們祈禱的時候特別紀念到兩位
[00:00:42.120 --> 00:00:44.840]  在我們中間的大英姐妹家庭
[00:00:44.840 --> 00:00:49.360]  我們有時候需要去想一想這些題目
[00:00:49.360 --> 00:00:51.120]  雖然很多時候我們會覺得
[00:00:51.440 --> 00:00:56.560]  這些問題不是我們經常會朝思暮想的
[00:00:56.560 --> 00:01:00.800]  但是有一些題目是需要去想的
[00:01:00.800 --> 00:01:03.640]  是需要去思考的
[00:01:03.640 --> 00:01:06.520]  聖經裏面有很多地方
[00:01:06.520 --> 00:01:10.000]  講到這些所謂的終末的教導
[00:01:10.000 --> 00:01:12.520]  人生的終末 世界的終末
[00:01:12.520 --> 00:01:16.680]  很多時候不是一些很抽象的理論
[00:01:16.680 --> 00:01:19.120]  就是說聖經裏面的作者
[00:01:19.120 --> 00:01:20.440]  保羅等等
[00:01:20.760 --> 00:01:22.760]  他們講到一些人生的終末的時候
[00:01:22.760 --> 00:01:25.320]  不是純粹是茶餘飯後的時候
[00:01:25.320 --> 00:01:27.920]  想一想不如思想一下這些東西
[00:01:27.920 --> 00:01:29.120]  然後寫一些這樣的東西
[00:01:29.120 --> 00:01:31.120]  很多時候這些終末的教導
[00:01:31.120 --> 00:01:34.560]  都是出自一些實際的處境
[00:01:34.560 --> 00:01:39.160]  譬如教會裏面有一些的試煉或者困難來到
[00:01:39.160 --> 00:01:43.840]  或者有一些教會裏面的成員
[00:01:43.840 --> 00:01:48.040]  他們的家人去世了 過世了
[00:01:48.400 --> 00:01:52.160]  到底他們應該怎樣去思考這個問題
[00:01:52.160 --> 00:01:54.800]  很多時候聖經就是在這些處境裏面
[00:01:54.800 --> 00:01:57.800]  寫出一些所謂終末的教導
[00:01:57.800 --> 00:02:00.480]  講到天家 講到新天新地
[00:02:00.480 --> 00:02:01.920]  New Heaven and New Earth
[00:02:01.920 --> 00:02:03.240]  到底一回是甚麼事
[00:02:03.240 --> 00:02:06.840]  如果你記得有些地方講到主在來
[00:02:06.840 --> 00:02:09.840]  譬如《貼薩雷加前書》第四章
[00:02:09.840 --> 00:02:12.400]  講到主在來的境況是怎樣
[00:02:12.400 --> 00:02:16.880]  絕對不是一些抽空去思考這些問題寫一下
[00:02:17.280 --> 00:02:19.280]  原因是因為開始的時候
[00:02:19.280 --> 00:02:22.800]  他們中間有一些的家人
[00:02:22.800 --> 00:02:24.800]  一些的親友離開了世界
[00:02:24.800 --> 00:02:29.480]  本來就去動筆去寫一些這樣的東西
[00:02:29.480 --> 00:02:32.200]  告訴他們我們終末裏面有甚麼盼望
[00:02:32.200 --> 00:02:35.040]  或者前書第十五章
[00:02:35.040 --> 00:02:38.440]  講到死人復活的事 基督復活的事
[00:02:38.440 --> 00:02:40.800]  很多時候我們復活節的時候就會看這些經文
[00:02:40.800 --> 00:02:45.000]  原因不是因為想抽象地
[00:02:45.000 --> 00:02:48.280]  來去教導這些題目
