
[00:00:00.000 --> 00:00:02.000]  各位歡迎來到智慧廚房
[00:00:02.000 --> 00:00:04.000]  這次我們是第四集了
[00:00:04.000 --> 00:00:06.500]  所以講到《雅各書》第四章
[00:00:06.500 --> 00:00:08.120]  你看到我們已經預備好
[00:00:08.120 --> 00:00:09.580]  今天要煮什麼菜了
[00:00:09.580 --> 00:00:10.940]  或者煮什麼
[00:00:10.940 --> 00:00:12.760]  但是我們先看《雅各書》第四章
[00:00:12.760 --> 00:00:14.060]  先從一到三節
[00:00:14.060 --> 00:00:18.480]  他說你們中間的爭執和打鬥是從哪裡來的呢?
[00:00:18.480 --> 00:00:22.280]  不是從你們肢體中好鬥的私慾來的嗎?
[00:00:22.280 --> 00:00:24.240]  你們放縱貪慾
[00:00:24.240 --> 00:00:26.100]  如果得不到就殺人
[00:00:26.100 --> 00:00:27.380]  你們嫉妒
[00:00:27.380 --> 00:00:29.880]  如果一無所有就打鬥爭執
[00:00:29.880 --> 00:00:32.180]  你們得不到因為你們不求
[00:00:32.180 --> 00:00:34.020]  你們求也得不到
[00:00:34.020 --> 00:00:36.620]  因為你們的動機不良
[00:00:36.620 --> 00:00:40.360]  要把所得的耗費在你們的私慾上
[00:00:40.360 --> 00:00:42.560]  《雅各書》講了三章了
[00:00:42.560 --> 00:00:43.700]  現在到第四章了
[00:00:43.700 --> 00:00:46.300]  他就將我們人性裡面的私慾
[00:00:46.300 --> 00:00:47.080]  從第一章開始
[00:00:47.080 --> 00:00:50.100]  一邊開口一邊開口給我們
[00:00:50.100 --> 00:00:52.000]  告訴我們我們人性裡面
[00:00:52.000 --> 00:00:53.460]  我們有很多的黑暗面
[00:00:53.460 --> 00:00:54.740]  我們需要去留意
[00:00:54.740 --> 00:00:56.100]  你可以想象到
[00:00:56.100 --> 00:00:58.080]  當時這個讀者
[00:00:58.080 --> 00:01:01.300]  或者因為教會被迫害
[00:01:01.300 --> 00:01:04.240]  散居到不同地方的教會
[00:01:04.240 --> 00:01:05.700]  那些屬靈的群體
[00:01:05.700 --> 00:01:07.400]  裡面發生了什麼事情
[00:01:07.400 --> 00:01:09.480]  特別《雅各》提到
[00:01:09.480 --> 00:01:11.820]  他們彼此去嫉妒
[00:01:11.820 --> 00:01:15.360]  彼此去爭鬥、打鬥等等
[00:01:15.360 --> 00:01:18.340]  裡面有很多的私慾出來了
[00:01:18.340 --> 00:01:20.560]  現在在疫情當中
[00:01:20.560 --> 00:01:22.160]  其實我們很多時候
[00:01:22.160 --> 00:01:24.520]  我們只是看正面
[00:01:24.520 --> 00:01:25.520]  我們就會覺得
[00:01:25.520 --> 00:01:27.400]  好吧,多留一些在家裡
[00:01:27.400 --> 00:01:27.900]  是不是?
[00:01:27.900 --> 00:01:30.100]  多一點時間跟家人一起
[00:01:30.100 --> 00:01:32.520]  但是我們也看到很多的新聞
[00:01:32.520 --> 00:01:34.520]  說家暴
[00:01:34.520 --> 00:01:36.680]  婚姻的問題
[00:01:36.680 --> 00:01:38.120]  家人的關係
[00:01:38.120 --> 00:01:40.120]  張力就越來越大
[00:01:40.120 --> 00:01:43.340]  每當在困難當中
[00:01:43.340 --> 00:01:44.960]  在一些艱難的裡面
[00:01:44.960 --> 00:01:48.280]  很多時候不只是表現出人的美善的一面
[00:01:48.280 --> 00:01:52.540]  反而是表現了人性醜惡的一面
[00:01:52.540 --> 00:01:54.500]  當時的教會
[00:01:54.500 --> 00:01:55.520]  我相信也是這樣的
[00:01:55.520 --> 00:01:57.320]  面對很多打壓
[00:01:57.320 --> 00:01:59.500]  被趕散到不同的地方
[00:01:59.500 --> 00:02:02.840]  那些群體自然受到很大的壓力
[00:02:02.840 --> 00:02:06.580]  所以那裡有一些有權有勢的人
[00:02:06.580 --> 00:02:09.740]  就會欺負一些無權無勢貧窮的人
[00:02:09.740 --> 00:02:11.120]  那些貧窮的人
[00:02:11.120 --> 00:02:13.500]  就會在那種情況裡面
[00:02:13.500 --> 00:02:17.280]  可能會靠攏一些有權有勢的人
[00:02:17.280 --> 00:02:19.520]  以致他們自己得到保障
[00:02:19.520 --> 00:02:21.120]  其實今時今日這個世界也是一樣
[00:02:21.120 --> 00:02:22.960]  你看看一些新聞
[00:02:22.960 --> 00:02:23.740]  一些頭條
[00:02:23.740 --> 00:02:25.320]  最近我看到一個頭條
[00:02:25.320 --> 00:02:28.160]  他說政界裡面一些的問題
[00:02:28.160 --> 00:02:30.000]  粗暴霸位奪權
[00:02:30.000 --> 00:02:31.860]  就是人性黑暗的一面
[00:02:31.860 --> 00:02:33.300]  不再講道理
[00:02:33.300 --> 00:02:35.560]  誰的權力大一點
[00:02:35.560 --> 00:02:36.780]  他就是真理
[00:02:36.780 --> 00:02:39.000]  亞國就說我們屬靈的群體
[00:02:39.000 --> 00:02:40.000]  我們真的不可以這樣
[00:02:40.000 --> 00:02:41.380]  不可以跟隨世界那一套
[00:02:41.380 --> 00:02:44.000]  那麼一個這麼苦的世界裡面
[00:02:44.000 --> 00:02:44.700]  怎麼樣呢?
[00:02:44.700 --> 00:02:48.520]  所以我今天就煮一些甜品
[00:02:48.520 --> 00:02:50.480]  因為這麼苦是不是?
[00:02:50.480 --> 00:02:52.600]  所以今天我就煮這個
[00:02:52.600 --> 00:02:55.640]  Pineapple Upside Down Cake
[00:02:55.640 --> 00:02:57.120]  不知道你有沒有聽過
[00:02:57.120 --> 00:03:00.240]  是一個反轉來的菠蘿蛋糕
[00:03:00.240 --> 00:03:02.860]  這是一些西人的甜品
[00:03:02.860 --> 00:03:18.840]  首先講一下蛋糕本身
[00:03:18.840 --> 00:03:20.700]  我們有什麼需要準備呢?
[00:03:20.700 --> 00:03:21.320]  第一
[00:03:21.320 --> 00:03:25.520]  一有三分一杯的 all-purpose flour
[00:03:25.520 --> 00:03:28.500]  然後就一個 teaspoon 的 baking powder
[00:03:28.500 --> 00:03:30.740]  半個 teaspoon 的鹽
[00:03:30.740 --> 00:03:32.160]  四分一 cup 牛油
[00:03:32.160 --> 00:03:33.460]  等一下會融化的
[00:03:33.460 --> 00:03:35.020]  half cup 的白糖
