
[00:00:00.000 --> 00:00:01.880]   Hello, brothers and sisters.
[00:00:01.880 --> 00:00:04.000]   [NON-ENGLISH SPEECH]
[00:00:04.000 --> 00:00:08.120]   So one things that I like to do in my free time
[00:00:08.120 --> 00:00:10.940]   is I like to go climbing.
[00:00:10.940 --> 00:00:13.240]   So naturally, my social media algorithms,
[00:00:13.240 --> 00:00:14.940]   they would always suggest to me all sorts
[00:00:14.940 --> 00:00:17.760]   of climbing-related content.
[00:00:17.760 --> 00:00:19.600]   And a few months ago, I actually bumped
[00:00:19.600 --> 00:00:21.840]   into this very heartwarming YouTube shorts
[00:00:21.840 --> 00:00:25.160]   posted by-- she's a professional climber and also
[00:00:25.160 --> 00:00:28.160]   a former Olympian from the UK.
[00:00:28.160 --> 00:00:30.680]   And in this YouTube shorts, she brought her daughter
[00:00:30.680 --> 00:00:32.400]   to climb outdoors.
[00:00:32.400 --> 00:00:33.960]   And you can see that her daughter,
[00:00:33.960 --> 00:00:37.960]   she was very determined to climb this climb all by herself
[00:00:37.960 --> 00:00:39.840]   without the mom's help.
[00:00:39.840 --> 00:00:41.640]   [NON-ENGLISH SPEECH]
[00:00:58.880 --> 00:01:00.600]   [NON-ENGLISH SPEECH]
[00:01:00.600 --> 00:01:11.840]   So a few moves into the climb, however,
[00:01:11.840 --> 00:01:14.800]   she started to panic a little bit when things
[00:01:14.800 --> 00:01:16.560]   got a little more challenging.
[00:01:16.560 --> 00:01:20.000]   And her emotions began to come out.
[00:01:20.000 --> 00:01:22.240]   You can see the dilemma here.
[00:01:22.240 --> 00:01:26.000]   On one hand, she wanted to do the climb all by herself.
[00:01:26.000 --> 00:01:29.000]   So she didn't want her mom to help her at all.
[00:01:29.000 --> 00:01:33.000]   But on the other hand, she was getting a little scared.
[00:01:33.000 --> 00:01:35.360]   And her natural instinct just came up
[00:01:35.360 --> 00:01:38.960]   to ask her mom for help.
[00:01:38.960 --> 00:01:40.320]   [NON-ENGLISH SPEECH]
[00:01:56.000 --> 00:02:04.760]   So I think we can all resonate with the feelings of the daughter
[00:02:04.760 --> 00:02:07.840]   here when we are faced with some sort of adversities
[00:02:07.840 --> 00:02:09.520]   and challenge, right?
[00:02:09.520 --> 00:02:11.320]   Maybe you're feeling stuck in your life.
[00:02:11.320 --> 00:02:13.680]   And you're just having a hard time figuring out
[00:02:13.680 --> 00:02:15.560]   what is the next steps.
[00:02:15.560 --> 00:02:18.280]   Or maybe you're in some sort of crisis moment.
[00:02:18.280 --> 00:02:22.080]   And you just can't seem to figure a way out.
[00:02:22.080 --> 00:02:26.480]   Or maybe some of us, you are confronted by your own fears.
[00:02:26.480 --> 00:02:29.720]   Will my marriage or my relationship last?
[00:02:29.720 --> 00:02:32.360]   Or what if I lose my job?
[00:02:32.360 --> 00:02:34.840]   Or what if my friends or people that I love
[00:02:34.840 --> 00:02:37.800]   actually abandon or leave me?
[00:02:37.800 --> 00:02:42.920]   And in these moments of doubt, how do you usually respond?
[00:02:42.920 --> 00:02:46.640]   What would you do in the face of adversity?
[00:02:46.640 --> 00:02:53.640]   [NON-ENGLISH SPEECH]
