
[00:00:00.000 --> 00:00:00.840]   - Well, good morning.
[00:00:00.840 --> 00:00:04.640]   It's fantastic to be here and enjoying worshiping
[00:00:04.640 --> 00:00:05.480]   with you all.
[00:00:05.480 --> 00:00:07.280]   Thank you to the worship team for leading us
[00:00:07.280 --> 00:00:08.980]   in worship this morning.
[00:00:08.980 --> 00:00:09.820]   I'm excited to be here.
[00:00:09.820 --> 00:00:11.360]   I love being at UV.
[00:00:11.360 --> 00:00:12.500]   I love Christmas time.
[00:00:12.500 --> 00:00:14.500]   This is a really fun time of the year.
[00:00:14.500 --> 00:00:16.520]   And to begin with, I'm gonna ask you
[00:00:16.520 --> 00:00:19.320]   to use your imagination for just a moment
[00:00:19.320 --> 00:00:22.680]   and imagine one of the announcements that we just heard,
[00:00:22.680 --> 00:00:25.600]   the Christmas dinner, the UV Christmas dinner.
[00:00:25.600 --> 00:00:26.940]   It's been a few years since I've been to one,
[00:00:26.940 --> 00:00:30.400]   but I used to be at the UV Christmas dinner every year.
[00:00:30.400 --> 00:00:32.320]   And so just imagine that in your mind,
[00:00:32.320 --> 00:00:33.280]   or if you haven't been to one,
[00:00:33.280 --> 00:00:35.400]   you can imagine another feast that you've been at.
[00:00:35.400 --> 00:00:38.400]   Think about all that food that is there
[00:00:38.400 --> 00:00:40.420]   just spread out on the mini tables,
[00:00:40.420 --> 00:00:43.340]   and it's so amazing and so good.
[00:00:43.340 --> 00:00:45.440]   One of the problems that I have
[00:00:45.440 --> 00:00:48.160]   when I get to a feast like that
[00:00:48.160 --> 00:00:50.680]   is there's so much good stuff and I wanna eat all of it,
[00:00:50.680 --> 00:00:52.240]   but I know that I physically cannot,
[00:00:52.240 --> 00:00:55.120]   so I have to kind of choose what I'm gonna eat, right?
[00:00:55.120 --> 00:00:58.060]   And there's so many options, so many choices.
[00:00:58.060 --> 00:01:00.620]   And the reality is we all have favorites.
[00:01:00.620 --> 00:01:02.540]   We all have kind of our go-tos,
[00:01:02.540 --> 00:01:04.300]   especially at a big feast like that,
[00:01:04.300 --> 00:01:05.860]   the things that we want.
[00:01:05.860 --> 00:01:09.460]   And so sometimes, at least what I do,
[00:01:09.460 --> 00:01:11.820]   is I go to the things I know I really enjoy,
[00:01:11.820 --> 00:01:13.260]   to my favorites.
[00:01:13.260 --> 00:01:15.420]   And even though there's other really good stuff,
[00:01:15.420 --> 00:01:17.420]   I never actually get to it.
[00:01:17.420 --> 00:01:19.060]   I never try some of those other things
[00:01:19.060 --> 00:01:22.460]   just because I always end up eating my old favorites
[00:01:22.460 --> 00:01:23.900]   and I can't eat it all.
[00:01:23.900 --> 00:01:25.560]   And so there's something off to the side
[00:01:25.560 --> 00:01:27.440]   that I forget about.
[00:01:27.440 --> 00:01:29.900]   And sometimes that happens to us
[00:01:29.900 --> 00:01:33.840]   with the themes and the stories of Christmas and Advent.
[00:01:33.840 --> 00:01:35.420]   It's literally like a feast.
[00:01:35.420 --> 00:01:38.200]   There's so much to think about
[00:01:38.200 --> 00:01:41.360]   in terms of theologically and spiritually
[00:01:41.360 --> 00:01:43.960]   in terms of Advent and Christmas.
[00:01:43.960 --> 00:01:46.400]   And there's so many beautiful themes here
[00:01:46.400 --> 00:01:49.300]   of Jesus coming to earth.
[00:01:49.300 --> 00:01:53.720]   We have the marvel of the miraculous virgin birth,
[00:01:53.720 --> 00:01:55.640]   supernaturally conceived by the Holy Spirit.
[00:01:55.640 --> 00:01:58.800]   We think about the miracle, the incarnation,
[00:01:58.800 --> 00:02:00.560]   that the word was made flesh,
[00:02:00.560 --> 00:02:03.320]   God was made human, Emmanuel, God with us.
[00:02:03.320 --> 00:02:06.920]   That's one of my favorite themes, such a powerful theme.
[00:02:06.920 --> 00:02:10.840]   We think about the unveiling of Jesus as Savior
[00:02:10.840 --> 00:02:13.680]   and the verse that we heard earlier from the worship team
[00:02:13.680 --> 00:02:15.400]   where the angel spoke and said,
[00:02:15.400 --> 00:02:17.660]   "This is good news for the whole world."
[00:02:17.660 --> 00:02:20.040]   All of those themes are so beautiful
[00:02:20.040 --> 00:02:22.520]   and they're the heart of the gospel.
[00:02:22.520 --> 00:02:24.120]   And so we should enjoy them,
[00:02:24.120 --> 00:02:26.220]   just like our favorite foods at the feast.
[00:02:26.220 --> 00:02:28.520]   We should go to those places every year
[00:02:28.520 --> 00:02:31.600]   and be encouraged and blessed by them.
[00:02:31.600 --> 00:02:35.040]   But we can't forget about some of the other themes.
[00:02:35.040 --> 00:02:36.680]   And that's what we're gonna talk about today,
[00:02:36.680 --> 00:02:38.880]   a theme that is here in the story
[00:02:38.880 --> 00:02:41.060]   that maybe sometimes we just forget about
[00:02:41.060 --> 00:02:44.240]   because some of the other themes are so thrilling to us.
[00:02:44.240 --> 00:02:48.180]   And that is that Jesus came as king.
[00:02:48.180 --> 00:02:50.400]   That when Jesus came to the earth,
[00:02:50.400 --> 00:02:54.120]   the king was born, the king of the kingdom.
[00:02:54.120 --> 00:02:56.480]   And what that means for us,
[00:02:56.480 --> 00:03:00.800]   because the incarnation and the nativity story is beautiful,
