
[00:00:00.000 --> 00:00:01.000]   Good morning everyone.
[00:00:01.000 --> 00:00:07.000]   Well why don't we say hi to each other and give them a high five.
[00:00:07.000 --> 00:00:08.000]   Alright.
[00:00:08.000 --> 00:00:09.000]   Say welcome to our worship service.
[00:00:09.000 --> 00:00:10.000]   Okay let's do that.
[00:00:10.000 --> 00:00:11.000]   Let's do high five.
[00:00:11.000 --> 00:00:12.000]   Let's stand up.
[00:00:12.000 --> 00:00:13.000]   Let's do high five with at least three friends.
[00:00:13.000 --> 00:00:14.000]   Okay.
[00:00:14.000 --> 00:00:15.000]   Yeah go around the room.
[00:00:15.000 --> 00:00:16.000]   Yeah give them a high five.
[00:00:16.000 --> 00:00:17.000]   Yeah.
[00:00:17.000 --> 00:00:31.000]   Give them a high five.
[00:00:31.000 --> 00:00:32.000]   Alright.
[00:00:32.000 --> 00:00:33.000]   Yeah.
[00:00:33.000 --> 00:00:34.000]   Thanks Isaac.
[00:00:34.000 --> 00:00:35.000]   Thanks for the effort.
[00:00:35.000 --> 00:00:36.000]   Thank you Isaac.
[00:00:36.000 --> 00:00:37.000]   Alright.
[00:00:37.000 --> 00:00:50.520]   Good to see you all.
[00:00:50.520 --> 00:00:52.880]   As you can tell we gather every Sunday.
[00:00:52.880 --> 00:00:57.920]   We sing, we pray, we study the word and listen to sermon and we have to ask the question
[00:00:57.920 --> 00:01:03.000]   what worship is all about.
[00:01:03.000 --> 00:01:15.720]   Now we say we come to worship and worship this word is derived from an old English word
[00:01:15.720 --> 00:01:23.320]   worship and the word has to do with value and honor and the value of a person of an
[00:01:23.320 --> 00:01:24.360]   object.
[00:01:24.360 --> 00:01:31.960]   So as you can tell worship is about the value we ascribe to God and the honor he deserves.
[00:01:31.960 --> 00:01:49.400]   And you can tell from Revelation 4 there's a verse here that talks about worship in heaven
[00:01:49.400 --> 00:01:56.840]   and it says you are worthy God you are worthy oh Lord our God to receive glory honor and
[00:01:56.840 --> 00:01:57.840]   power.
[00:01:57.840 --> 00:02:15.560]   So we come together to worship and today we're going to take a look at Psalm 8 and
[00:02:15.560 --> 00:02:16.560]   it's about worship.
