
[00:00:00.000 --> 00:00:02.000]  多謝
[00:00:02.000 --> 00:00:03.000]  多謝介紹
[00:00:03.000 --> 00:00:06.000]  其實很開心今天親身來到大家當中
[00:00:06.000 --> 00:00:09.000]  我其實十幾年前
[00:00:09.000 --> 00:00:11.000]  2011至2015年在芝加哥
[00:00:11.000 --> 00:00:13.000]  所以實體認識很多人
[00:00:13.000 --> 00:00:15.000]  見到又見到朋友
[00:00:15.000 --> 00:00:16.000]  原來坐在後面
[00:00:16.000 --> 00:00:19.000]  所以經過差不多十年再回來
[00:00:19.000 --> 00:00:20.000]  有很多新面孔
[00:00:20.000 --> 00:00:21.000]  介紹自己
[00:00:21.000 --> 00:00:22.000]  現在是中神
[00:00:22.000 --> 00:00:24.000]  香港中國神學研究院的院長
[00:00:24.000 --> 00:00:27.000]  其實過去我讀博士學位
[00:00:27.000 --> 00:00:29.000]  就在芝加哥神學院讀的
[00:00:29.000 --> 00:00:31.000]  今天來到
[00:00:31.000 --> 00:00:33.000]  這幾天中神的美國董事會
[00:00:33.000 --> 00:00:35.000]  也有開會的時間
[00:00:35.000 --> 00:00:37.000]  最興奮的就是能夠回來這裡
[00:00:37.000 --> 00:00:38.000]  不過可惜見不到Mark
[00:00:38.000 --> 00:00:40.000]  因為Mark上了多倫多
[00:00:40.000 --> 00:00:42.000]  我明天就去多倫多他就回來了
[00:00:42.000 --> 00:00:44.000]  不過不要緊
[00:00:44.000 --> 00:00:45.000]  我一定抓住他
[00:00:45.000 --> 00:00:48.000]  一定可以去見面
[00:00:48.000 --> 00:00:50.000]  所以都是很感恩的事情
[00:00:50.000 --> 00:00:53.000]  今天我選了一首詩篇
[00:00:53.000 --> 00:00:55.000]  其實第一篇
[00:00:55.000 --> 00:00:57.000]  跟大家去到思想的
[00:00:57.000 --> 00:00:59.000]  不如這樣吧
[00:00:59.000 --> 00:01:01.000]  我找一些經文出來
[00:01:01.000 --> 00:01:04.000]  我跟大家讀一次
[00:01:04.000 --> 00:01:07.000]  讀一讀詩篇第一篇
[00:01:07.000 --> 00:01:10.000]  我用了《環球聖經》譯本的經文
[00:01:10.000 --> 00:01:11.000]  詩篇這樣說
[00:01:11.000 --> 00:01:12.000]  這人真是有福
[00:01:12.000 --> 00:01:14.000]  他不從惡人的計謀
[00:01:14.000 --> 00:01:16.000]  不站罪人的道路
[00:01:16.000 --> 00:01:18.000]  不坐傲慢之人的座位
[00:01:18.000 --> 00:01:20.000]  相反耶和華的律法
[00:01:20.000 --> 00:01:22.000]  是他的最愛耶和華的律法
[00:01:22.000 --> 00:01:24.000]  他就夜脈中
[00:01:24.000 --> 00:01:25.000]  他像一棵樹
[00:01:25.000 --> 00:01:28.000]  栽種在原子水道旁
[00:01:28.000 --> 00:01:30.000]  按時後結果子
[00:01:30.000 --> 00:01:32.000]  葉子種不枯萎
[00:01:32.000 --> 00:01:36.000]  他所做的事盡都傳順利
[00:01:36.000 --> 00:01:37.000]  惡人卻不是這樣
[00:01:37.000 --> 00:01:40.000]  反倒像糠筆被風吹散
[00:01:40.000 --> 00:01:43.000]  因此惡人在審判中將站立不住
[00:01:43.000 --> 00:01:46.000]  罪人在義人的群體中
[00:01:46.000 --> 00:01:47.000]  也是這樣
[00:01:47.000 --> 00:01:49.000]  因為耶和華看顧義人的道路
