
[00:00:00.000 --> 00:00:03.600]   - Thank you, Patrick.
[00:00:03.600 --> 00:00:04.440]   Good morning, UV.
[00:00:04.440 --> 00:00:12.360]   (speaking in foreign language)
[00:00:12.360 --> 00:00:14.800]   All right, so if you don't know this about me,
[00:00:14.800 --> 00:00:17.160]   besides the things that you see me do here
[00:00:17.160 --> 00:00:20.440]   on a Sunday morning, I also lead our youth group
[00:00:20.440 --> 00:00:23.600]   and our kids ministry throughout the weekdays.
[00:00:23.600 --> 00:00:24.760]   And working with these students,
[00:00:24.760 --> 00:00:26.800]   one of the things that I realize is
[00:00:26.800 --> 00:00:28.240]   the more I spend time with them,
[00:00:28.240 --> 00:00:30.480]   the more I actually picked up some of the Gen Z
[00:00:30.480 --> 00:00:32.320]   and Gen Alpha lingo.
[00:00:32.320 --> 00:00:36.120]   And sometimes I even find myself speaking like them.
[00:00:36.120 --> 00:00:40.040]   (speaking in foreign language)
[00:00:40.040 --> 00:01:02.720]   So let me give you a few examples here.
[00:01:02.720 --> 00:01:05.080]   When they say, "Oh, I'm so cooked,"
[00:01:05.080 --> 00:01:07.320]   it doesn't mean that they're literally getting cooked,
[00:01:07.320 --> 00:01:09.400]   but that means that they are in trouble
[00:01:09.400 --> 00:01:11.440]   or they're just exhausted.
[00:01:11.440 --> 00:01:13.480]   Or when they say, "This thing or this person
[00:01:13.480 --> 00:01:15.280]   "looks kind of sus,"
[00:01:15.280 --> 00:01:17.880]   it doesn't mean that, it just means that something
[00:01:17.880 --> 00:01:20.880]   or someone is looking a little suspicious.
[00:01:20.880 --> 00:01:22.320]   And sometimes they will even combine
[00:01:22.320 --> 00:01:24.160]   a few of these slang together.
[00:01:24.160 --> 00:01:28.400]   And for example, they will say, "This food is bomb, no cap."
[00:01:28.400 --> 00:01:29.880]   Let me translate it for you.
[00:01:29.880 --> 00:01:34.000]   That means, "This food is so good, I'm not even lying."
[00:01:34.000 --> 00:01:57.720]   (speaking in foreign language)
[00:01:57.720 --> 00:02:01.880]   So the reality is, we as human can be easily influenced
[00:02:01.880 --> 00:02:05.040]   by our surrounding and the people that we spend time with,
[00:02:05.040 --> 00:02:07.320]   whether it is for good or for worse.
[00:02:07.320 --> 00:02:09.360]   And this is why there's a saying in Mandarin
[00:02:09.360 --> 00:02:10.640]   that goes like this,
[00:02:10.640 --> 00:02:13.560]   "He who stays near vermilion gets stained red,
[00:02:13.560 --> 00:02:16.760]   "and he who stays near ink gets stained black."
