
[00:00:00.000 --> 00:00:01.400]   All right, thanks, Kelly.
[00:00:01.400 --> 00:00:03.900]   Well, today's marathon, you guys in the race?
[00:00:03.900 --> 00:00:06.200]   You wish, right?
[00:00:06.200 --> 00:00:07.140]   You wish.
[00:00:07.140 --> 00:00:09.480]   I was talking to someone in the morning service, and
[00:00:09.480 --> 00:00:12.180]   he's a veteran.
[00:00:12.180 --> 00:00:16.340]   He's actually ran, I think, five races in the past 10 years.
[00:00:16.340 --> 00:00:17.380]   So he's a veteran.
[00:00:17.380 --> 00:00:21.040]   He doesn't have to do the draw to to join the race.
[00:00:21.040 --> 00:00:23.640]   So so I was I was I was looking at him.
[00:00:23.640 --> 00:00:26.540]   He was here and I was talking to him and said,
[00:00:27.040 --> 00:00:28.040]   Why are you here?
[00:00:28.040 --> 00:00:30.400]   Was supposed to be a running.
[00:00:30.400 --> 00:00:33.740]   Right. And he said, No, I'm not going to run today.
[00:00:33.740 --> 00:00:38.200]   I mean, this year and he's running, you know, every every other year.
[00:00:38.200 --> 00:00:40.740]   So we do have some runners.
[00:00:40.740 --> 00:00:42.800]   We do have some runners in our congregation.
[00:00:42.800 --> 00:00:45.840]   In any case, good to be with you.
[00:00:45.840 --> 00:00:48.900]   And I know the traffic is kind of crazy, especially if you're coming
[00:00:48.900 --> 00:00:52.100]   from the downtown area and the South Loop area.
[00:00:52.100 --> 00:00:54.080]   But, you know, it's great to be here.
[00:00:56.180 --> 00:01:02.180]   We will go to the last letter of the seven letters to the seven churches.
[00:01:02.180 --> 00:01:07.080]   So if you have the Bible, please turn with me to chapter three,
[00:01:07.080 --> 00:01:10.480]   chapter three of Revelation.
[00:01:10.480 --> 00:01:13.840]   We are finally coming to the last letter.
[00:01:13.840 --> 00:01:16.880]   Remember, there were seven letters.
[00:01:16.880 --> 00:01:20.440]   Jesus sent letters to seven churches
[00:01:20.440 --> 00:01:25.040]   and from Ephesus, the first one and all the way to
[00:01:25.640 --> 00:01:29.940]   Lilladahshir today and Lilladahshir is kind of inland.
[00:01:29.940 --> 00:01:33.080]   It's about 40 miles southwest of Philadelphia.
