
[00:00:00.000 --> 00:00:01.000]   - Thank you.
[00:00:01.000 --> 00:00:06.220]   - Good morning and Merry Christmas to all,
[00:00:06.220 --> 00:00:07.760]   oh, I'm sorry.
[00:00:07.760 --> 00:00:12.520]   Yeah, and today is the Sunday before the Christmas Sunday,
[00:00:12.520 --> 00:00:16.680]   so we have to go into the Bible story on Christmas.
[00:00:16.680 --> 00:00:20.680]   When we think of the Christmas story,
[00:00:20.680 --> 00:00:23.260]   the Christmas story, you can see in the Christmas card
[00:00:23.260 --> 00:00:26.640]   or some of the scenes that you have often encounter,
[00:00:26.640 --> 00:00:28.440]   we often think that the Christmas story
[00:00:28.440 --> 00:00:30.680]   is a children's story, right?
[00:00:30.680 --> 00:00:33.600]   But if you read the Bible story on Christmas,
[00:00:33.600 --> 00:00:36.320]   you'll find that it's not a kid's story
[00:00:36.320 --> 00:00:40.120]   because the Christmas story recorded in the Bible
[00:00:40.120 --> 00:00:42.640]   talks about the political realities
[00:00:42.640 --> 00:00:44.720]   and the kings of the time.
[00:00:44.720 --> 00:00:48.000]   And today we turn to Matthew 2, chapter two,
[00:00:48.000 --> 00:00:50.560]   and we're gonna compare two sets of people,
[00:00:50.560 --> 00:00:51.640]   two sets of characters,
[00:00:51.640 --> 00:00:54.800]   and see their similarities and differences.
[00:00:54.800 --> 00:00:58.400]   (speaking in foreign language)
[00:00:58.400 --> 00:01:02.320]   (speaking in foreign language)
[00:01:02.320 --> 00:01:18.360]   Now the first comparison we can make
[00:01:18.360 --> 00:01:22.400]   is between the Magi and the scribes,
[00:01:22.400 --> 00:01:25.680]   and our passage is found in chapter two in Matthew.
[00:01:25.680 --> 00:01:29.600]   (speaking in foreign language)
[00:01:29.600 --> 00:01:35.200]   Now chapter two, verse one, let me read.
[00:01:35.200 --> 00:01:38.860]   After Jesus was born in Bethlehem in Judea,
[00:01:38.860 --> 00:01:40.840]   during the time of King Herod,
[00:01:40.840 --> 00:01:43.560]   and this is the King Herod the Great,
[00:01:43.560 --> 00:01:45.640]   the first King Herod in the Bible,
[00:01:45.640 --> 00:01:49.880]   Magi from the east came to Jerusalem and asked,
[00:01:49.880 --> 00:01:54.000]   "Where is the one who has been born King of the Jews?"
[00:01:54.000 --> 00:01:58.520]   We saw his star when it rose and have come to worship him.
[00:01:58.520 --> 00:02:04.120]   (speaking in foreign language)
[00:02:04.120 --> 00:02:21.200]   Now you focus on the term Magi, M-A-G-I,
[00:02:21.200 --> 00:02:23.080]   and who are these people?
[00:02:23.080 --> 00:02:25.800]   Sometimes we translate it Magi,
[00:02:25.800 --> 00:02:29.520]   sometimes we translate them as wise men,
[00:02:29.520 --> 00:02:31.920]   and if you look at the newer translation
[00:02:31.920 --> 00:02:33.600]   of the Chinese Bible,
[00:02:33.600 --> 00:02:37.400]   they translate it as astrologers,
[00:02:37.400 --> 00:02:41.520]   astrologers, which is more accurate, I think,
[00:02:41.520 --> 00:02:46.520]   and these people are those who study the stars.
[00:02:46.520 --> 00:02:50.960]   They interpret dreams and they see the omen
[00:02:50.960 --> 00:02:55.960]   and are trying to observe the natural differences
[00:02:55.960 --> 00:02:59.200]   in the sky, and they came from the east,
[00:02:59.200 --> 00:03:02.680]   and most probably they came from Babylon
[00:03:02.680 --> 00:03:04.640]   or Arabia or Persia.
[00:03:04.640 --> 00:03:09.640]   (speaking in foreign language)
[00:03:10.160 --> 00:03:12.240]   Now in the ancient Near East,
[00:03:12.240 --> 00:03:15.080]   these people, astrologers,
[00:03:15.080 --> 00:03:19.280]   they believed they could read the signs in the sky,
[00:03:19.280 --> 00:03:22.240]   the heavens, the heavenly bodies,
[00:03:22.240 --> 00:03:25.480]   and they tried to do that in order to predict
[00:03:25.480 --> 00:03:27.440]   the future of the world.
[00:03:27.440 --> 00:03:31.440]   (speaking in foreign language)
[00:03:31.440 --> 00:03:36.160]   Now, in the ancient Near East,
[00:03:36.160 --> 00:03:38.080]   these people, astrologers,
[00:03:38.080 --> 00:03:41.080]   they believed they could read the signs in the sky,
[00:03:41.080 --> 00:03:43.040]   the heavens, the heavenly bodies,
[00:03:43.040 --> 00:03:46.160]   and they tried to do that in order to predict
[00:03:46.160 --> 00:03:48.760]   the future or control the future,
[00:03:48.760 --> 00:03:51.440]   and these are some of the ways the pagans used
[00:03:51.440 --> 00:03:56.440]   to control the gods and the future,
[00:03:56.440 --> 00:04:00.640]   and it's pretty similar to modern-day folk religion
[00:04:00.640 --> 00:04:05.640]   or superstitions, fortune-telling or astrology
[00:04:05.680 --> 00:04:09.080]   to control God, is try to control our future
[00:04:09.080 --> 00:04:12.000]   by looking at the natural phenomena,
[00:04:12.000 --> 00:04:15.160]   but if you are reading this story
[00:04:15.160 --> 00:04:19.360]   from a so-called Jewish biblical perspective,
[00:04:19.360 --> 00:04:22.760]   you'll find that God does not do that.
[00:04:22.760 --> 00:04:25.860]   God does not allow us to control him.
[00:04:25.860 --> 00:04:28.640]   God actually reveals himself personally,
[00:04:28.640 --> 00:04:31.600]   and he sends his prophets, his servants,
[00:04:31.600 --> 00:04:34.680]   and write down scripture to tell us his will,
[00:04:34.680 --> 00:04:37.400]   so as a Jew, if you read this story,
[00:04:37.400 --> 00:04:40.120]   you will look down on the pagans,
[00:04:40.120 --> 00:04:42.240]   the astrologers, the Gentiles,
[00:04:42.240 --> 00:04:45.840]   and even those who are trying to predict the future,
[00:04:45.840 --> 00:04:49.080]   and these very people actually, interestingly,
[00:04:49.080 --> 00:04:52.160]   they travel miles and miles
[00:04:52.160 --> 00:04:54.840]   in order to worship the newborn king, Jesus.
[00:04:54.840 --> 00:05:00.280]   (speaking in foreign language)
[00:05:00.280 --> 00:05:04.200]   (speaking in foreign language)
[00:05:04.200 --> 00:05:08.120]   (speaking in foreign language)
[00:05:08.120 --> 00:05:31.920]   See, this is the first group of people,
[00:05:31.920 --> 00:05:36.120]   the magi, the pagans, they know almost nothing.
[00:05:36.120 --> 00:05:37.800]   They only saw a star,
[00:05:37.800 --> 00:05:40.600]   and they came to worship Jesus, the newborn king.
[00:05:40.600 --> 00:05:42.560]   However, the second group is the scribes,
[00:05:42.560 --> 00:05:46.760]   and we can find their description in verses three and four.
[00:05:46.760 --> 00:05:49.400]   When King Herod heard this,
[00:05:49.400 --> 00:05:53.640]   about the magi seeing a star and came to worship Jesus,
[00:05:53.640 --> 00:05:55.340]   King Herod was disturbed,
[00:05:55.340 --> 00:05:58.880]   and all Jerusalem with him were disturbed.
[00:05:58.880 --> 00:06:01.280]   When he had called together
