
[00:00:00.000 --> 00:00:03.000]  各位好 先跟大家拜個年
[00:00:03.000 --> 00:00:05.680]  我也有兩個小孩的 所以先謝謝大家
[00:00:05.680 --> 00:00:08.900]  新的一年
[00:00:08.900 --> 00:00:10.900]  不知道大家還在想什麼
[00:00:10.900 --> 00:00:12.900]  可能還有新年的氣氛
[00:00:12.900 --> 00:00:14.900]  新一年裡面有什麼計劃等等
[00:00:14.900 --> 00:00:19.700]  所以我也想在這裡有一個新的系列跟大家分享
[00:00:19.700 --> 00:00:21.700]  就是講到教會
[00:00:21.700 --> 00:00:25.200]  講到教會就好像講一個大家庭一樣
[00:00:25.200 --> 00:00:28.700]  如果新年的時候想一下有什麼四字詞語
[00:00:28.700 --> 00:00:30.700]  或者是揮春
[00:00:30.700 --> 00:00:32.700]  跟一家人有關的 有沒有
[00:00:32.700 --> 00:00:35.700]  我想了想也想不到
[00:00:35.700 --> 00:00:37.700]  有什麼揮春
[00:00:37.700 --> 00:00:40.700]  或者是四字詞語是跟一家人有關的
[00:00:40.700 --> 00:00:44.700]  合家平安 OK
[00:00:44.700 --> 00:00:46.700]  我想不到 中文開始差
[00:00:46.700 --> 00:00:48.700]  還有呢
[00:00:48.700 --> 00:00:50.700]  家肥屋潤
[00:00:50.700 --> 00:00:52.700]  嘩 這些真的是
[00:00:52.700 --> 00:00:54.700]  大家吃了很多東西
[00:00:54.700 --> 00:00:56.700]  一團和氣
[00:00:56.700 --> 00:00:58.700]  我也想到一團和氣
[00:00:58.700 --> 00:01:00.700]  真是聰明啊 你們
[00:01:00.700 --> 00:01:03.700]  所以我們想起這些話語的時候
[00:01:03.700 --> 00:01:06.700]  就想起教會其實應該是這樣的
[00:01:06.700 --> 00:01:08.700]  因為聖經裡面怎麼形容教會呢
[00:01:08.700 --> 00:01:12.700]  聖經裡面形容教會是一個家
[00:01:12.700 --> 00:01:15.700]  譬如已忽所書第二章第十九節
[00:01:15.700 --> 00:01:16.700]  他說什麼呢
[00:01:16.700 --> 00:01:18.700]  他說我們信了主的人
[00:01:18.700 --> 00:01:20.700]  在基督裡面的人
[00:01:20.700 --> 00:01:22.700]  就不算是那些所謂的外人
[00:01:22.700 --> 00:01:24.700]  不算是客類
[00:01:24.700 --> 00:01:26.700]  因為我們已經有一個所謂
[00:01:26.700 --> 00:01:29.700]  天國公民的一個身份
[00:01:29.700 --> 00:01:31.700]  屬於某一個國度
[00:01:31.700 --> 00:01:33.700]  屬於某一個國家
[00:01:33.700 --> 00:01:35.700]  這個國家當然就是上頭而來
[00:01:35.700 --> 00:01:38.700]  天上的國家 神的國
[00:01:38.700 --> 00:01:40.700]  就是跟聖徒去同國的
[00:01:40.700 --> 00:01:42.700]  是神家裡面的人
[00:01:42.700 --> 00:01:44.700]  Family of God
[00:01:44.700 --> 00:01:46.700]  God's Family
[00:01:46.700 --> 00:01:48.700]  我們屬於神家裡面的人
[00:01:48.700 --> 00:01:50.700]  所有本地的教會
[00:01:50.700 --> 00:01:52.700]  甚至整個普世的教會
[00:01:52.700 --> 00:01:56.700]  就是一個神家裡面的人
[00:01:56.700 --> 00:01:58.700]  Family of God
[00:01:58.700 --> 00:02:02.700]  所以在新約的時代
[00:02:02.700 --> 00:02:06.700]  保羅 彼得那段時間
[00:02:06.700 --> 00:02:08.700]  他們所有的教會
[00:02:08.700 --> 00:02:10.700]  當然跟我們認識有些不同
[00:02:10.700 --> 00:02:11.700]  本質上一樣
[00:02:11.700 --> 00:02:12.700]  認識有什麼不同呢
[00:02:12.700 --> 00:02:15.700]  就是他們是一些House Church
[00:02:15.700 --> 00:02:17.700]  就是某一個弟兄姊妹
[00:02:17.700 --> 00:02:19.700]  他們的家比較大一點
[00:02:19.700 --> 00:02:21.700]  譬如我們這裡
[00:02:21.700 --> 00:02:23.700]  圍內我們說
[00:02:23.700 --> 00:02:24.700]  誰家裡夠大
[00:02:24.700 --> 00:02:27.700]  我們就去那裡聚會
[00:02:27.700 --> 00:02:29.700]  主日他們就去那裡聚會
[00:02:29.700 --> 00:02:31.700]  這些叫做House Church
[00:02:31.700 --> 00:02:33.700]  所以保羅在這裡這樣說
[00:02:33.700 --> 00:02:36.700]  他說我們作為教會
[00:02:36.700 --> 00:02:38.700]  在基督裡面的人
[00:02:38.700 --> 00:02:40.700]  我們是一個Family
[00:02:40.700 --> 00:02:41.700]  其實是很有意思的
[00:02:41.700 --> 00:02:43.700]  因為這個Setting已經是一個Family
[00:02:43.700 --> 00:02:45.700]  可能在Living Room
[00:02:45.700 --> 00:02:47.700]  在大廳
[00:02:47.700 --> 00:02:49.700]  我們一起坐在一起
[00:02:49.700 --> 00:02:51.700]  就算是一個Family 一個家庭
[00:02:51.700 --> 00:02:54.700]  所以我們在這裡可以去想一想
[00:02:54.700 --> 00:02:55.700]  新的一年
[00:02:55.700 --> 00:02:57.700]  想一想一個比較健康的教會
[00:02:57.700 --> 00:02:59.700]  應該是怎樣的呢
[00:02:59.700 --> 00:03:00.700]  有沒有想過
[00:03:00.700 --> 00:03:02.700]  新的一年應該有一些
[00:03:02.700 --> 00:03:05.700]  新的目標是跟健康有關的
[00:03:05.700 --> 00:03:06.700]  大家是不是
[00:03:06.700 --> 00:03:08.700]  有誰是想減肥的
[00:03:08.700 --> 00:03:10.700]  不用舉手
[00:03:10.700 --> 00:03:12.700]  有 有人舉手
[00:03:12.700 --> 00:03:13.700]  很勇敢
[00:03:13.700 --> 00:03:14.700]  後面很多
[00:03:14.700 --> 00:03:16.700]  工作人員那裡
[00:03:16.700 --> 00:03:18.700]  當然坐在那裡
