
[00:00:00.000 --> 00:00:11.000]  各位大家好,我們今天很開心有四位加上我分享的人
[00:00:11.000 --> 00:00:15.000]  第一位就是Mark Sir,陳松基牧師
[00:00:15.000 --> 00:00:19.000]  第二位是Gordon,Dr. Gordon
[00:00:19.000 --> 00:00:23.000]  第三位就是Tony牧師
[00:00:23.000 --> 00:00:26.000]  我想請幾位來介紹一下自己
[00:00:26.000 --> 00:00:31.000]  今天的題目就是從信仰百川到港風之谷
[00:00:31.000 --> 00:00:39.000]  很明顯是一個介紹一些新的主題
[00:00:39.000 --> 00:00:43.000]  不如逐個介紹一下吧,我先請Mark Sir
[00:00:43.000 --> 00:00:47.000]  其實每個人都叫我Mark Sir,不用命牧師
[00:00:47.000 --> 00:00:50.000]  我在美國的芝加哥牧警會
[00:00:50.000 --> 00:00:53.000]  一直以來二十多年都是牧警會
[00:00:53.000 --> 00:00:59.000]  一直都是一個本地教會的牧者
[00:00:59.000 --> 00:01:06.000]  有時候會發表一下自己的讀經、研經的心得等等
[00:01:06.000 --> 00:01:11.000]  所以我們有一個成員網台,這個就是很簡單的我的角色
[00:01:11.000 --> 00:01:14.000]  Tony呢?
[00:01:14.000 --> 00:01:18.000]  大家好,我叫Tony,黃家漢
[00:01:18.000 --> 00:01:21.000]  其實我一直都是在加拿大牧會的十幾年
[00:01:21.000 --> 00:01:24.000]  特別是我在加拿大的中部和西部牧會
[00:01:24.000 --> 00:01:27.000]  我現在在加拿大卡加里的牧羊教會
[00:01:27.000 --> 00:01:32.000]  本身除了牧會之外,我還會讀書和教書
[00:01:32.000 --> 00:01:34.000]  所以都忙到飛起
[00:01:34.000 --> 00:01:39.000]  有時候都會寫文章,寫詩
[00:01:39.000 --> 00:01:44.000]  有空間的時候我都會發表
[00:01:44.000 --> 00:01:47.000]  這是我的小小故事,是我自己
[00:01:47.000 --> 00:01:52.000]  多謝Tony,輪到Dr. Gordon了
[00:01:52.000 --> 00:01:57.000]  大家好,今天有三位牧師在
[00:01:57.000 --> 00:02:00.000]  我是一個很普通的小人物
[00:02:00.000 --> 00:02:03.000]  我叫自己做一個全身都沒有張力的人
[00:02:03.000 --> 00:02:08.000]  正職是做醫生的,但過去兩年就半退休
[00:02:08.000 --> 00:02:12.000]  在做一些幫人顧問的項目
[00:02:12.000 --> 00:02:14.000]  我也讀過神學
[00:02:14.000 --> 00:02:21.000]  我自己比較專注在教會的文化
[00:02:21.000 --> 00:02:24.000]  也有空閒時寫文章之類
[00:02:24.000 --> 00:02:28.000]  多謝你的介紹,我也自我介紹一下
[00:02:28.000 --> 00:02:35.000]  我還忘記說,這次應該是成會網台和我自己的頻道
[00:02:35.000 --> 00:02:37.000]  礦牧頻道的一個聯播
[00:02:37.000 --> 00:02:42.000]  我叫礦偉志,我已經牧了牧很多年
[00:02:42.000 --> 00:02:47.000]  做過不同的教會機構,最多就是做報道訓練
[00:02:47.000 --> 00:02:50.000]  我現在是雪梨牧會的
[00:02:50.000 --> 00:02:53.000]  我也是一個很普通的人
[00:02:53.000 --> 00:02:57.000]  大家都很謙虛
[00:02:57.000 --> 00:03:00.000]  所以為什麼會走在一起呢?
[00:03:00.000 --> 00:03:04.000]  我們這四位,就像我們主題所說
[00:03:04.000 --> 00:03:06.000]  由信仰百川說起
[00:03:06.000 --> 00:03:09.000]  不如我們逐個說一下
[00:03:09.000 --> 00:03:13.000]  大家在信仰百川的參與
[00:03:13.000 --> 00:03:16.000]  信仰百川應該有十多年了
[00:03:16.000 --> 00:03:18.000]  很久了,十多年了
[00:03:18.000 --> 00:03:21.000]  前陣子就結束了
[00:03:21.000 --> 00:03:23.000]  突然shut down了
[00:03:23.000 --> 00:03:27.000]  很多人都覺得很可惜
[00:03:27.000 --> 00:03:29.000]  當然有些人可能很開心,我不知道
[00:03:29.000 --> 00:03:33.000]  但這幾位一直都有參與
[00:03:33.000 --> 00:03:35.000]  不如說一下
[00:03:35.000 --> 00:03:39.000]  信仰百川你曾經有什麼參與
[00:03:39.000 --> 00:03:41.000]  其實你是怎麼看呢?
[00:03:41.000 --> 00:03:43.000]  為什麼會參與?
[00:03:43.000 --> 00:03:45.000]  或者在網上的世界
[00:03:45.000 --> 00:03:50.000]  其實你覺得現在網路的風氣是怎麼樣呢?
[00:03:50.000 --> 00:03:52.000]  還是請Mark Sir先說
[00:03:52.000 --> 00:03:55.000]  我在百川,像礦牧你所說
[00:03:55.000 --> 00:03:57.000]  都十多年了
[00:03:57.000 --> 00:03:59.000]  我都是寫我的文章
[00:03:59.000 --> 00:04:01.000]  最近當然就多了
[00:04:01.000 --> 00:04:03.000]  除了分享文章
[00:04:03.000 --> 00:04:05.000]  有時分享一些視頻
[00:04:05.000 --> 00:04:07.000]  一些短的影片等等
[00:04:07.000 --> 00:04:11.000]  我一直都很喜歡百川的氣氛
[00:04:11.000 --> 00:04:14.000]  因為我覺得是一個很好的空間
[00:04:14.000 --> 00:04:16.000]  給大兄姐妹,甚至我們這些牧者
[00:04:16.000 --> 00:04:19.000]  能夠發表一下,或者討論一下
[00:04:19.000 --> 00:04:21.000]  一些topic
[00:04:21.000 --> 00:04:24.000]  有時候在一些傳統教會的框架裏
[00:04:24.000 --> 00:04:26.000]  未必有空間
[00:04:26.000 --> 00:04:29.000]  或者未必有時間給我們去說這些東西
[00:04:29.000 --> 00:04:32.000]  所以我一直都很喜歡信仰百川
[00:04:32.000 --> 00:04:34.000]  不單止我自己可以發表
[00:04:34.000 --> 00:04:36.000]  我們都看到別人發表
[00:04:36.000 --> 00:04:38.000]  Tony可以寫一些詩
[00:04:38.000 --> 00:04:40.000]  Tony又可以發表一下他的文章
[00:04:40.000 --> 00:04:42.000]  我們又可以學到其他東西
[00:04:42.000 --> 00:04:45.000]  我覺得是一個互相學習的平台
[00:04:45.000 --> 00:04:47.000]  特別在這個世代
[00:04:47.000 --> 00:04:49.000]  是非常需要
[00:04:49.000 --> 00:04:52.000]  不是一言堂,是大家一起來去談
[00:04:52.000 --> 00:04:58.000]  我同意,其實
[00:04:58.000 --> 00:05:00.000]  你講就講吧
[00:05:00.000 --> 00:05:02.000]  其實就像Mark Sir所說
[00:05:02.000 --> 00:05:04.000]  當初參與信仰百川
[00:05:04.000 --> 00:05:07.000]  差不多是一開始我已經參與
