
[00:00:00.000 --> 00:00:04.720]  [掌聲]
[00:00:04.720 --> 00:00:06.720]  弟兄姊妹平安
[00:00:06.720 --> 00:00:09.720]  今日真係好高興可以返到嚟自己屋企
[00:00:09.720 --> 00:00:12.720]  呢個唔係即係隨便嘅教會
[00:00:12.720 --> 00:00:14.220]  呢個係我自己屋企
[00:00:14.220 --> 00:00:16.220]  因為我認識好多弟兄姊妹
[00:00:16.220 --> 00:00:19.720]  好多弟兄姊妹響到長大嘅
[00:00:19.720 --> 00:00:22.220]  同埋好多導師都響到教導我嘅
[00:00:22.220 --> 00:00:24.220]  咁樣啊
[00:00:24.220 --> 00:00:26.220]  真係好開心今日有機會響到同大家
[00:00:26.220 --> 00:00:28.220]  分享我哋宣教嘅經歷
[00:00:28.220 --> 00:00:31.220]  但係我都同你哋講先
[00:00:31.220 --> 00:00:33.220]  你大部份都認識我係邊個啦
[00:00:33.220 --> 00:00:36.220]  我響到都好怦怦跳嘅我心跳
[00:00:36.220 --> 00:00:38.220]  因為我今日要講廣東話
[00:00:38.220 --> 00:00:40.220]  同埋你哋知道我廣東話嘅
[00:00:40.220 --> 00:00:42.220]  文化嘅水平唔高
[00:00:42.220 --> 00:00:44.220]  但係先要打個底
[00:00:44.220 --> 00:00:46.220]  因為有啲弟兄姊妹唔認識我
[00:00:46.220 --> 00:00:49.220]  咁我啲中文嘅水平
[00:00:49.220 --> 00:00:51.220]  基本上係交TBB學費嘅啫
[00:00:51.220 --> 00:00:55.220]  所以有啲詞比較地道啲呢
[00:00:55.220 --> 00:00:57.220]  即係英文比較Ghetto啲呢
[00:00:57.220 --> 00:00:59.220]  請大家見諒啊
[00:00:59.220 --> 00:01:01.220]  咁樣
[00:01:01.220 --> 00:01:05.220]  已經去咗三年半啦
[00:01:05.220 --> 00:01:07.220]  咁我都估唔到咁快已經一任響到台灣
[00:01:07.220 --> 00:01:10.220]  咁我響台灣真係有啲習慣嘅
[00:01:10.220 --> 00:01:12.220]  最唔習慣返到嚟第一樣嘢就係
[00:01:12.220 --> 00:01:14.220]  點解咁會動嘅私家歌
[00:01:14.220 --> 00:01:17.220]  咁樣啊
[00:01:17.220 --> 00:01:18.220]  咁我響台灣宣教呢
[00:01:18.220 --> 00:01:20.220]  基本上呢我係響
[00:01:20.220 --> 00:01:21.220]  冇好人響高雄
[00:01:21.220 --> 00:01:23.220]  我係響直唐嘅響屏東市
[00:01:23.220 --> 00:01:25.220]  一個好細嘅城市響
[00:01:25.220 --> 00:01:27.220]  高雄嘅東邊
[00:01:27.220 --> 00:01:29.220]  大概四十五分鐘嘅車程
[00:01:29.220 --> 00:01:31.220]  咁教會你見到
[00:01:31.220 --> 00:01:33.220]  右邊嗰張呢就係
[00:01:33.220 --> 00:01:35.220]  大概教會前面嘅門口啦
[00:01:35.220 --> 00:01:36.220]  閂咗閘而家
