
[00:00:00.000 --> 00:00:02.000]  各位聽眾,每個早晨
[00:00:02.000 --> 00:00:04.000]  這次我們繼續看《跨越》這個系列
[00:00:04.000 --> 00:00:06.000]  我們特別看到司徒行傳
[00:00:06.000 --> 00:00:08.000]  講到初期教會的一些故事
[00:00:08.000 --> 00:00:10.000]  路加修習這些故事的時候
[00:00:10.000 --> 00:00:12.000]  想告訴每一代的
[00:00:12.000 --> 00:00:14.000]  世代的教會,包括我們
[00:00:14.000 --> 00:00:16.000]  到底有什麼需要我們注意
[00:00:16.000 --> 00:00:20.000]  以及如何在聖靈降臨之後
[00:00:20.000 --> 00:00:22.000]  我們有福音的生命能夠活出來
[00:00:22.000 --> 00:00:26.000]  所以我們今天繼續看第九章
[00:00:26.000 --> 00:00:28.000]  司徒行傳第九章
[00:00:28.000 --> 00:00:30.000]  講到掃羅
[00:00:30.000 --> 00:00:32.000]  他的歸主的故事
[00:00:32.000 --> 00:00:34.000]  在大馬色的路上
[00:00:34.000 --> 00:00:36.000]  他去迫害教會
[00:00:36.000 --> 00:00:38.000]  但在路上榮耀的基督
[00:00:38.000 --> 00:00:40.000]  榮耀的恩典
[00:00:40.000 --> 00:00:42.000]  向他顯現,將他擊倒
[00:00:42.000 --> 00:00:44.000]  你記得在第九章
[00:00:44.000 --> 00:00:46.000]  講到他被擊倒之後
[00:00:46.000 --> 00:00:48.000]  這位強人的保羅
[00:00:48.000 --> 00:00:50.000]  終於認輸了
[00:00:50.000 --> 00:00:52.000]  可以這麼說
[00:00:52.000 --> 00:00:54.000]  然後現在有人拉著他的手
[00:00:54.000 --> 00:00:56.000]  看不到東西,瞎了眼
[00:00:56.000 --> 00:00:58.000]  然後領他進大馬士革
[00:00:58.000 --> 00:01:00.000]  三天不吃不喝
[00:01:00.000 --> 00:01:02.000]  對猶太人來說
[00:01:02.000 --> 00:01:08.000]  這是一個非常嚴峻的禁食的習慣
[00:01:08.000 --> 00:01:10.000]  就是他悔改
[00:01:10.000 --> 00:01:16.000]  再一次尋求神的經歷
[00:01:16.000 --> 00:01:20.000]  第九章交代了掃羅如何信主之後
[00:01:20.000 --> 00:01:22.000]  有另一個故事講到
[00:01:22.000 --> 00:01:24.000]  掃羅如何被接納
[00:01:24.000 --> 00:01:26.000]  被歡迎進入教會
[00:01:26.000 --> 00:01:28.000]  無論如何,這裡講到掃羅
[00:01:28.000 --> 00:01:30.000]  他的信主經歷在大馬色的路上
[00:01:30.000 --> 00:01:32.000]  我相信這裡講到
[00:01:32.000 --> 00:01:34.000]  一個很重要的
[00:01:34.000 --> 00:01:36.000]  歸主的經歷
