
[00:00:00.000 --> 00:00:04.600]  咁今日嘅講到呢中英中英文堂呢都係Mark Sir嘅
[00:00:04.600 --> 00:00:06.600]  咁而家將時間交畀佢
[00:00:06.600 --> 00:00:09.400]  早晨各位
[00:00:09.400 --> 00:00:10.400]  大家好
[00:00:10.400 --> 00:00:12.600]  我要同大家講Happy Birthday
[00:00:12.600 --> 00:00:15.800]  因為呢我哋成會七年
[00:00:15.800 --> 00:00:19.400]  所以我哋呢今個主日呢上個禮拜我哋啱啱Celebrate咗
[00:00:19.400 --> 00:00:21.400]  我哋就開始七歲
[00:00:21.400 --> 00:00:24.600]  你唔介意嘅話你同隔離嗰個講Happy Birthday
[00:00:24.600 --> 00:00:26.600]  有冇邊個今日生日㗎
[00:00:26.600 --> 00:00:27.800]  冇啊OK
[00:00:27.800 --> 00:00:30.600]  咁即係我哋大家教會一齊生日啦係咪
[00:00:30.600 --> 00:00:32.000]  All right very good very good
[00:00:32.000 --> 00:00:35.600]  我哋上一次呢係復活嘅主日
[00:00:35.600 --> 00:00:39.600]  咁所以我哋有堂慶啦同埋我哋去Celebrate我哋嘅Easter
[00:00:39.600 --> 00:00:41.600]  咁但係好多時呢我哋好多時呢
[00:00:41.600 --> 00:00:45.600]  就會留低咗停咗喺呢一個地步
[00:00:45.600 --> 00:00:49.600]  跟住我哋覺得上個禮拜係Easter Sunday
[00:00:49.600 --> 00:00:53.000]  然之後呢我哋就繼續Move on 我哋就唔理啦
[00:00:53.000 --> 00:00:56.200]  我已經過咗復活節啦我哋可能你哋有細路嘅
[00:00:56.200 --> 00:01:01.000]  我見到你好多相片走去攞雞蛋走去做Egg Hunt等等
[00:01:01.000 --> 00:01:05.600]  Well 我哋好多時呢就停留咗Easter Sunday
[00:01:05.600 --> 00:01:08.400]  Celebrate咗然之後呢我哋Put it behind
[00:01:08.400 --> 00:01:11.800]  然之後我哋就唔記得到底發生咩事
[00:01:11.800 --> 00:01:15.200]  好多時呢我哋諗我哋基督教信仰嘅時候
[00:01:15.200 --> 00:01:18.400]  諗起聖經嘅信仰嘅時候我哋都有咁嘅感覺嘅
[00:01:18.400 --> 00:01:22.600]  我哋好多時就係會諗十字架
[00:01:22.600 --> 00:01:24.400]  The Cross
[00:01:24.400 --> 00:01:25.800]  咁呢個冇錯嘅
[00:01:25.800 --> 00:01:29.800]  上帝嘅愛喺十字架上面表明出嚟係咪
[00:01:29.800 --> 00:01:33.200]  耶穌幾多喺十字架上面為我哋犧牲呢個冇錯嘅
[00:01:33.200 --> 00:01:35.400]  不過好多時呢我哋淨係諗起十字架
[00:01:35.400 --> 00:01:38.600]  就係耶穌為我哋犧牲就停咗喺嗰度
[00:01:38.600 --> 00:01:40.800]  如果睇下四福音書
[00:01:40.800 --> 00:01:44.000]  瑪太馬可路加同埋約翰
[00:01:44.000 --> 00:01:47.600]  再睇埋新約嘅書卷嘅話
[00:01:47.600 --> 00:01:54.200]  你會知道基督教信仰唔係淨係基於上帝嘅愛嘅
[00:01:54.200 --> 00:02:00.800]  往往初期教會只能夠可以傳揚主嘅福音
[00:02:00.800 --> 00:02:05.000]  能夠周圍去建立教會並且歷世歷代係不敗嘅
[00:02:05.000 --> 00:02:08.000]  唔係淨係因為上帝嘅愛
[00:02:08.000 --> 00:02:13.400]  而係因為上帝嘅義子復活
[00:02:13.400 --> 00:02:16.000]  復活嘅主日唔係單單一
[00:02:16.000 --> 00:02:18.600]  52個禮拜裏面一個嘅主日
[00:02:18.600 --> 00:02:20.800]  唔係單單一個嘅節期
[00:02:20.800 --> 00:02:22.800]  我哋守完就完啦
[00:02:22.800 --> 00:02:24.800]  而係一個嘅基礎
[00:02:24.800 --> 00:02:28.200]  正因為耶穌喺死裏面復活
[00:02:28.200 --> 00:02:31.600]  所以點解初期教會能夠有咁嘅勇氣
[00:02:31.600 --> 00:02:33.200]  能夠有咁嘅能力
[00:02:33.200 --> 00:02:35.200]  可以去周圍
[00:02:35.200 --> 00:02:37.200]  穿州過省
[00:02:37.200 --> 00:02:40.200]  去到去傳揚主嘅福音建立上帝嘅教會
