
[00:00:00.000 --> 00:00:04.480]  各位大家好,我們有第二集
[00:00:04.480 --> 00:00:07.480]  上次就說到流放神學
[00:00:07.480 --> 00:00:09.640]  流散神學
[00:00:09.640 --> 00:00:13.320]  有很多精彩的討論
[00:00:13.320 --> 00:00:16.560]  我們不再詳細介紹
[00:00:16.560 --> 00:00:17.880]  我有幾位嘉賓
[00:00:17.880 --> 00:00:20.280]  我們有胡志偉牧師在英國
[00:00:20.280 --> 00:00:23.840]  我們有王啟泰牧師在澳洲
[00:00:23.840 --> 00:00:25.560]  他現在在墨爾本
[00:00:25.560 --> 00:00:27.080]  雪梨兩邊走
[00:00:27.080 --> 00:00:31.200]  芝加哥的Mark Sir 陳崇經牧師
[00:00:31.200 --> 00:00:33.280]  我們繼續討論
[00:00:33.280 --> 00:00:37.160]  今天的焦點想補充一點
[00:00:37.160 --> 00:00:39.000]  和落地一點
[00:00:39.000 --> 00:00:41.840]  上次的結論
[00:00:41.840 --> 00:00:44.320]  如果我說錯了大家可以correct我
[00:00:44.320 --> 00:00:47.280]  就是我們探討到流散神學
[00:00:47.280 --> 00:00:49.400]  其實真的很闊
[00:00:49.400 --> 00:00:53.000]  也有很多角度可以看
[00:00:53.000 --> 00:00:54.840]  也有很多的explorer
[00:00:54.840 --> 00:00:58.880]  所以我想大家會不會有些補充
[00:00:58.880 --> 00:01:03.960]  上次我們從聖經神學那方面去討論
[00:01:03.960 --> 00:01:07.000]  會不會在歷史神學方面
[00:01:07.000 --> 00:01:10.760]  或者在教會歷史上有些參照
[00:01:10.760 --> 00:01:13.280]  可能有某些族群或基督徒
[00:01:13.280 --> 00:01:17.160]  他們都經歷這些流散流放
[00:01:17.160 --> 00:01:20.160]  以致我們再豐富一點
[00:01:20.160 --> 00:01:24.240]  從這個角度去看這個題目
[00:01:24.240 --> 00:01:27.600]  或者先由胡牧師開始
[00:01:27.600 --> 00:01:29.680]  我還想先讓黃牧師講
[00:01:29.680 --> 00:01:34.240]  沒所謂不用這麼禮讓
[00:01:34.240 --> 00:01:37.480]  教會歷史上我相信有很多不同的例子
[00:01:37.480 --> 00:01:42.240]  在昆士坦丁還沒承認基督教作為國教之前
[00:01:42.240 --> 00:01:44.800]  當時已經有不少的主教
[00:01:44.800 --> 00:01:46.600]  因為政治的迫迫
[00:01:46.600 --> 00:01:48.160]  他們要逃亡
[00:01:48.160 --> 00:01:49.920]  這個我們在歷史上可以看到
[00:01:49.920 --> 00:01:53.640]  甚至他們有些選擇走
[00:01:53.640 --> 00:01:54.720]  有些選擇不走
[00:01:54.720 --> 00:01:56.000]  都有些書
[00:01:56.000 --> 00:01:58.080]  特別是在教父著作裡面
[00:01:58.080 --> 00:01:59.120]  我們可以看到
[00:01:59.120 --> 00:02:01.760]  後來當然到了中世紀的時候
[00:02:01.760 --> 00:02:03.520]  這種流放
[00:02:03.520 --> 00:02:06.080]  你也可以說修道院
[00:02:06.080 --> 00:02:07.400]  整個修道運動
[00:02:07.400 --> 00:02:11.840]  都是代表一群追求靈性的基督徒
[00:02:11.840 --> 00:02:16.160]  他們不滿當時的所謂建制或者教會的腐化
[00:02:16.160 --> 00:02:19.280]  他們就選擇將自己放逐
[00:02:19.280 --> 00:02:22.640]  組成群體在歐洲不同的地方裡面
[00:02:22.640 --> 00:02:24.000]  來建立修道院
[00:02:24.000 --> 00:02:26.640]  過一種群居的生活
[00:02:26.640 --> 00:02:29.200]  到了宗教改革的時候更加明顯
[00:02:29.200 --> 00:02:30.480]  其中一個最典型
[00:02:30.480 --> 00:02:32.640]  大家都熟悉的例子就是加爾文
[00:02:32.640 --> 00:02:37.920]  加爾文他逃難跑到日內瓦
[00:02:37.920 --> 00:02:40.240]  在那裡開始宗教改革
[00:02:40.240 --> 00:02:42.840]  甚至當時如果看回英國的時候
[00:02:42.840 --> 00:02:44.320]  因為我在英國
[00:02:44.320 --> 00:02:46.440]  我就會多一點了解
[00:02:46.440 --> 00:02:52.680]  當時有不少的所謂不服從國教的領袖
[00:02:52.680 --> 00:02:55.000]  當時避難就跑去荷蘭
[00:02:55.000 --> 00:02:56.840]  因為荷蘭很近英國
[00:02:56.840 --> 00:02:58.280]  所以不少人跑去那裡
[00:02:58.280 --> 00:03:02.200]  甚至翻譯聖經很著名的就是William Tyndale
[00:03:02.200 --> 00:03:06.400]  他將聖經翻譯成英文
[00:03:06.400 --> 00:03:07.760]  後來就殉道
[00:03:07.760 --> 00:03:11.240]  他一段時間都在荷蘭這個地方裡面
[00:03:11.240 --> 00:03:15.280]  過著一種放逐或者流放的生活
[00:03:15.280 --> 00:03:18.240]  後來再發展到5月3日
[00:03:18.240 --> 00:03:23.280]  一群清教徒坐船去到美洲新大陸
[00:03:23.280 --> 00:03:26.920]  去建立他們理想的教會生活
[00:03:26.920 --> 00:03:30.720]  所以在歷史裡面這種的逝世
[00:03:30.720 --> 00:03:32.840]  無論是被迫也好
[00:03:32.840 --> 00:03:33.920]  自己選擇也好
[00:03:33.920 --> 00:03:35.560]  是有不少的例子
[00:03:35.560 --> 00:03:38.600]  下面那些我就交給黃牧師補充了
[00:03:38.600 --> 00:03:42.800]  其實剛才黃牧師提到教父
[00:03:42.800 --> 00:03:45.680]  其實有一個著名的人物居普良
[00:03:45.680 --> 00:03:48.000]  其實他在大壁包裡
[00:03:48.000 --> 00:03:50.680]  第一次的時候他是逃跑的
[00:03:50.680 --> 00:03:53.040]  第二次他就留下
[00:03:53.040 --> 00:03:54.360]  最後就殉道
[00:03:54.360 --> 00:03:57.160]  其實他逃跑的原因很簡單
[00:03:57.160 --> 00:03:59.920]  第一他目標太大
