
[00:00:00.000 --> 00:00:03.040]  我們繼續Evan的系列
[00:00:03.040 --> 00:00:04.040]  今次第二講
[00:00:04.040 --> 00:00:05.140]  我們講到
[00:00:05.140 --> 00:00:06.940]  《盧家福音》第一、二章
[00:00:06.940 --> 00:00:09.900]  我們上一次講到特別的英孩
[00:00:09.900 --> 00:00:11.900]  報喜就是施洗若寒
[00:00:11.900 --> 00:00:13.740]  是一章五至二十五節
[00:00:13.740 --> 00:00:15.000]  今次我們看到
[00:00:15.000 --> 00:00:16.500]  另一個英孩的報喜
[00:00:16.500 --> 00:00:19.100]  他出生的報喜就是耶穌我們的救主
[00:00:19.100 --> 00:00:22.140]  是一章二十六至三十八節
[00:00:22.140 --> 00:00:23.600]  我們重申一點
[00:00:23.600 --> 00:00:25.000]  在聖誕節來到的時候
[00:00:25.000 --> 00:00:26.640]  我們需要去復原一件事
[00:00:26.640 --> 00:00:27.900]  記不記得是什麼
[00:00:27.900 --> 00:00:29.300]  是一個奇蹟
[00:00:29.300 --> 00:00:31.800]  那個驚喜
[00:00:31.800 --> 00:00:34.900]  就是一個新的生命的誕生
[00:00:34.900 --> 00:00:37.100]  還是我們神的兒子
[00:00:37.100 --> 00:00:39.500]  救贖主耶穌基督誕生
[00:00:39.500 --> 00:00:41.900]  那種驚喜上帝為我們預備的
[00:00:41.900 --> 00:00:44.000]  上帝所做的
[00:00:44.000 --> 00:00:46.500]  是過於人所想所求
[00:00:46.500 --> 00:00:48.900]  不只是多於你想的
[00:00:48.900 --> 00:00:52.200]  跟你想的完全不一樣
[00:00:52.200 --> 00:00:56.200]  這就是上帝在聖誕節給我們的驚喜
[00:00:56.200 --> 00:00:59.200]  耶穌出生的報喜
[00:00:59.200 --> 00:01:00.300]  我們一起來看看
[00:01:00.300 --> 00:01:02.300]  一章二十六節
[00:01:02.400 --> 00:01:04.400]  到了第六個月
[00:01:04.400 --> 00:01:07.500]  天使加伯列奉神的差遣
[00:01:07.500 --> 00:01:10.000]  往加利利的一座城去
[00:01:10.000 --> 00:01:11.500]  這城名叫那撒勒
[00:01:11.500 --> 00:01:13.000]  到一個童女那裡
[00:01:13.000 --> 00:01:16.100]  她已經許配戴維加的一個人名叫約瑟
[00:01:16.100 --> 00:01:17.800]  童女的名字是瑪麗亞
[00:01:17.800 --> 00:01:19.500]  天使進去對她說
[00:01:19.500 --> 00:01:21.500]  蒙大恩的女子你好
[00:01:21.500 --> 00:01:23.500]  主和你同在
[00:01:23.500 --> 00:01:26.100]  瑪麗亞因這話就很驚慌
[00:01:26.100 --> 00:01:30.400]  又反覆思考這些問候是什麼意思
[00:01:30.400 --> 00:01:33.400]  這裡說到了第六個月
[00:01:33.400 --> 00:01:34.400]  就是什麼時候呢
[00:01:34.400 --> 00:01:36.400]  就是說之前的報喜
[00:01:36.400 --> 00:01:37.900]  就是施洗約翰的報喜
[00:01:37.900 --> 00:01:39.200]  六個月之後
[00:01:39.200 --> 00:01:40.200]  這個時候
[00:01:40.200 --> 00:01:41.500]  伊麗莎白
[00:01:41.500 --> 00:01:43.500]  就是她的表姐
[00:01:43.500 --> 00:01:44.800]  或者表姨媽
[00:01:44.800 --> 00:01:46.800]  總之是親戚
[00:01:46.800 --> 00:01:52.300]  已經有新人大概六個月的時間
[00:01:52.300 --> 00:01:54.300]  六個月是不是要見肚子了
[00:01:54.300 --> 00:01:55.500]  是不是
[00:01:55.500 --> 00:01:56.700]  六個月應該見肚子了
[00:01:56.700 --> 00:01:57.700]  因為我不知道
[00:01:57.700 --> 00:02:00.100]  六個月應該見肚子
[00:02:00.100 --> 00:02:01.400]  我們中年發福
[00:02:01.400 --> 00:02:05.000]  我們就知道很多年會見肚子
[00:02:05.000 --> 00:02:08.000]  但是那些懷孕的應該六個月就見肚子
[00:02:08.000 --> 00:02:10.600]  這裡就是天使加巴列
[00:02:10.600 --> 00:02:12.200]  就去了拿撒亞這個地方
[00:02:12.200 --> 00:02:14.200]  和瑪麗亞報喜
[00:02:14.200 --> 00:02:20.400]  說她會有上帝的恩典臨到她
[00:02:20.400 --> 00:02:22.200]  你想象一下
[00:02:22.200 --> 00:02:24.600]  以前的人和我們今天的人都一樣
[00:02:24.600 --> 00:02:27.200]  我們人生裡面總會有計劃的
[00:02:27.200 --> 00:02:29.200]  雖然我們不是每個人都一樣
[00:02:29.200 --> 00:02:31.200]  不是每個人都是one size fits all
[00:02:31.200 --> 00:02:33.200]  但是我們每個人在不同的階段
[00:02:33.200 --> 00:02:35.200]  我們都會想不同的東西
[00:02:35.200 --> 00:02:36.700]  我們人生階段到了這裡
[00:02:36.700 --> 00:02:38.200]  我們就應該要上學
[00:02:38.200 --> 00:02:40.700]  然後就要畢業等等等等
[00:02:40.700 --> 00:02:42.700]  不是一定每個人都一樣
[00:02:42.700 --> 00:02:45.200]  但是每個文化每個時代
[00:02:45.200 --> 00:02:47.200]  都會有一個人為的
[00:02:47.200 --> 00:02:50.200]  人生的一些預料計劃
[00:02:50.200 --> 00:02:51.700]  今天是這樣
[00:02:51.700 --> 00:02:53.700]  當時也是這樣
[00:02:53.700 --> 00:02:55.200]  考慮到這裡的時候
[00:02:55.200 --> 00:02:57.700]  你就可以嘗試去揣測一下
[00:02:57.700 --> 00:02:59.700]  這裡有什麼驚慌
[00:02:59.700 --> 00:03:02.700]  有什麼驚訝
[00:03:02.700 --> 00:03:06.700]  瑪麗亞是出自一個
[00:03:06.700 --> 00:03:09.700]  敬虔的猶太人家庭
[00:03:09.700 --> 00:03:10.700]  這個我們知道的
[00:03:10.700 --> 00:03:12.700]  因為之後她所說的話
[00:03:12.700 --> 00:03:14.700]  或者她唱的贊尼斯
[00:03:14.700 --> 00:03:16.700]  都是一些經典的詩篇
[00:03:16.700 --> 00:03:18.700]  她應該很明白舊約裡面
