
[00:00:00.000 --> 00:00:00.500]  Help me
[00:00:00.500 --> 00:00:13.380]  Sound good
[00:00:13.380 --> 00:00:14.420]  All right
[00:00:14.420 --> 00:00:14.920]  All right
[00:00:14.920 --> 00:00:15.720]  Thank you very much
[00:00:15.720 --> 00:00:17.260]  Mark thank you very much
[00:00:17.260 --> 00:00:18.680]  for inviting me back again
[00:00:18.680 --> 00:00:19.840]  You know
[00:00:19.840 --> 00:00:21.300]  It's been a couple of weeks
[00:00:21.300 --> 00:00:22.600]  since I was last here
[00:00:22.600 --> 00:00:23.920]  And I will probably say
[00:00:23.920 --> 00:00:26.180]  After I spoke to you guys
[00:00:26.180 --> 00:00:27.800]  I have been literally
[00:00:27.800 --> 00:00:29.140]  been on the road
[00:00:29.140 --> 00:00:30.640]  for the last couple of weeks
[00:00:30.640 --> 00:00:32.800]  I think I've been more
[00:00:32.800 --> 00:00:34.500]  in hotel rooms
[00:00:34.500 --> 00:00:36.500]  and traveling on planes
[00:00:36.500 --> 00:00:39.000]  than I actually have been at home
[00:00:39.000 --> 00:00:41.420]  And so it is good to be back here
[00:00:41.420 --> 00:00:43.080]  at least for the next week
[00:00:43.080 --> 00:00:44.640]  that I'm off to Seattle this week
[00:00:44.640 --> 00:00:46.180]  that I'm back in Texas
[00:00:46.180 --> 00:00:46.960]  and Los Angeles
[00:00:46.960 --> 00:00:48.220]  for the next couple of weeks
[00:00:48.220 --> 00:00:50.300]  before finally being home again in June
[00:00:50.300 --> 00:00:52.640]  We've been starting this series
[00:00:52.640 --> 00:00:53.680]  on the book of
[00:00:53.680 --> 00:00:55.100]  the first Kings
[00:00:55.100 --> 00:00:57.420]  where we looked at the character Elijah
[00:00:58.100 --> 00:00:59.560]  Elijah when we first began
[00:00:59.560 --> 00:01:02.140]  in first Kings 17 1-7
[00:01:02.140 --> 00:01:04.560]  We saw that Elijah literally means
[00:01:04.560 --> 00:01:06.640]  that our introduction of Elijah was this
[00:01:06.640 --> 00:01:09.600]  We know that his name literally means
[00:01:09.600 --> 00:01:12.140]  My God is Jehovah
[00:01:12.140 --> 00:01:14.140]  DL means My God
