
[00:00:00.000 --> 00:00:01.520]   Good morning, UV.
[00:00:01.520 --> 00:00:05.920]   I hope all of you are able to stay cool this past week.
[00:00:05.920 --> 00:00:09.040]   I'm thankful for just the church here.
[00:00:09.040 --> 00:00:12.440]   Mark brought a portable AC on Monday,
[00:00:12.440 --> 00:00:16.200]   so it came in clutch for me this week.
[00:00:16.200 --> 00:00:19.340]   But before we get into the word, let's pray.
[00:00:19.340 --> 00:00:22.780]   Heavenly Father, we thank you
[00:00:22.780 --> 00:00:26.600]   that we are able to come together this morning
[00:00:26.600 --> 00:00:29.700]   and be here worshiping you and fellowship.
[00:00:29.700 --> 00:00:32.220]   We find another, I just ask that,
[00:00:32.220 --> 00:00:35.120]   as we're about to open up your word and study your word,
[00:00:35.120 --> 00:00:38.560]   I ask that your Holy Spirit will be with us,
[00:00:38.560 --> 00:00:40.600]   that your spirit will open up our heart
[00:00:40.600 --> 00:00:44.400]   so that we're able to receive what you have for us today.
[00:00:44.400 --> 00:00:48.440]   And I ask that your word will be transforming in our life
[00:00:48.440 --> 00:00:51.480]   and that it will, yeah, just make a change
[00:00:51.480 --> 00:00:53.280]   in the way that we live our life.
[00:00:53.280 --> 00:00:56.200]   And I also ask for your spirit will be with me as I preach
[00:00:56.200 --> 00:00:58.400]   and that you would take away anything
[00:00:58.400 --> 00:01:01.360]   that is not from you and that your word,
[00:01:01.360 --> 00:01:03.320]   and your word alone will be preached today.
[00:01:03.320 --> 00:01:05.020]   Pray this in the son's name, amen.
[00:01:05.020 --> 00:01:11.140]   Okay, so I've been at UV for about two months now,
[00:01:11.140 --> 00:01:12.660]   and usually on Sunday morning,
[00:01:12.660 --> 00:01:13.860]   right before the English service,
[00:01:13.860 --> 00:01:17.200]   you can find me serving over at the kids ministry.
[00:01:17.200 --> 00:01:19.740]   And one of the things that I noticed,
[00:01:19.740 --> 00:01:21.820]   especially with some of the younger kids,
[00:01:21.820 --> 00:01:23.860]   every time when they're being told to do something,
[00:01:23.860 --> 00:01:26.180]   they usually like to do the opposite.
[00:01:26.180 --> 00:01:29.360]   Wendy's right here so he can testify to that.
[00:01:29.360 --> 00:01:32.400]   And one of the prime example of this is,
[00:01:32.400 --> 00:01:34.960]   we have one song that is called "Jesus is Alive."
[00:01:34.960 --> 00:01:36.280]   So usually at the beginning of the song,
[00:01:36.280 --> 00:01:37.760]   they will ask them to like hop around,
[00:01:37.760 --> 00:01:40.000]   clap their hands, stomp their feet.
[00:01:40.000 --> 00:01:41.560]   And then right in the middle of the song,
[00:01:41.560 --> 00:01:44.880]   there'll be a part where it would say, "Everybody freeze."
[00:01:44.880 --> 00:01:46.640]   And this started off with just one kid,
[00:01:46.640 --> 00:01:48.960]   and then more and more kids just like follow along.
[00:01:48.960 --> 00:01:51.680]   So basically, every time when the song starts,
[00:01:51.680 --> 00:01:54.280]   them to clap their hands or like stomp their feet,
[00:01:54.280 --> 00:01:57.020]   they would just like stand there and like not move at all.
[00:01:57.020 --> 00:02:00.060]   When it comes to the part where the song told them to freeze,
[00:02:00.060 --> 00:02:01.460]   they would start like running around
[00:02:01.460 --> 00:02:02.540]   and then like clap their hands
[00:02:02.540 --> 00:02:05.000]   and basically just do the opposite
[00:02:05.000 --> 00:02:06.860]   of what they were being told.
[00:02:06.860 --> 00:02:08.940]   And while some of them think that they're funny
[00:02:08.940 --> 00:02:12.360]   and like sneaky, not trying to let the teachers recognize it,
[00:02:12.360 --> 00:02:14.620]   but when you do things in an opposite
[00:02:14.620 --> 00:02:17.180]   with like basically the rest of the room,
[00:02:17.180 --> 00:02:19.180]   it is not hard to notice about it.
[00:02:19.180 --> 00:02:22.660]   And so in the same ways, in the Greco-Roman world,
[00:02:22.660 --> 00:02:26.380]   one of the reason that Jesus causes such a huge stir
[00:02:26.380 --> 00:02:27.980]   during his time on earth
[00:02:27.980 --> 00:02:30.560]   is because his teaching and his lifestyle
[00:02:30.560 --> 00:02:32.380]   is actually completely opposite
[00:02:32.380 --> 00:02:34.640]   compared to the culture around him,
[00:02:34.640 --> 00:02:38.180]   that the people cannot help but notice it.
[00:02:38.180 --> 00:02:42.260]   So today we'll take a look at the Jesus Sermon on the Mount
[00:02:42.260 --> 00:02:45.160]   and what this upside down kingdom of God looks like.
[00:02:45.160 --> 00:02:47.220]   So every country in the world,
[00:02:47.220 --> 00:02:49.960]   in some ways there is certain guiding principles
[00:02:49.960 --> 00:02:51.940]   when it comes to the governance
[00:02:51.940 --> 00:02:53.820]   and the ruling of the country, right?
[00:02:53.820 --> 00:02:57.100]   So I have to look it up for the US constitution.
[00:02:57.100 --> 00:02:59.180]   These are some of the guiding principles,
[00:02:59.180 --> 00:03:01.980]   popular sovereignty, limited government,
[00:03:01.980 --> 00:03:06.180]   separation of powers, checks and balances and federalism.
[00:03:06.180 --> 00:03:08.800]   And so similarly in the kingdom of heaven,
[00:03:08.800 --> 00:03:10.640]   there are certain guiding principles
[00:03:10.640 --> 00:03:14.300]   that outline what life in God's kingdom looks like.
[00:03:14.300 --> 00:03:16.020]   And the place where this can be found
[00:03:16.020 --> 00:03:18.540]   is on Jesus's Sermon on the Mount.
