
[00:00:00.000 --> 00:00:02.000]  好, 請主人
[00:00:02.000 --> 00:00:04.000]  我們今天繼續這個Chosen的系列
[00:00:04.000 --> 00:00:07.000]  不知道大家有沒有八卦在看
[00:00:07.000 --> 00:00:09.000]  看看這個Chosen八成怎樣
[00:00:09.000 --> 00:00:11.000]  有沒有興趣?
[00:00:11.000 --> 00:00:13.000]  沒有興趣是吧?
[00:00:13.000 --> 00:00:15.000]  你喜歡看舊的那套嗎?
[00:00:15.000 --> 00:00:17.000]  舊的那套耶穌傳很悶的
[00:00:17.000 --> 00:00:19.000]  悶到瘋了
[00:00:19.000 --> 00:00:21.000]  這套好很多, OK?
[00:00:21.000 --> 00:00:23.000]  所以我鼓勵大家, 真的
[00:00:23.000 --> 00:00:27.000]  如果你想重溫一下耶穌的故事
[00:00:27.000 --> 00:00:30.000]  其實看一看他的場景
[00:00:30.000 --> 00:00:33.000]  看一看他的故事的鋪排
[00:00:33.000 --> 00:00:35.000]  都可以給你一種具體的
[00:00:35.000 --> 00:00:38.000]  去到知道耶穌當時是怎樣
[00:00:38.000 --> 00:00:39.000]  他的生平是怎樣
[00:00:39.000 --> 00:00:43.000]  特別是我們壽苦節和復節快到了
[00:00:43.000 --> 00:00:45.000]  這個時候還有幾個星期
[00:00:45.000 --> 00:00:49.000]  我們儘管去到重溫一下
[00:00:49.000 --> 00:00:52.000]  阿科林書裡面的一些事蹟
[00:00:52.000 --> 00:00:54.000]  這個Chosen已經拍攝到
[00:00:54.000 --> 00:00:57.000]  好像是第四個季節
[00:00:57.000 --> 00:00:59.000]  四個季節, 很厲害
[00:00:59.000 --> 00:01:02.000]  用耶穌做主意
[00:01:02.000 --> 00:01:04.000]  可以拍攝到四個季節
[00:01:04.000 --> 00:01:06.000]  已經不錯了
[00:01:06.000 --> 00:01:08.000]  希望大家可以去看看
[00:01:08.000 --> 00:01:10.000]  當然裡面的故事內容
[00:01:10.000 --> 00:01:15.000]  是作者或製片商自己加上去
[00:01:15.000 --> 00:01:18.000]  我們需要去設想一下
[00:01:18.000 --> 00:01:21.000]  或判斷一下到底有什麼在聖經裡面
[00:01:21.000 --> 00:01:23.000]  有什麼是聖經以外的
[00:01:23.000 --> 00:01:25.000]  或者有什麼是聖經以外的
[00:01:25.000 --> 00:01:27.000]  加上去的一些情節和插曲
[00:01:27.000 --> 00:01:29.000]  是否合理呢
[00:01:29.000 --> 00:01:31.000]  我看了一個季節
[00:01:31.000 --> 00:01:33.000]  我覺得是合理的
[00:01:33.000 --> 00:01:35.000]  不是亂作的
[00:01:35.000 --> 00:01:38.000]  我們來到Episode 2
[00:01:38.000 --> 00:01:40.000]  講到Episode 2我就停了
[00:01:40.000 --> 00:01:43.000]  講完這次的Chosen我就不再講了
[00:01:43.000 --> 00:01:45.000]  因為大家沒有什麼興趣
[00:01:45.000 --> 00:01:49.000]  Anyway, Episode 2
[00:01:49.000 --> 00:01:50.000]  上次我們講Episode 1
[00:01:50.000 --> 00:01:52.000]  就是莫達拉瑪利亞被鬼附
[00:01:52.000 --> 00:01:54.000]  然後耶穌來釋放她
[00:01:54.000 --> 00:01:56.000]  裡面用了一些經文
[00:01:56.000 --> 00:01:57.000]  我們有解釋過
[00:01:57.000 --> 00:02:01.000]  Episode 2就是莫達拉瑪利亞
[00:02:01.000 --> 00:02:05.000]  她不再被鬼附的時候
[00:02:05.000 --> 00:02:07.000]  她已經康復了
[00:02:07.000 --> 00:02:11.000]  她開始有自己正常的生活
[00:02:11.000 --> 00:02:14.000]  上次我們講過什麼事呢
[00:02:14.000 --> 00:02:17.000]  就是尼哥底姆
[00:02:17.000 --> 00:02:19.000]  尼哥底姆在約翰福音第三章
