
[00:00:00.000 --> 00:00:07.200]  所以剛才略提過巴力神話為什麼會叫做巴力循環
[00:00:07.200 --> 00:00:09.200]  BioCycle
[00:00:09.200 --> 00:00:11.200]  為什麼是一個循環
[00:00:11.200 --> 00:00:13.200]  因為在這個故事裡面
[00:00:13.200 --> 00:00:17.200]  巴力永遠都不是最終可以得勝的
[00:00:17.200 --> 00:00:21.200]  因為他會被殺敗
[00:00:21.200 --> 00:00:23.200]  但是他的情人又為他復仇
[00:00:23.200 --> 00:00:25.200]  然後他又再復生
[00:00:25.200 --> 00:00:29.200]  所以在這個巴力神話裡面
[00:00:29.200 --> 00:00:39.200]  其實就可以看到巴勒斯坦地的農耕和氣候的循環
[00:00:39.200 --> 00:00:43.200]  每年到10月至4月的時候
[00:00:43.200 --> 00:00:47.200]  西曆10月到4月的時候
[00:00:47.200 --> 00:00:49.200]  就是雨季
[00:00:49.200 --> 00:00:53.200]  這個時候就有如巴力復生
[00:00:53.200 --> 00:00:57.200]  每逢雨季過了
[00:00:57.200 --> 00:00:59.200]  大概5月左右
[00:00:59.200 --> 00:01:03.200]  到8月底9月的時候
[00:01:03.200 --> 00:01:05.200]  就是巴勒斯坦地
[00:01:05.200 --> 00:01:07.200]  所謂巴力死亡的時候
[00:01:07.200 --> 00:01:09.200]  因為這段時間就不會有雨落
[00:01:09.200 --> 00:01:11.200]  盼望是什麼時候
[00:01:11.200 --> 00:01:13.200]  盼望就是希望雨季真的會動
[00:01:13.200 --> 00:01:17.200]  也就是說在巴力的宗教裡面
[00:01:17.200 --> 00:01:19.200]  在巴力的信仰裡面
[00:01:19.200 --> 00:01:21.200]  就是希望巴力再次復生
[00:01:21.200 --> 00:01:25.200]  因為這段時間最乾旱的時候
[00:01:25.200 --> 00:01:27.200]  5月至9月
[00:01:27.200 --> 00:01:29.200]  就是巴力死亡
[00:01:29.200 --> 00:01:31.200]  然後那個死神
[00:01:31.200 --> 00:01:33.200]  去到操控一切
[00:01:33.200 --> 00:01:35.200]  沒有雨雲沒有雨水的時候
[00:01:35.200 --> 00:01:39.200]  希望能夠有雨水回來
[00:01:39.200 --> 00:01:43.200]  如果你這樣看背景的時候
[00:01:43.200 --> 00:01:45.200]  之後我們可以再看多一點
[00:01:45.200 --> 00:01:47.200]  不過今天就看到這裡
[00:01:47.200 --> 00:01:53.200]  你可以看一下聖經是怎樣去回應這些文化
[00:01:53.200 --> 00:01:55.200]  在巴力死亡的背景
[00:01:55.200 --> 00:01:57.200]  《斯坦第68篇》第4節
[00:01:57.200 --> 00:02:01.200]  那句話是要向神去唱詩
[00:02:01.200 --> 00:02:03.200]  去歌頌他力明
[00:02:03.200 --> 00:02:07.200]  向那駕車經過曠野者去高唱
[00:02:07.200 --> 00:02:09.200]  他力明師爺會說
[00:02:09.200 --> 00:02:13.200]  你們要在他面前歡樂
[00:02:13.200 --> 00:02:15.200]  駕車經過曠野
[00:02:15.200 --> 00:02:17.200]  這句話很特別
[00:02:17.200 --> 00:02:21.200]  但其實可以翻譯成
[00:02:21.200 --> 00:02:23.200]  是教訓者
