
[00:00:00.000 --> 00:00:07.000]  上一節提到父親雅各不肯讓最愛的兒子別雅文離開自己
[00:00:07.000 --> 00:00:10.000]  即使世面被扣留在埃及
[00:00:10.000 --> 00:00:14.000]  但兒子留便又用自己兩個兒子的性命作為擔保也好
[00:00:14.000 --> 00:00:17.000]  父親還是不能改變自己的心意
[00:00:17.000 --> 00:00:22.000]  可想而知雅各當時是偏愛著別雅文
[00:00:22.000 --> 00:00:27.000]  不惜放棄和犧牲對其他十個兒子的親情甚至性命
[00:00:27.000 --> 00:00:31.000]  今次說到日蝨和完新家庭的團聚
[00:00:31.000 --> 00:00:35.000]  我們看看43章,一到第五節吧
[00:00:35.000 --> 00:00:40.000]  加南饑荒的情況愈來愈嚴重
[00:00:40.000 --> 00:00:44.000]  即使之前在埃及所帶回來的糧食都不夠
[00:00:44.000 --> 00:00:47.000]  於是父親雅各見到情況如此緊迫
[00:00:47.000 --> 00:00:51.000]  就再一次吩咐九個兒子來到埃及買糧
[00:00:51.000 --> 00:00:56.000]  按照故事前後發展推算下
[00:00:56.000 --> 00:01:01.000]  上一次和今次的買糧距離時間不會多過兩年
[00:01:01.000 --> 00:01:06.000]  因為按前文,可年有七年長的時間
[00:01:06.000 --> 00:01:11.000]  而按後理,饑荒還有持續五年的時間
[00:01:11.000 --> 00:01:15.000]  由上次由加南到埃及買糧
[00:01:15.000 --> 00:01:18.000]  到現在再打算第二次到埃及
[00:01:18.000 --> 00:01:21.000]  前後不會多過兩年的時間
[00:01:21.000 --> 00:01:24.000]  由於上一次帶回來的糧食
[00:01:24.000 --> 00:01:27.000]  因為路途遙遠,人手又不足
[00:01:27.000 --> 00:01:30.000]  可以帶回來的糧食是很有限
[00:01:30.000 --> 00:01:35.000]  估計當時帶回來的糧食只能供應一段短的日子
[00:01:35.000 --> 00:01:37.000]  當時雅各也真的沒想過
[00:01:37.000 --> 00:01:42.000]  饑荒的情況會持續不斷,而且愈來愈嚴重
[00:01:42.000 --> 00:01:46.000]  當雅各家再一次缺糧饑荒
[00:01:46.000 --> 00:01:51.000]  唯一的解決方法就只好再一次到埃及來買糧
[00:01:51.000 --> 00:01:54.000]  不過不知道雅各是忘記了
[00:01:54.000 --> 00:01:57.000]  還是一直沒有放在心裡
[00:01:57.000 --> 00:02:00.000]  在上一次他吩咐十個兒子
[00:02:00.000 --> 00:02:05.000]  到埃及買糧後,結果只有九個兒子平安回來
[00:02:05.000 --> 00:02:10.000]  西勉自從離開加南,一直被扣留在埃及
[00:02:10.000 --> 00:02:17.000]  當時埃及首相只容許九兄弟離開埃及回加南
[00:02:17.000 --> 00:02:22.000]  左相還開出條件,要帶別雅文到埃及
[00:02:22.000 --> 00:02:25.000]  當時父親雅各拒絕
[00:02:25.000 --> 00:02:29.000]  將自己唯一的愛子別雅文帶到埃及
[00:02:29.000 --> 00:02:32.000]  即使當時大兒子流變
[00:02:32.000 --> 00:02:36.000]  自願用自己兩個兒子的性命作為擔保
[00:02:36.000 --> 00:02:42.000]  父親也沒有改變心意,於是就不了了之了
[00:02:42.000 --> 00:02:45.000]  直至饑荒的情況愈來愈嚴重
[00:02:45.000 --> 00:02:51.000]  父親雅各不能不吩咐九個兒子再次到埃及買糧
