
[00:00:00.000 --> 00:00:02.680]  我們看過《創世紀》第一
[00:00:02.680 --> 00:00:04.400]  第二章左右
[00:00:04.400 --> 00:00:08.320]  我們講過聖經啟示的這位上帝
[00:00:08.320 --> 00:00:10.480]  是一位創造萬有的神
[00:00:10.480 --> 00:00:12.360]  這是我們第一集講到的
[00:00:12.360 --> 00:00:14.000]  第二次我們講到
[00:00:14.000 --> 00:00:16.520]  就是聖經這位上帝
[00:00:16.520 --> 00:00:18.640]  是去創造人類
[00:00:18.640 --> 00:00:20.720]  按照他的形象
[00:00:20.720 --> 00:00:22.200]  有他的尊貴
[00:00:22.200 --> 00:00:24.400]  有他的榮耀去創造人類出來
[00:00:24.400 --> 00:00:25.760]  這是第二次講的
[00:00:25.760 --> 00:00:29.240]  這次我們第三集就講
[00:00:29.240 --> 00:00:31.240]  創世紀第三章
[00:00:31.240 --> 00:00:33.080]  讓我一口氣讀
[00:00:33.080 --> 00:00:36.320]  創世紀第三章
[00:00:38.360 --> 00:00:44.440]  (2)神所造的,惟有蛇比填冶一切的活物更狡猾。
[00:00:44.440 --> 00:00:46.040]  蛇對女人說:
[00:00:46.040 --> 00:00:48.200]  「神起事親說:
[00:00:48.200 --> 00:00:51.960]  不許你們吃圓中所有樹上的果子嗎?」
[00:00:51.960 --> 00:00:53.800]  女人對蛇說:
[00:00:53.800 --> 00:00:57.320]  「圓中樹上的果子我們可以吃,
[00:00:57.320 --> 00:01:01.240]  惟有圓中那火樹上的果子。」
[00:01:01.240 --> 00:01:03.000]  神曾說:
[00:01:03.000 --> 00:01:07.000]  「你們不可吃也不可摸,免得你們死。」
[00:01:07.760 --> 00:01:09.760]  蛇對女人說:
[00:01:09.760 --> 00:01:12.240]  「你們不一定死,
[00:01:12.240 --> 00:01:16.320]  因為神知道你們吃的日子眼睛就明亮了,
[00:01:16.320 --> 00:01:20.080]  你們便如神能知道時兒。」
[00:01:20.080 --> 00:01:23.680]  於是女人見那火樹上的果子
[00:01:23.680 --> 00:01:26.280]  好作食物也悅人眼目,
[00:01:26.280 --> 00:01:28.000]  且是可喜愛的,
[00:01:28.000 --> 00:01:31.960]  能使人有智慧就摘下果子來吃了,
[00:01:31.960 --> 00:01:34.680]  又給他丈夫,他丈夫也吃了,
[00:01:34.680 --> 00:01:37.520]  他們二人的眼睛就明亮了,
[00:01:37.520 --> 00:01:39.800]  才知道自己是赤身露體,
[00:01:39.800 --> 00:01:44.560]  便拿無花果樹的葉子為自己編作裙子。
[00:01:44.560 --> 00:01:46.520]  天起了涼風,
[00:01:46.520 --> 00:01:49.080]  耶和華在神的園中行走,
[00:01:49.080 --> 00:01:50.920]  那人和他妻子聽見神的聲音,
[00:01:50.920 --> 00:01:54.240]  就藏在園裡的樹木中,
[00:01:54.240 --> 00:01:57.000]  躲避耶和華神的面,
[00:01:57.000 --> 00:02:00.440]  耶和華神呼喚那人,
[00:02:00.440 --> 00:02:01.240]  對他說:
[00:02:01.240 --> 00:02:02.520]  「你在哪裡?」
[00:02:02.520 --> 00:02:03.720]  他說:
[00:02:03.720 --> 00:02:07.960]  「我在園中聽見你的聲音,
[00:02:07.960 --> 00:02:09.200]  我就害怕,
[00:02:09.200 --> 00:02:11.360]  因為我赤身露體,
[00:02:11.360 --> 00:02:13.080]  我便藏了。」
[00:02:13.080 --> 00:02:14.360]  耶和華說:
[00:02:14.360 --> 00:02:16.440]  「誰告訴你赤身露體呢?
[00:02:16.440 --> 00:02:18.440]  莫非你吃了我所吩咐你
[00:02:18.440 --> 00:02:20.720]  不可吃那樹上的果子嗎?」
[00:02:20.720 --> 00:02:21.720]  那人說:
[00:02:21.720 --> 00:02:23.040]  「你所賜給我,
[00:02:23.040 --> 00:02:24.600]  與我同住的女人,
[00:02:24.600 --> 00:02:26.640]  她把那樹上的果子給我,
[00:02:26.640 --> 00:02:28.080]  我就吃了。」
[00:02:28.080 --> 00:02:30.560]  耶和華神對女人說:
[00:02:30.560 --> 00:02:31.800]  「你做了什麼事?」
[00:02:31.800 --> 00:02:33.080]  女人說:
[00:02:33.080 --> 00:02:34.880]  「那蛇引誘我,
[00:02:34.880 --> 00:02:37.240]  我就吃了。」
[00:02:37.240 --> 00:02:39.080]  耶和華神對蛇說:
[00:02:39.080 --> 00:02:40.640]  「你既作了這事,
[00:02:40.640 --> 00:02:42.120]  就必受咒咒,
[00:02:42.120 --> 00:02:45.160]  比一切的生畜野獸更甚,
[00:02:45.160 --> 00:02:46.560]  你必用兔子行走,
[00:02:46.560 --> 00:02:48.200]  終生吃兔,
[00:02:48.200 --> 00:02:50.880]  我又要叫你和女人彼此為仇,
[00:02:50.880 --> 00:02:52.360]  你的後裔和女人的後裔
[00:02:52.360 --> 00:02:53.720]  也彼此為仇,
[00:02:53.720 --> 00:02:55.480]  女人的後裔要傷你的頭,
[00:02:55.480 --> 00:02:58.480]  你要傷她的腳筋。」
[00:02:58.480 --> 00:03:00.400]  又對女人說:
[00:03:00.400 --> 00:03:03.480]  「我必多多加增你懷孕的苦楚,
[00:03:03.480 --> 00:03:06.480]  你生產兒女必多受苦楚,
[00:03:06.480 --> 00:03:07.680]  你必戀慕你的丈夫,
[00:03:07.680 --> 00:03:11.480]  你的丈夫必管轄你。」
[00:03:11.480 --> 00:03:13.320]  又對亞當說:
[00:03:13.320 --> 00:03:16.360]  「你既聽從妻子的話吃了我所吩咐,
[00:03:16.360 --> 00:03:19.280]  你不可吃那樹上的果子,
[00:03:19.280 --> 00:03:21.680]  地必因你的緣故受咒咒,
[00:03:21.680 --> 00:03:26.080]  你必終生勞苦才能從地裡得吃的,
[00:03:26.080 --> 00:03:29.520]  地必給你長出荊棘和窒泥來,
[00:03:29.520 --> 00:03:33.040]  你也要吃田間的菜蔬,
[00:03:33.040 --> 00:03:35.240]  你必汗流滿面才得糊口,
