
[00:00:00.000 --> 00:00:05.040]   All right, good morning.
[00:00:05.040 --> 00:00:08.880]   Hello everybody.
[00:00:08.880 --> 00:00:11.260]   God is good.
[00:00:11.260 --> 00:00:12.260]   And all the time.
[00:00:12.260 --> 00:00:13.260]   Amen.
[00:00:13.260 --> 00:00:15.880]   I didn't know if I was going to have to explain that.
[00:00:15.880 --> 00:00:16.880]   Okay, awesome.
[00:00:16.880 --> 00:00:17.880]   Sweet.
[00:00:17.880 --> 00:00:24.840]   So, I want to thank God and I want to thank you guys for having me here, allowing me the
[00:00:24.840 --> 00:00:31.960]   opportunity to come before you and just share a message, bring you God's word.
[00:00:31.960 --> 00:00:38.960]   Today, we'll be in James chapter 1, starting from verse 19 through 27.
[00:00:38.960 --> 00:00:43.560]   I listened to the live stream last week and I was excited to see that Caleb did James
[00:00:43.560 --> 00:00:47.640]   1 because I love the book of James and I figured this is great.
[00:00:47.640 --> 00:00:52.880]   I can continue on this and pick up on where he left off.
[00:00:52.880 --> 00:00:55.080]   So, thank you Caleb for your word last week.
[00:00:55.080 --> 00:00:59.640]   I was deeply encouraged by that.
[00:00:59.640 --> 00:01:05.640]   Before we get into the word, I'll ask if you guys would just pray with me real quick.
[00:01:05.640 --> 00:01:10.360]   Holy Father, our Lord, our God, thank you.
[00:01:10.360 --> 00:01:11.600]   Thank you for your faithfulness.
[00:01:11.600 --> 00:01:13.700]   Thank you that you are a good father.
[00:01:13.700 --> 00:01:17.560]   Thank you that you loved us enough to send your son to die in our place, that we might
[00:01:17.560 --> 00:01:23.120]   have hope in this world, that we would have peace, that we would have comfort in the midst
[00:01:23.120 --> 00:01:27.400]   of a world that is full of uncomforting things.
[00:01:27.400 --> 00:01:32.260]   We thank you for waking us all up this morning, acknowledge that not everyone did.
[00:01:32.260 --> 00:01:34.920]   We thank you for the life that you give us.
[00:01:34.920 --> 00:01:38.800]   We thank you that in you we live, breathe, and have our being.
[00:01:38.800 --> 00:01:44.280]   So thank you God for this life and the eternal life and hope we have in your son, Jesus Christ.
[00:01:44.280 --> 00:01:49.080]   I pray that you would open our hearts, that we would receive your word, that we would
[00:01:49.080 --> 00:01:53.720]   respond to your word in such a way that Jesus Christ would be glorified in and through our
[00:01:53.720 --> 00:01:54.920]   lives.
[00:01:54.920 --> 00:01:58.800]   So be with us today, teach us today that it wouldn't just be my words, but that it would
[00:01:58.800 --> 00:02:02.440]   be your words simply spoken through me and to me.
[00:02:02.440 --> 00:02:06.360]   And so all these things I pray in the precious name of Jesus Christ.
[00:02:06.360 --> 00:02:07.360]   Amen.
[00:02:07.920 --> 00:02:15.960]   Okay, so as I said, I'll be in James chapter one, starting from verse 19 through the end
[00:02:15.960 --> 00:02:16.960]   of the chapter.
[00:02:16.960 --> 00:02:25.240]   It says this, "Know this, my beloved brothers, let every person be quick to hear, slow to
[00:02:25.240 --> 00:02:27.680]   speak, slow to anger.
[00:02:27.680 --> 00:02:32.480]   For the anger of man does not produce the righteousness of God.
[00:02:32.480 --> 00:02:38.880]   For put away all filthiness and rampant wickedness and receive with meekness the implanted word,
[00:02:38.880 --> 00:02:41.800]   which is able to save your souls.
[00:02:41.800 --> 00:02:46.200]   But be doers of the word and not hearers only, deceiving yourselves.
[00:02:46.200 --> 00:02:51.640]   For if anyone is a hearer of the word and not a doer, he is like a man who looks intently
[00:02:51.640 --> 00:02:53.920]   at his natural face in a mirror.
[00:02:53.920 --> 00:02:58.160]   For he looks at himself and goes away and at once forgets what he was like.
[00:02:58.160 --> 00:03:02.880]   But the one who looks into the perfect law, the law of liberty, and perseveres being no
[00:03:02.880 --> 00:03:08.000]   hearer who forgets, but a doer who acts, he will be blessed in his doing.
[00:03:08.000 --> 00:03:12.520]   If anyone thinks he is religious and does not bridle his tongue, but deceives his heart,
[00:03:12.520 --> 00:03:15.440]   this person's religion is worthless.
[00:03:15.440 --> 00:03:20.660]   Religion that is pure and undefiled before God the Father is this, to visit widows and
[00:03:20.660 --> 00:03:26.440]   orphans in their affliction and to keep oneself unstained from the world."
[00:03:26.440 --> 00:03:32.280]   So brothers and sisters, today I want to focus in on this passage and specifically the verses
[00:03:32.280 --> 00:03:35.400]   in the middle, 22 through 25.
[00:03:35.400 --> 00:03:40.920]   And by God's grace, do the best I can to draw out what it means and what it would look like
[00:03:40.920 --> 00:03:46.480]   for us to become doers of the word of God.
[00:03:46.480 --> 00:03:52.920]   So I mentioned I was excited about Caleb preaching James because the letter of James is one of
[00:03:52.920 --> 00:03:59.160]   my favorite books in the Bible because of the impact it's had on me, my faith journey,
[00:03:59.160 --> 00:04:04.200]   my walk with Christ, and because the book itself is just so full of practical wisdom
[00:04:04.200 --> 00:04:07.280]   for how to live out our Christian lives.
[00:04:07.280 --> 00:04:12.720]   There's a lot of really good allusions to the Psalms, to the Proverbs, even to the teachings
[00:04:12.720 --> 00:04:15.860]   of Jesus that James uses in his writing.
[00:04:15.860 --> 00:04:19.040]   And we'll focus on some of that today.
[00:04:19.040 --> 00:04:24.040]   But from the writings of the four gospels, we know that James was a brother of this dude
[00:04:24.040 --> 00:04:26.560]   named Jesus who maybe you've heard of him.
[00:04:26.560 --> 00:04:30.720]   It was kind of a big deal a few thousand years ago.
[00:04:30.720 --> 00:04:32.540]   Of course you guys have heard of Jesus.
[00:04:32.540 --> 00:04:37.440]   But the interesting thing about James is that even though he was Jesus' own brother, he
[00:04:37.440 --> 00:04:38.680]   didn't believe in him.
[00:04:38.680 --> 00:04:43.600]   Initially he doubted the things that Jesus taught, the things that Jesus did.
[00:04:43.600 --> 00:04:49.000]   And there's a passage in the Gospel of Mark that tells us Jesus' family actually thought
[00:04:49.000 --> 00:04:53.080]   and said that he was out of his mind for the things that he was doing, having all these
[00:04:53.080 --> 00:04:57.140]   people come to the house and hear him preach and teach.
[00:04:57.140 --> 00:04:59.220]   So they thought he was out of his mind.
[00:04:59.220 --> 00:05:02.200]   His brothers doubted him.
[00:05:02.200 --> 00:05:07.440]   But eventually something happens to James following the crucifixion and the burial of
[00:05:07.440 --> 00:05:11.800]   Jesus that radically changes his outlook on Jesus.
[00:05:11.800 --> 00:05:20.520]   He goes from a denier, a skeptic, into a believer, a denier to a follower, a detractor to a leader
[00:05:20.520 --> 00:05:22.840]   of the early church.
[00:05:22.840 --> 00:05:26.680]   Whatever it was that happened, whatever it was that transformed James, it was so convincing
[00:05:26.680 --> 00:05:33.660]   that he was even willing to die for his newfound belief in his brother, the Lord Jesus.
[00:05:33.660 --> 00:05:39.560]   And we know this because according to Jewish historian Josephus and a few other early church
[00:05:39.560 --> 00:05:45.440]   historians, James was martyred for his faith, for not denying faith in Christ.
[00:05:45.440 --> 00:05:51.200]   When I think about this, you know, going from the brother of Jesus who doesn't believe in
[00:05:51.200 --> 00:05:57.240]   Jesus to a believer, a leader in the early church and even a martyr for the faith, I
[00:05:57.240 --> 00:06:02.120]   can't help but think that such a drastic transformation to me is one of the most compelling pieces
[00:06:02.120 --> 00:06:05.860]   of evidence for the resurrection of Jesus Christ.
[00:06:05.860 --> 00:06:09.520]   You look at James' transformation, you look at Paul's transformation.
[00:06:09.520 --> 00:06:13.280]   What could cause someone to change so drastically?
[00:06:13.280 --> 00:06:17.040]   And I've heard it put this way, so I want to ask you guys, how many of you have siblings
[00:06:17.040 --> 00:06:19.040]   in here, brothers or sisters?
[00:06:19.040 --> 00:06:21.640]   Okay, obviously I know you guys do.
[00:06:21.640 --> 00:06:23.240]   So I'm going to point you out.
[00:06:23.240 --> 00:06:25.280]   Rachel, think about this now.
[00:06:25.280 --> 00:06:32.720]   What would it take for you to be convinced that Nathan is the son of God?
[00:06:32.720 --> 00:06:34.840]   No way, right?
[00:06:34.840 --> 00:06:37.600]   Now we're talking about Jesus here, like, you know, I'm sure James grew up with him
[00:06:37.600 --> 00:06:42.480]   as a brother and I'm sure as a brother he wondered, like, why doesn't Jesus ever get
[00:06:42.480 --> 00:06:44.480]   in trouble with, you know, mom and dad?
[00:06:44.480 --> 00:06:46.160]   He's such a goody two-shoes.
[00:06:46.160 --> 00:06:47.720]   But still, he didn't believe he was the Messiah.
[00:06:47.720 --> 00:06:49.200]   He didn't believe he was God.
[00:06:49.200 --> 00:06:54.960]   But something so drastic happened, he began to believe and would even die for this belief
[00:06:54.960 --> 00:06:58.940]   that Jesus truly was God in the flesh.
[00:06:58.940 --> 00:07:04.920]   And truly, what else besides seeing a man once dead, buried in the tomb for three days,
[00:07:04.920 --> 00:07:10.480]   alive in front of your very eyes, bearing the marks of crucifixion, what else could
[00:07:10.480 --> 00:07:15.400]   cause such a drastic transformation in a person?
[00:07:15.400 --> 00:07:22.880]   So you see, James' encounter with the living, resurrected, eternal word of God changed James.
[00:07:22.880 --> 00:07:29.080]   He was a man who once only heard the teachings of Jesus and doubted them to a man who believed
[00:07:29.080 --> 00:07:30.760]   the words and acted upon them.
[00:07:30.760 --> 00:07:36.000]   In the same way, James in this passage is encouraging his audience, his audience then
[00:07:36.000 --> 00:07:42.160]   and his audience today, encouraging us to not only hear the word of God, to also respond
[00:07:42.160 --> 00:07:43.160]   to it.
[00:07:43.160 --> 00:07:47.960]   So that's what I will be encouraging for all of us today.
[00:07:47.960 --> 00:07:54.080]   So I mentioned that James has a lot of allusion to other passages of Scripture, to Jesus'
