
[00:00:00.000 --> 00:00:03.000]  今天我們繼續一個女子組加油的系列
[00:00:03.000 --> 00:00:05.240]  我們上個星期第一次開始
[00:00:05.240 --> 00:00:07.640]  我們講到聖經裡面怎麼看待女性
[00:00:07.640 --> 00:00:09.240]  怎麼去 correct(正確)
[00:00:09.240 --> 00:00:12.800]  或者改正我們怎麼去看待女性的方法
[00:00:12.800 --> 00:00:16.000]  聖經絕對是對我們二十一世紀的人
[00:00:16.000 --> 00:00:18.080]  很大的提醒
[00:00:18.080 --> 00:00:20.000]  雖然一本很古老的書
[00:00:20.000 --> 00:00:21.760]  但是我們今天就要講
[00:00:21.760 --> 00:00:23.240]  聖經裡面的女性
[00:00:23.240 --> 00:00:24.560]  我們今天就要講
[00:00:24.560 --> 00:00:25.880]  聖經裡面的女性
[00:00:25.880 --> 00:00:26.880]  我們今天就要講
[00:00:26.880 --> 00:00:29.000]  很大的提醒
[00:00:29.000 --> 00:00:30.720]  雖然是一本很古老的書
[00:00:30.720 --> 00:00:33.720]  但是是一本很劃時代的信息的書
[00:00:33.720 --> 00:00:37.160]  我們就 go into the Bible(去到聖經)
[00:00:37.160 --> 00:00:38.880]  去看看有些什麼
[00:00:38.880 --> 00:00:41.800]  在聖經裡面怎麼看待女性
[00:00:41.800 --> 00:00:44.280]  聖經是不是責成男女平等呢?
[00:00:44.280 --> 00:00:46.400]  上次我告訴大家
[00:00:46.400 --> 00:00:49.640]  我先跟大家 present(展示)幾個命題
[00:00:49.640 --> 00:00:50.640]  這些命題
[00:00:50.640 --> 00:00:51.560]  大家談一談
[00:00:51.560 --> 00:00:52.160]  想一想
[00:00:52.160 --> 00:00:54.080]  到底是對還是錯呢?
[00:00:54.080 --> 00:00:55.720]  第一個命題就是
[00:00:55.720 --> 00:00:57.640]  聖經是父權
[00:00:57.640 --> 00:01:00.760]  就是重男輕女的社會裡面的產品
[00:01:00.760 --> 00:01:02.600]  這是對還是錯呢?
[00:01:02.600 --> 00:01:04.160]  是的
[00:01:04.160 --> 00:01:06.280]  因為以往古代的社會
[00:01:06.280 --> 00:01:09.120]  全部都是重男輕女
[00:01:09.120 --> 00:01:10.720]  其實現在也是
[00:01:10.720 --> 00:01:13.600]  你看到別人生育都是女的
[00:01:13.600 --> 00:01:15.240]  你覺得他很慘
[00:01:15.240 --> 00:01:17.600]  其實你也是重男輕女
[00:01:17.600 --> 00:01:19.560]  但是他不斷生育子女
[00:01:19.560 --> 00:01:20.960]  你又不會覺得他慘
[00:01:20.960 --> 00:01:23.160]  當然我不是這麼想
[00:01:23.160 --> 00:01:24.440]  我有一個女兒一個兒子
[00:01:24.440 --> 00:01:25.640]  (笑)
[00:01:25.640 --> 00:01:26.200]  但是無論如何
[00:01:26.200 --> 00:01:28.280]  當時父權的社會就是這樣
[00:01:28.280 --> 00:01:30.280]  神要跟他們說話的時候
[00:01:30.280 --> 00:01:31.160]  就是 assume(假設)
[00:01:31.160 --> 00:01:34.960]  或者假設預設他們當時有的價值觀或者語言
[00:01:34.960 --> 00:01:38.280]  不代表聖經是維護父權主義
[00:01:38.280 --> 00:01:41.400]  但是他會假設了
[00:01:41.400 --> 00:01:44.840]  有一些重男輕女的觀念
[00:01:44.840 --> 00:01:46.560]  所以第二個命題就是說
[00:01:46.560 --> 00:01:49.960]  聖經是不是挑戰父權主義的觀念呢?
[00:01:49.960 --> 00:01:51.280]  patriarchal values(父權價值觀)
[00:01:51.280 --> 00:01:53.360]  對還是錯呢?
[00:01:54.360 --> 00:01:55.200]  是對的
[00:01:55.200 --> 00:01:57.000]  聖經裡面
[00:01:57.000 --> 00:02:00.200]  女人雖然比較少出現
[00:02:00.200 --> 00:02:02.000]  說話比較少一點
[00:02:02.000 --> 00:02:05.080]  但是每逢她們說話或者做事的時候
[00:02:05.080 --> 00:02:07.400]  很多時候都是物以罕為貴
[00:02:07.400 --> 00:02:09.800]  去挑戰當時男人的觀念
[00:02:09.800 --> 00:02:11.800]  或者當時一些傳統的觀念
[00:02:11.800 --> 00:02:13.680]  金庸死了是不是?
[00:02:13.680 --> 00:02:16.520]  有些人用女性主義的角度來看金庸小說
[00:02:16.520 --> 00:02:18.120]  你有沒有看過這樣的文章?
[00:02:18.120 --> 00:02:21.320]  那些 literary criticism(文學批評)
[00:02:21.600 --> 00:02:24.680]  用這樣的角度來看金庸小說
[00:02:24.680 --> 00:02:26.000]  有些人也說
[00:02:26.000 --> 00:02:28.560]  金庸小說裡面的女性
[00:02:28.560 --> 00:02:30.720]  往往在關鍵的時候
[00:02:30.720 --> 00:02:33.960]  她們的勇氣和見識都比男人多一點
[00:02:33.960 --> 00:02:36.040]  想不想起有什麼主角?
[00:02:36.040 --> 00:02:39.240]  待會再聊好不好?
[00:02:39.240 --> 00:02:41.960]  所以聖經的女性也是一樣的
[00:02:41.960 --> 00:02:43.440]  出現的時候很多時候
[00:02:43.440 --> 00:02:46.440]  去顛倒或者去挑戰
[00:02:46.440 --> 00:02:48.720]  一些以男為上的觀念
[00:02:48.720 --> 00:02:51.960]  不是說神可以用男人做事
[00:02:51.960 --> 00:02:55.120]  更加可以用女性來做事
[00:02:55.120 --> 00:02:56.960]  在聖經的歷史裡面
[00:02:56.960 --> 00:02:59.800]  女性是扮演著策略性的角色的
[00:02:59.800 --> 00:03:00.600]  Yes or No?
[00:03:00.600 --> 00:03:02.280]  True or False?
[00:03:02.280 --> 00:03:04.400]  是對的
[00:03:04.400 --> 00:03:04.920]  是不是?
[00:03:04.920 --> 00:03:06.680]  所以女人不是可有可無的
[00:03:06.680 --> 00:03:09.640]  是扮演很多時候一些關鍵的大角色
[00:03:09.640 --> 00:03:12.800]  她們正在推進上帝自己的工作
[00:03:12.800 --> 00:03:15.560]  上一次我們留意到
[00:03:15.560 --> 00:03:17.160]  寫聖經的歷史
[00:03:17.160 --> 00:03:18.360]  或者留意聖經的歷史裡面
[00:03:18.360 --> 00:03:19.920]  一些關鍵時刻
[00:03:19.920 --> 00:03:21.480]  有什麼發生的時候
[00:03:21.480 --> 00:03:24.880]  很多時候我們自己的假設就是
[00:03:24.880 --> 00:03:26.440]  一定是男人
[00:03:26.440 --> 00:03:27.800]  其實你可以這樣寫的
[00:03:27.800 --> 00:03:30.640]  凡是一些關鍵的時候
[00:03:30.640 --> 00:03:32.320]  就是女人出現的時候
[00:03:32.320 --> 00:03:33.600]  譬如出埃及記
[00:03:33.600 --> 00:03:34.760]  為什麼會有摩西
[00:03:34.760 --> 00:03:37.040]  就是因為有些女人來保護他
[00:03:37.040 --> 00:03:39.320]  為什麼可以進入迦南
[00:03:39.320 --> 00:03:40.560]  以色列人可以進入迦南
[00:03:40.560 --> 00:03:41.840]  不是因為約書亞
[00:03:41.840 --> 00:03:43.520]  他有勇字在胸口
[00:03:43.520 --> 00:03:45.720]  不是因為他好勇鬥狠
[00:03:45.720 --> 00:03:47.680]  或者他戰術好
[00:03:47.680 --> 00:03:50.160]  而是一個愛邦的女子叫做拉合
[00:03:50.160 --> 00:03:52.000]  是當時的一個妓女
[00:03:52.000 --> 00:03:54.680]  她去投靠以色列一方來幫助他們
[00:03:54.680 --> 00:03:55.600]  等等等等
[00:03:55.600 --> 00:03:57.200]  直到耶穌基督來的時候
[00:03:57.200 --> 00:03:58.800]  雖然她選的是十二宮門徒
[00:03:58.800 --> 00:04:00.720]  但是生的當然是
[00:04:00.720 --> 00:04:03.200]  生耶穌基督出來的當然是媽媽
[00:04:03.200 --> 00:04:04.680]  誰不知道媽媽是女人嗎?
[00:04:04.680 --> 00:04:06.600]  當她復活的時候
[00:04:06.600 --> 00:04:09.400]  第一個來迎接復活主的時候
[00:04:09.400 --> 00:04:12.240]  又是一群婦女
[00:04:12.240 --> 00:04:15.200]  第一個將耶穌基督從死裡面復活
