
[00:00:01.000 --> 00:00:02.000]  麻煩你,Carmen
[00:00:02.000 --> 00:00:07.000]  我想問問大家
[00:00:07.000 --> 00:00:09.000]  人與人之間的關係
[00:00:09.000 --> 00:00:11.000]  你覺得甚麼是最重要?
[00:00:11.000 --> 00:00:16.000]  是否請喝茶?
[00:00:16.000 --> 00:00:17.000]  不是?
[00:00:17.000 --> 00:00:19.000]  沒理由
[00:00:19.000 --> 00:00:24.000]  如果我告訴你是良好的溝通
[00:00:24.000 --> 00:00:26.000]  你同意嗎?
[00:00:27.000 --> 00:00:31.000]  但甚麼才是良好的溝通?
[00:00:31.000 --> 00:00:33.000]  如果讓你定義
[00:00:33.000 --> 00:00:36.000]  甚麼是良好的溝通?
[00:00:36.000 --> 00:00:38.000]  聆聽
[00:00:38.000 --> 00:00:39.000]  聆聽
[00:00:39.000 --> 00:00:41.000]  這是重點
[00:00:41.000 --> 00:00:44.000]  我想至少要包括
[00:00:44.000 --> 00:00:47.000]  有個清楚的表達
[00:00:47.000 --> 00:00:49.000]  剛才也說到
[00:00:49.000 --> 00:00:52.000]  我們要用心聆聽
[00:00:52.000 --> 00:00:56.000]  好奇對方說的話
[00:00:56.000 --> 00:00:58.000]  真誠去嘗試理解
[00:00:58.000 --> 00:00:59.000]  或者不明白的時候
[00:00:59.000 --> 00:01:00.000]  會問問題
[00:01:00.000 --> 00:01:04.000]  去釐清對方說的話的意思
[00:01:04.000 --> 00:01:07.000]  以及要有合適的回應
[00:01:07.000 --> 00:01:09.000]  但很多時候
[00:01:09.000 --> 00:01:13.000]  誰有這麼多時間?
[00:01:13.000 --> 00:01:14.000]  所以說完
[00:01:14.000 --> 00:01:15.000]  你聽到就聽到
[00:01:15.000 --> 00:01:16.000]  你明白就明白
[00:01:16.000 --> 00:01:18.000]  不明白就算了
[00:01:18.000 --> 00:01:22.000]  然後才會出現那些
[00:01:22.000 --> 00:01:24.000]  說你又不聽
[00:01:24.000 --> 00:01:27.000]  聽你又不明白
[00:01:27.000 --> 00:01:30.000]  明白之後怎樣?
[00:01:30.000 --> 00:01:32.000]  又不做
[00:01:32.000 --> 00:01:34.000]  做又會做甚麼?
[00:01:34.000 --> 00:01:35.000]  做錯
[00:01:35.000 --> 00:01:37.000]  錯了又會怎樣?
[00:01:37.000 --> 00:01:39.000]  錯了又會賴我
[00:01:39.000 --> 00:01:43.000]  經常會出現勞氣的情況
