
[00:00:00.000 --> 00:00:03.000]  UV的頂梓梅,平安!感謝神
[00:00:03.000 --> 00:00:05.000]  也多謝教會的邀請
[00:00:05.000 --> 00:00:08.000]  讓我有這個機會來和大家分享神的話
[00:00:08.000 --> 00:00:10.000]  我的名字叫朱莉
[00:00:10.000 --> 00:00:14.000]  你們一些的頂梓梅應該會記得我的
[00:00:14.000 --> 00:00:17.000]  因為我曾經在Trinity讀過書
[00:00:17.000 --> 00:00:19.000]  認識了你們一些的頂梓梅
[00:00:19.000 --> 00:00:22.000]  所以這次能夠藉著這個機會
[00:00:22.000 --> 00:00:25.000]  用這樣的方法去連繫,是一件很開心的事情
[00:00:25.000 --> 00:00:29.000]  我大概在五年前左右就搬回香港
[00:00:29.000 --> 00:00:32.000]  現在就在香港一邊募會一邊進修
[00:00:32.000 --> 00:00:35.000]  如果你們有留意香港的消息
[00:00:35.000 --> 00:00:41.000]  可能都會知道香港正經歷著新的一波移民潮
[00:00:41.000 --> 00:00:43.000]  而這一波的移民潮
[00:00:43.000 --> 00:00:50.000]  很多人的評論說會比過往任何一波的移民潮都更加厲害
[00:00:50.000 --> 00:00:53.000]  有更多的人選擇離開香港
[00:00:53.000 --> 00:00:58.000]  我相信你們中間很多都是這樣移民過來美國
[00:00:58.000 --> 00:01:01.000]  或者是移民家庭長大的
[00:01:01.000 --> 00:01:07.000]  今天我剛剛想和大家分享一個關於移民的故事
[00:01:07.000 --> 00:01:10.000]  是舊約聖經,路德記
[00:01:10.000 --> 00:01:13.000]  如果你們已經回到教會一段時間
[00:01:13.000 --> 00:01:17.000]  相信你們對路德記一點都不會感到陌生
[00:01:17.000 --> 00:01:20.000]  今天我想和大家一起思考的一個問題是
[00:01:20.000 --> 00:01:23.000]  為什麼路德記會在聖經裏面?
[00:01:23.000 --> 00:01:28.000]  為什麼路德記會有什麼價值
[00:01:28.000 --> 00:01:33.000]  在聖經這麼重要的基督教經典裏面
[00:01:33.000 --> 00:01:35.000]  有一本這樣的書
[00:01:35.000 --> 00:01:37.000]  或者另一個問題就是
[00:01:37.000 --> 00:01:40.000]  路德記到底有什麼神學價值呢?
[00:01:40.000 --> 00:01:43.000]  首先我們要知道路德記是記載一個
[00:01:43.000 --> 00:01:49.000]  在大時代裏面一個普通家庭掙扎求全的故事
[00:01:49.000 --> 00:01:54.000]  的確有峰迴路轉、高低起伏的際遇
[00:01:54.000 --> 00:01:57.000]  但其實我們每一個人
[00:01:57.000 --> 00:02:00.000]  我們平常的人所經歷的都差不多
[00:02:00.000 --> 00:02:03.000]  再加上其實路德記的主人翁
[00:02:03.000 --> 00:02:04.000]  即是路德
[00:02:04.000 --> 00:02:07.000]  在聖經裏面不是有很重要的地位
[00:02:07.000 --> 00:02:10.000]  因為在其他的經典裏面
[00:02:10.000 --> 00:02:13.000]  是非常非常少再提到路德
[00:02:13.000 --> 00:02:18.000]  難道這本書記載了神一些很重要的作為
[00:02:18.000 --> 00:02:21.000]  以致要留在聖經裏面?
[00:02:21.000 --> 00:02:23.000]  有趣的地方是什麼呢?
[00:02:23.000 --> 00:02:26.000]  神在路德記似乎是缺席的
[00:02:26.000 --> 00:02:32.000]  當這個小家庭面對人生很多打擊的時候
[00:02:32.000 --> 00:02:38.000]  都會期望神親自介入扭轉命運
[00:02:38.000 --> 00:02:40.000]  但很可惜在路德記裏面
[00:02:40.000 --> 00:02:43.000]  我們看不到神有這些作為
[00:02:43.000 --> 00:02:46.000]  我們看不到有任何神跡騎士
[00:02:46.000 --> 00:02:48.000]  最要命的是什麼呢?
[00:02:48.000 --> 00:02:50.000]  是神異常地沉默
[00:02:50.000 --> 00:02:56.000]  連差遣先知向小家庭宣告安慰都沒有
[00:02:56.000 --> 00:02:59.000]  而在整本路德記
[00:02:59.000 --> 00:03:01.000]  上帝直接的行動
[00:03:01.000 --> 00:03:04.000]  上帝Divine Direct Action
[00:03:04.000 --> 00:03:06.000]  只有兩件事
[00:03:06.000 --> 00:03:08.000]  即是說在整本路德記
[00:03:08.000 --> 00:03:12.000]  只有兩處經文的動詞
[00:03:12.000 --> 00:03:15.000]  是以上帝為主題
[00:03:15.000 --> 00:03:21.000]  第一次就是一章第六節
[00:03:21.000 --> 00:03:23.000]  「他」即是拿訛米
[00:03:23.000 --> 00:03:25.000]  與兩個兒婦起身
[00:03:25.000 --> 00:03:30.000]  想當初拿訛米是小家庭的媽媽
[00:03:30.000 --> 00:03:31.000]  因為饑荒
[00:03:31.000 --> 00:03:34.000]  她與丈夫和兩個兒子
[00:03:34.000 --> 00:03:39.000]  從猶大地的伯利恆遷移到摩押地
[00:03:39.000 --> 00:03:40.000]  結果十年過去
[00:03:40.000 --> 00:03:44.000]  丈夫和兩個兒子都相繼離世
[00:03:44.000 --> 00:03:49.000]  剩下拿訛米和兩個兒婦
[00:03:49.000 --> 00:03:51.000]  就是這三個
[00:03:51.000 --> 00:03:53.000]  即是一屋都是寡婦
